Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,30.990627,[34 18] ; [ 5 42],[20.48484848 31.51515152] ; [18.51515152 28.48484848],1
a3,1,0.0,25.435981,[41 10] ; [14 33],[28.62244898 22.37755102] ; [26.37755102 20.62244898],1
d2,1,4e-06,21.168553,[32 19] ; [ 8 39],[20.81632653 30.18367347] ; [19.18367347 27.81632653],1
n4,1,0.000943,10.937137,[35 17] ; [16 31],[26.78787879 25.21212121] ; [24.21212121 22.78787879],1
d1,1,0.001344,10.280842,[26 26] ; [ 9 38],[18.38383838 33.61616162] ; [16.61616162 30.38383838],0
d5,1,0.005044,7.863628,[37 14] ; [21 26],[30.18367347 20.81632653] ; [27.81632653 19.18367347],0
r1,1,0.039888,4.222653,[36 16] ; [23 24],[30.98989899 21.01010101] ; [28.01010101 18.98989899],0
p6,1,0.040941,4.178472,[ 6 45] ; [13 33],[ 9.98969072 41.01030928] ; [ 9.01030928 36.98969072],0
a6,1,0.047048,3.943663,[37 14] ; [25 22],[32.26530612 18.73469388] ; [29.73469388 17.26530612],0
d3,1,0.059262,3.557923,[33 18] ; [21 25],[28.39175258 22.60824742] ; [25.60824742 20.39175258],0
r4,1,0.10002,2.705223,[35 17] ; [24 23],[30.98989899 21.01010101] ; [28.01010101 18.98989899],0
u1,1,0.11895,2.431095,[ 5 47] ; [ 1 46],[ 3.15151515 48.84848485] ; [ 2.84848485 44.15151515],0
a8,1,0.126255,2.337958,[ 8 41] ; [ 3 44],[ 5.61458333 43.38541667] ; [ 5.38541667 41.61458333],0
s4,1,0.127787,2.31918,[ 7 45] ; [12 35],[ 9.97979798 42.02020202] ; [ 9.02020202 37.97979798],0
a7,1,0.151168,2.060423,[35 17] ; [25 22],[31.51515152 20.48484848] ; [28.48484848 18.51515152],0
p4,1,0.192336,1.69963,[20 32] ; [12 34],[16.97959184 35.02040816] ; [15.02040816 30.97959184],0
b1,1,0.207628,1.587889,[32 20] ; [23 24],[28.88888889 23.11111111] ; [26.11111111 20.88888889],0
p11,1,0.261558,1.260494,[28 24] ; [20 27],[25.21212121 26.78787879] ; [22.78787879 24.21212121],0
u3,1,0.288159,1.128205,[8 3] ; [18 15],[6.5 4.5] ; [19.5 13.5],0
b4,1,0.392508,0.731158,[31 21] ; [24 23],[28.88888889 23.11111111] ; [26.11111111 20.88888889],0
n3,1,0.404239,0.695681,[7 9] ; [11  8],[8.22857143 7.77142857] ; [9.77142857 9.22857143],0
b5,1,0.414407,0.666123,[29 23] ; [30 17],[30.98989899 21.01010101] ; [28.01010101 18.98989899],0
v3,1,0.415714,0.6624,[ 8 40] ; [ 5 41],[ 6.63829787 41.36170213] ; [ 6.36170213 39.63829787],0
n2,1,0.419391,0.652021,[9 9] ; [12  7],[10.21621622  7.78378378] ; [10.78378378  8.21621622],0
n1,1,0.419946,0.650467,[ 8 10] ; [ 6 13],[ 6.81081081 11.18918919] ; [ 7.18918919 11.81081081],0
p3,1,0.434373,0.611102,[17 35] ; [12 35],[15.23232323 36.76767677] ; [13.76767677 33.23232323],0
r3,1,0.441468,0.592464,[38 14] ; [31 16],[36.24242424 15.75757576] ; [32.75757576 14.24242424],0
r2,1,0.475223,0.509806,[43  8] ; [37 10],[41.63265306  9.36734694] ; [38.36734694  8.63265306],0
d4,1,0.479362,0.500313,[37 14] ; [31 16],[35.3877551 15.6122449] ; [32.6122449 14.3877551],0
s8,1,0.512692,0.428568,[14 38] ; [10 37],[12.60606061 39.39393939] ; [11.39393939 35.60606061],0
p5,1,0.606538,0.265247,[ 2 49] ; [ 1 46],[ 1.56122449 49.43877551] ; [ 1.43877551 45.56122449],0
a1,1,0.617615,0.249234,[ 6 46] ; [ 4 43],[ 5.25252525 46.74747475] ; [ 4.74747475 42.25252525],0
p8,1,0.628628,0.233926,[14 37] ; [15 32],[15.09183673 35.90816327] ; [13.90816327 33.09183673],0
v4,1,0.639371,0.219566,[39 12] ; [34 13],[37.98979592 13.01020408] ; [35.01020408 11.98979592],0
u2,1,0.723296,0.125356,[7 4] ; [19 14],[6.5 4.5] ; [19.5 13.5],0
p2,1,0.747582,0.103574,[32 19] ; [28 19],[31.2244898 19.7755102] ; [28.7755102 18.2244898],0
s5,1,0.768185,0.086878,[ 9 42] ; [ 9 36],[ 9.5625 41.4375] ; [ 8.4375 36.5625],0
s3,1,0.772256,0.083767,[27 24] ; [23 23],[26.28865979 24.71134021] ; [23.71134021 22.28865979],0
s1,1,0.824723,0.049051,[ 5 46] ; [ 4 43],[ 4.68367347 46.31632653] ; [ 4.31632653 42.68367347],0
p9,1,0.866457,0.028278,[29 23] ; [27 20],[29.41414141 22.58585859] ; [26.58585859 20.41414141],0
b2,1,0.875669,0.02448,[ 9 24] ; [ 9 22],[ 9.28125 23.71875] ; [ 8.71875 22.28125],0
b3,1,0.875669,0.02448,[ 9 24] ; [ 9 22],[ 9.28125 23.71875] ; [ 8.71875 22.28125],0
p1,1,0.904033,0.014537,[ 4 47] ; [ 4 43],[ 4.16326531 46.83673469] ; [ 3.83673469 43.16326531],0
n5,1,0.919957,0.010098,[22 30] ; [19 27],[21.75510204 30.24489796] ; [19.24489796 26.75510204],0
p10,1,0.931924,0.007297,[25 27] ; [23 24],[25.21212121 26.78787879] ; [22.78787879 24.21212121],0
p7,1,0.936383,0.006371,[22 28] ; [19 25],[21.80851064 28.19148936] ; [19.19148936 24.80851064],0
s7,1,0.952796,0.003504,[11 34] ; [11 35],[10.87912088 34.12087912] ; [11.12087912 34.87912088],0
s2,1,0.954006,0.003327,[16 35] ; [15 32],[16.13265306 34.86734694] ; [14.86734694 32.13265306],0
s6,1,0.986659,0.00028,[20 32] ; [18 29],[19.95959596 32.04040404] ; [18.04040404 28.95959596],0
v1,1,0.992833,8.1e-05,[16 34] ; [15 32],[15.97938144 34.02061856] ; [15.02061856 31.97938144],0
