Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2e-06,23.144007,[60 55] ; [18 74],[43.33333333 71.66666667] ; [34.66666667 57.33333333],1
v1,1,0.001269,10.387245,[71 43] ; [37 56],[59.47826087 54.52173913] ; [48.52173913 44.47826087],0
d1,1,0.001372,10.24295,[78 41] ; [41 53],[66.48356808 52.51643192] ; [52.51643192 41.48356808],0
r3,1,0.003048,8.778289,[116   1] ; [85  9],[111.4549763   5.5450237] ; [89.5450237  4.4549763],0
d5,1,0.004535,8.056286,[101  18] ; [63 29],[92.492891 26.507109] ; [71.507109 20.492891],0
s1,1,0.015843,5.82024,[  3 112] ; [10 83],[  7.1875 107.8125] ; [ 5.8125 87.1875],0
a5,1,0.035054,4.442531,[86 33] ; [55 39],[78.77464789 40.22535211] ; [62.22535211 31.77464789],0
r1,1,0.037369,4.333523,[100  18] ; [68 25],[93.95260664 24.04739336] ; [74.04739336 18.95260664],0
s7,1,0.0429,4.099354,[82 34] ; [52 39],[75.09178744 40.90821256] ; [58.90821256 32.09178744],0
d3,1,0.042976,4.096344,[88 31] ; [56 36],[81.21327014 37.78672986] ; [62.78672986 29.21327014],0
d2,1,0.055455,3.66836,[60 58] ; [35 58],[53.12796209 64.87203791] ; [41.87203791 51.12796209],0
d4,1,0.078901,3.087397,[101  18] ; [70 23],[95.98584906 23.01415094] ; [75.01415094 17.98584906],0
b1,1,0.088199,2.906933,[36 83] ; [39 55],[41.90140845 77.09859155] ; [33.09859155 60.90140845],0
n1,1,0.142917,2.146264,[ 6 21] ; [11 16],[ 8.5 18.5] ; [ 8.5 18.5],0
s8,1,0.148712,2.085412,[67 51] ; [44 50],[61.78301887 56.21698113] ; [49.21698113 44.78301887],0
b4,1,0.220395,1.501795,[72 47] ; [49 45],[67.60093897 51.39906103] ; [53.39906103 40.60093897],0
p11,1,0.221774,1.492853,[90 29] ; [64 30],[86.03755869 32.96244131] ; [67.96244131 26.03755869],0
a4,1,0.231445,1.431957,[54 65] ; [35 59],[49.72300469 69.27699531] ; [39.27699531 54.72300469],0
p1,1,0.271797,1.207655,[  3 116] ; [ 5 87],[  4.51184834 114.48815166] ; [ 3.48815166 88.51184834],0
u1,1,0.287719,1.130262,[23 96] ; [13 81],[20.11267606 98.88732394] ; [15.88732394 78.11267606],0
p5,1,0.2893,1.122874,[  5 114] ; [ 7 85],[  6.76777251 112.23222749] ; [ 5.23222749 86.76777251],0
