Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,5.4e-05,16.2872,[98 26] ; [20 23],[87.61676647 36.38323353] ; [30.38323353 12.61676647],1
p2,1,7.4e-05,15.703622,[102  20] ; [23 20],[92.42424242 29.57575758] ; [32.57575758 10.42424242],1
d3,1,0.000841,11.148182,[101  23] ; [24 19],[92.81437126 31.18562874] ; [32.18562874 10.81437126],1
p10,1,0.002447,9.179648,[91 32] ; [21 22],[82.98795181 40.01204819] ; [29.01204819 13.98795181],0
a2,1,0.003223,8.676936,[36 88] ; [ 3 40],[28.95808383 95.04191617] ; [10.04191617 32.95808383],0
p9,1,0.003778,8.387343,[96 26] ; [24 19],[88.72727273 33.27272727] ; [31.27272727 11.72727273],0
u1,1,0.00422,8.18667,[26 98] ; [ 1 42],[ 20.04790419 103.95209581] ; [ 6.95209581 36.04790419],0
n1,1,0.014018,6.035923,[ 5 30] ; [7 8],[ 8.4 26.6] ; [ 3.6 11.4],0
b5,1,0.01938,5.466896,[80 44] ; [19 24],[73.50898204 50.49101796] ; [25.49101796 17.50898204],0
d5,1,0.05167,3.786412,[108  16] ; [32 11],[103.95209581  20.04790419] ; [36.04790419  6.95209581],0
n6,1,0.060954,3.511247,[80 43] ; [21 22],[74.8373494 48.1626506] ; [26.1626506 16.8373494],0
v4,1,0.077077,3.125486,[114   9] ; [35  7],[111.07272727  11.92727273] ; [37.92727273  4.07272727],0
s1,1,0.107893,2.584814,[  4 120] ; [ 4 39],[  5.94011976 118.05988024] ; [ 2.05988024 40.94011976],0
r3,1,0.107893,2.584814,[120   4] ; [39  4],[118.05988024   5.94011976] ; [40.94011976  2.05988024],0
u3,1,0.110448,2.547797,[21  8] ; [5 6],[18.85 10.15] ; [7.15 3.85],0
b3,1,0.114441,2.491794,[20 49] ; [12 14],[23.24210526 45.75789474] ; [ 8.75789474 17.24210526],0
b2,1,0.114441,2.491794,[20 49] ; [12 14],[23.24210526 45.75789474] ; [ 8.75789474 17.24210526],0
d1,1,0.167707,1.903317,[81 43] ; [23 20],[77.22155689 46.77844311] ; [26.77844311 16.22155689],0
v2,1,0.189196,1.723868,[70 48] ; [20 22],[66.375 51.625] ; [23.625 18.375],0
p11,1,0.214816,1.538667,[85 39] ; [25 18],[81.67664671 42.32335329] ; [28.32335329 14.67664671],0
p3,1,0.218543,1.513915,[52 70] ; [23 20],[55.45454545 66.54545455] ; [19.54545455 23.45454545],0
d4,1,0.221696,1.493361,[110  14] ; [35  8],[107.66467066  16.33532934] ; [37.33532934  5.66467066],0
a8,1,0.225419,1.469537,[  9 103] ; [ 1 39],[  7.36842105 104.63157895] ; [ 2.63157895 37.36842105],0
p5,1,0.247048,1.339918,[  9 114] ; [ 1 41],[  7.45454545 115.54545455] ; [ 2.54545455 39.45454545],0
a4,1,0.265614,1.239257,[57 67] ; [24 19],[60.14371257 63.85628743] ; [20.85628743 22.14371257],0
p12,1,0.293376,1.104065,[  8 114] ; [ 1 42],[  6.65454545 115.34545455] ; [ 2.34545455 40.65454545],0
p1,1,0.295624,1.093832,[  8 113] ; [ 5 38],[  9.59146341 111.40853659] ; [ 3.40853659 39.59146341],0
s4,1,0.323685,0.973999,[ 23 101] ; [11 32],[25.24550898 98.75449102] ; [ 8.75449102 34.24550898],0
p4,1,0.349284,0.876058,[63 60] ; [18 24],[60.38181818 62.61818182] ; [20.61818182 21.38181818],0
n2,1,0.368066,0.810185,[21 14] ; [11  4],[22.4 12.6] ; [9.6 5.4],0
s3,1,0.419491,0.651741,[58 64] ; [23 19],[60.25609756 61.74390244] ; [20.74390244 21.25609756],0
a1,1,0.435946,0.60693,[  5 119] ; [ 3 40],[  5.94011976 118.05988024] ; [ 2.05988024 40.94011976],0
r1,1,0.44228,0.590359,[101  22] ; [33 10],[99.28915663 23.71084337] ; [34.71084337  8.28915663],0
p7,1,0.447777,0.576273,[70 51] ; [22 21],[67.87804878 53.12195122] ; [24.12195122 18.87804878],0
s5,1,0.455003,0.558159,[33 85] ; [14 27],[34.88050314 83.11949686] ; [12.11949686 28.88050314],0
b1,1,0.467748,0.527291,[47 77] ; [19 24],[49.00598802 74.99401198] ; [16.99401198 26.00598802],0
s7,1,0.483952,0.489946,[44 74] ; [17 22],[45.84713376 72.15286624] ; [15.15286624 23.84713376],0
u2,1,0.523543,0.406909,[17 13] ; [5 6],[16.09756098 13.90243902] ; [5.90243902 5.09756098],0
p6,1,0.528742,0.396808,[36 86] ; [10 31],[34.42944785 87.57055215] ; [11.57055215 29.42944785],0
r4,1,0.579901,0.306395,[108  16] ; [36  7],[106.92215569  17.07784431] ; [37.07784431  5.92215569],0
b4,1,0.590304,0.28987,[75 49] ; [28 15],[76.47904192 47.52095808] ; [26.52095808 16.47904192],0
p8,1,0.698602,0.14993,[54 69] ; [17 25],[52.92727273 70.07272727] ; [18.07272727 23.92727273],0
s6,1,0.722979,0.125656,[77 46] ; [25 17],[76.03636364 46.96363636] ; [25.96363636 16.03636364],0
d2,1,0.753725,0.098428,[64 60] ; [21 22],[63.11377246 60.88622754] ; [21.88622754 21.11377246],0
r2,1,0.817182,0.05344,[111  10] ; [39  3],[111.34969325   9.65030675] ; [38.65030675  3.34969325],0
v3,1,0.83105,0.04552,[37 84] ; [12 25],[37.52531646 83.47468354] ; [11.47468354 25.52531646],0
a3,1,0.855419,0.0332,[94 30] ; [32 11],[93.55688623 30.44311377] ; [32.44311377 10.55688623],0
