Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.037874,4.310665,[2 1] ; [ 4 22],[0.62068966 2.37931034] ; [ 5.37931034 20.62068966],0
p5,1,0.062308,3.474872,[1 2] ; [ 1 24],[0.21428571 2.78571429] ; [ 1.78571429 23.21428571],0
p1,1,0.069065,3.305112,[2 1] ; [ 5 21],[0.72413793 2.27586207] ; [ 6.27586207 19.72413793],0
r1,1,0.109716,2.558303,[2 1] ; [ 6 20],[0.82758621 2.17241379] ; [ 7.17241379 18.82758621],0
n6,1,0.122166,2.389333,[2 1] ; [ 6 19],[0.85714286 2.14285714] ; [ 7.14285714 17.85714286],0
d1,1,0.158868,1.984972,[2 1] ; [ 7 19],[0.93103448 2.06896552] ; [ 8.06896552 17.93103448],0
s6,1,0.299934,1.074487,[1 2] ; [ 3 23],[0.4137931 2.5862069] ; [ 3.5862069 22.4137931],0
a4,1,0.304103,1.056114,[2 1] ; [ 9 16],[1.17857143 1.82142857] ; [ 9.82142857 15.17857143],0
d5,1,0.347627,0.882102,[2 1] ; [10 16],[1.24137931 1.75862069] ; [10.75862069 15.24137931],0
d3,1,0.421806,0.645279,[2 1] ; [11 15],[1.34482759 1.65517241] ; [11.65517241 14.34482759],0
p10,1,0.458875,0.548638,[1 2] ; [ 4 21],[0.53571429 2.46428571] ; [ 4.46428571 20.53571429],0
a1,1,0.568028,0.325994,[1 2] ; [ 5 21],[0.62068966 2.37931034] ; [ 5.37931034 20.62068966],0
p2,1,0.568028,0.325994,[1 2] ; [ 5 21],[0.62068966 2.37931034] ; [ 5.37931034 20.62068966],0
b4,1,0.58438,0.299206,[2 1] ; [13 13],[1.55172414 1.44827586] ; [13.44827586 12.55172414],0
a5,1,0.58438,0.299206,[2 1] ; [13 13],[1.55172414 1.44827586] ; [13.44827586 12.55172414],0
r2,1,0.630297,0.231658,[1 2] ; [12 13],[1.39285714 1.60714286] ; [11.60714286 13.39285714],0
p4,1,0.69426,0.154512,[1 2] ; [ 6 20],[0.72413793 2.27586207] ; [ 6.27586207 19.72413793],0
p9,1,0.724263,0.124444,[1 2] ; [ 6 19],[0.75 2.25] ; [ 6.25 18.75],0
b1,1,0.765064,0.089304,[2 1] ; [15 11],[1.75862069 1.24137931] ; [15.24137931 10.75862069],0
p3,1,0.814041,0.055327,[1 2] ; [ 7 19],[0.82758621 2.17241379] ; [ 7.17241379 18.82758621],0
a3,1,0.823218,0.049911,[2 1] ; [15 10],[1.82142857 1.17857143] ; [15.17857143  9.82142857],0
s3,1,0.846788,0.037333,[1 2] ; [ 7 18],[0.85714286 2.14285714] ; [ 7.14285714 17.85714286],0
a7,1,0.927575,0.008262,[1 2] ; [ 8 18],[0.93103448 2.06896552] ; [ 8.06896552 17.93103448],0
n4,1,0.927575,0.008262,[2 1] ; [18  8],[2.06896552 0.93103448] ; [17.93103448  8.06896552],0
