Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.555668,[56  9] ; [1 9],[49.4 15.6] ; [7.6 2.4],1
v4,1,1.8e-05,18.416785,[61  3] ; [5 5],[57.08108108  6.91891892] ; [8.91891892 1.08108108],1
p11,1,0.001486,10.096154,[51 14] ; [3 7],[46.8 18.2] ; [7.2 2.8],0
p9,1,0.001486,10.096154,[51 14] ; [3 7],[46.8 18.2] ; [7.2 2.8],0
a6,1,0.001847,9.695513,[46 19] ; [2 8],[41.6 23.4] ; [6.4 3.6],0
s6,1,0.002413,9.205535,[50 15] ; [3 7],[45.93333333 19.06666667] ; [7.06666667 2.93333333],0
b1,1,0.002732,8.978256,[20 45] ; [8 2],[24.26666667 40.73333333] ; [3.73333333 6.26666667],0
r2,1,0.003778,8.387457,[59  6] ; [5 4],[56.21621622  8.78378378] ; [7.78378378 1.21621622],0
p10,1,0.006778,7.330827,[52 13] ; [4 6],[48.53333333 16.46666667] ; [7.46666667 2.53333333],0
p2,1,0.017455,5.650057,[54 11] ; [5 5],[51.13333333 13.86666667] ; [7.86666667 2.13333333],0
s1,1,0.026609,4.916035,[ 2 63] ; [2 8],[ 3.46666667 61.53333333] ; [0.53333333 9.46666667],0
r1,1,0.030704,4.669411,[48 17] ; [4 6],[45.06666667 19.93333333] ; [6.93333333 3.06666667],0
b4,1,0.037199,4.341285,[36 29] ; [2 8],[32.93333333 32.06666667] ; [5.06666667 4.93333333],0
s3,1,0.04132,4.16285,[41 23] ; [3 7],[38.05405405 25.94594595] ; [5.94594595 4.05405405],0
s8,1,0.065776,3.385417,[26 39] ; [1 9],[23.4 41.6] ; [3.6 6.4],0
n6,1,0.095155,2.784929,[53 11] ; [6 4],[51.02702703 12.97297297] ; [7.97297297 2.02702703],0
a1,1,0.122061,2.390674,[ 1 64] ; [1 9],[ 1.73333333 63.26666667] ; [0.26666667 9.73333333],0
p7,1,0.13017,2.290476,[39 26] ; [3 6],[36.89189189 28.10810811] ; [5.10810811 3.89189189],0
a7,1,0.131552,2.274093,[47 17] ; [5 5],[44.97297297 19.02702703] ; [7.02702703 2.97297297],0
n2,1,0.132391,2.264245,[11  5] ; [2 4],[9.45454545 6.54545455] ; [3.54545455 2.45454545],0
n3,1,0.142715,2.148437,[13  3] ; [3 3],[11.63636364  4.36363636] ; [4.36363636 1.63636364],0
p4,1,0.160275,1.971633,[35 30] ; [3 7],[32.93333333 32.06666667] ; [5.06666667 4.93333333],0
v2,1,0.16999,1.883027,[27 36] ; [2 8],[25.02739726 37.97260274] ; [3.97260274 6.02739726],0
d5,1,0.214097,1.543502,[50 14] ; [6 4],[48.43243243 15.56756757] ; [7.56756757 2.43243243],0
v3,1,0.247029,1.34003,[17 46] ; [1 9],[15.53424658 47.46575342] ; [2.46575342 7.53424658],0
p3,1,0.256458,1.287775,[32 33] ; [3 7],[30.33333333 34.66666667] ; [4.66666667 5.33333333],0
n1,1,0.262193,1.257143,[ 4 12] ; [3 3],[ 5.09090909 10.90909091] ; [1.90909091 4.09090909],0
b3,1,0.268244,1.225702,[ 5 29] ; [2 4],[ 5.95 28.05] ; [1.05 4.95],0
b2,1,0.268244,1.225702,[ 5 29] ; [2 4],[ 5.95 28.05] ; [1.05 4.95],0
a3,1,0.273767,1.197772,[44 21] ; [5 5],[42.46666667 22.53333333] ; [6.53333333 3.46666667],0
p8,1,0.31809,0.996785,[30 34] ; [3 7],[28.54054054 35.45945946] ; [4.45945946 5.54054054],0
s2,1,0.337591,0.919559,[36 28] ; [4 6],[34.59459459 29.40540541] ; [5.40540541 4.59459459],0
n4,1,0.429222,0.624928,[41 24] ; [5 5],[39.86666667 25.13333333] ; [6.13333333 3.86666667],0
a5,1,0.429222,0.624928,[41 24] ; [5 5],[39.86666667 25.13333333] ; [6.13333333 3.86666667],0
p1,1,0.480513,0.497698,[ 3 62] ; [1 9],[ 3.46666667 61.53333333] ; [0.53333333 9.46666667],0
v1,1,0.582638,0.30199,[25 39] ; [3 7],[24.21621622 39.78378378] ; [3.78378378 6.21621622],0
d1,1,0.586491,0.295858,[32 33] ; [4 6],[31.2 33.8] ; [4.8 5.2],0
d2,1,0.606552,0.265227,[25 40] ; [3 7],[24.26666667 40.73333333] ; [3.73333333 6.26666667],0
a4,1,0.630954,0.230769,[21 44] ; [4 6],[21.66666667 43.33333333] ; [3.33333333 6.66666667],0
n5,1,0.703448,0.14491,[43 22] ; [6 4],[42.46666667 22.53333333] ; [6.53333333 3.46666667],0
p6,1,0.715501,0.132844,[16 49] ; [3 7],[16.46666667 48.53333333] ; [2.53333333 7.46666667],0
d3,1,0.736416,0.113301,[48 16] ; [7 3],[47.56756757 16.43243243] ; [7.43243243 2.56756757],0
u2,1,0.758742,0.094331,[10 11] ; [2 3],[ 9.69230769 11.30769231] ; [2.30769231 2.69230769],0
d4,1,0.879734,0.022894,[47 18] ; [7 3],[46.8 18.2] ; [7.2 2.8],0
b5,1,0.884207,0.02121,[44 21] ; [7 3],[44.2 20.8] ; [6.8 3.2],0
s7,1,0.897944,0.01645,[27 37] ; [4 5],[27.17808219 36.82191781] ; [3.82191781 5.17808219],0
u3,1,0.937287,0.00619,[13  8] ; [3 2],[12.92307692  8.07692308] ; [3.07692308 1.92307692],0
