Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.016303,5.769928,[1 5] ; [31 15],[3.69230769 2.30769231] ; [28.30769231 17.69230769],0
s7,1,0.0227,5.191285,[3 2] ; [ 7 36],[1.04166667 3.95833333] ; [ 8.95833333 34.04166667],0
s4,1,0.024413,5.065049,[3 3] ; [ 6 40],[1.03846154 4.96153846] ; [ 7.96153846 38.03846154],0
p8,1,0.032997,4.545926,[4 2] ; [11 34],[1.76470588 4.23529412] ; [13.23529412 31.76470588],0
p7,1,0.041399,4.159593,[4 1] ; [15 30],[1.9 3.1] ; [17.1 27.9],0
s2,1,0.042806,4.10306,[4 2] ; [12 34],[1.84615385 4.15384615] ; [14.15384615 31.84615385],0
n6,1,0.123448,2.373016,[1 5] ; [23 23],[2.76923077 3.23076923] ; [21.23076923 24.76923077],0
s3,1,0.134445,2.240419,[4 2] ; [15 28],[2.32653061 3.67346939] ; [16.67346939 26.32653061],0
n2,1,0.138523,2.194286,[3 1] ; [ 7 13],[1.66666667 2.33333333] ; [ 8.33333333 11.66666667],0
p3,1,0.175433,1.835894,[3 3] ; [11 35],[1.61538462 4.38461538] ; [12.38461538 33.61538462],0
b5,1,0.208069,1.584808,[5 1] ; [26 20],[3.57692308 2.42307692] ; [27.42307692 18.57692308],0
s1,1,0.223522,1.481613,[1 5] ; [ 2 44],[0.34615385 5.65384615] ; [ 2.65384615 43.34615385],0
a6,1,0.239406,1.384091,[4 2] ; [19 27],[2.65384615 3.34615385] ; [20.34615385 25.65384615],0
a7,1,0.243324,1.361232,[5 1] ; [27 19],[3.69230769 2.30769231] ; [28.30769231 17.69230769],0
u2,1,0.276986,1.181818,[3 1] ; [10 12],[2. 2.] ; [11. 11.],0
r3,1,0.282489,1.155075,[5 1] ; [28 18],[3.80769231 2.19230769] ; [29.19230769 16.80769231],0
p4,1,0.325824,0.965426,[1 5] ; [17 29],[2.07692308 3.92307692] ; [15.92307692 30.07692308],0
a3,1,0.357293,0.847385,[2 4] ; [24 21],[3.05882353 2.94117647] ; [22.94117647 22.05882353],0
p9,1,0.413213,0.669538,[2 4] ; [23 22],[2.94117647 3.05882353] ; [22.05882353 22.94117647],0
d5,1,0.466581,0.53006,[3 3] ; [30 16],[3.80769231 2.19230769] ; [29.19230769 16.80769231],0
a4,1,0.483841,0.490195,[1 5] ; [14 32],[1.73076923 4.26923077] ; [13.26923077 32.73076923],0
s8,1,0.533334,0.388036,[1 5] ; [ 4 42],[0.57692308 5.42307692] ; [ 4.42307692 41.57692308],0
a2,1,0.533334,0.388036,[1 5] ; [ 4 42],[0.57692308 5.42307692] ; [ 4.42307692 41.57692308],0
p10,1,0.537537,0.380124,[2 4] ; [21 24],[2.70588235 3.29411765] ; [20.29411765 24.70588235],0
b1,1,0.567708,0.326532,[4 2] ; [25 21],[3.34615385 2.65384615] ; [25.65384615 20.34615385],0
u3,1,0.606089,0.265909,[2 2] ; [ 8 14],[1.53846154 2.46153846] ; [ 8.46153846 13.53846154],0
d3,1,0.609798,0.260469,[3 3] ; [28 18],[3.57692308 2.42307692] ; [27.42307692 18.57692308],0
r2,1,0.61481,0.25323,[4 2] ; [24 19],[3.42857143 2.57142857] ; [24.57142857 18.42857143],0
n3,1,0.624073,0.240184,[2 2] ; [12  7],[2.43478261 1.56521739] ; [11.56521739  7.43478261],0
a5,1,0.636157,0.223803,[2 4] ; [20 26],[2.53846154 3.46153846] ; [19.46153846 26.53846154],0
d4,1,0.691929,0.157005,[5 1] ; [35 11],[4.61538462 1.38461538] ; [35.38461538 10.61538462],0
n4,1,0.706638,0.141658,[2 4] ; [12 34],[1.61538462 4.38461538] ; [12.38461538 33.61538462],0
d1,1,0.708207,0.140074,[2 4] ; [19 27],[2.42307692 3.57692308] ; [18.57692308 27.42307692],0
p11,1,0.762254,0.091519,[3 3] ; [20 26],[2.65384615 3.34615385] ; [20.34615385 25.65384615],0
p2,1,0.832489,0.044737,[4 2] ; [28 17],[3.76470588 2.23529412] ; [28.23529412 16.76470588],0
v1,1,0.88466,0.021044,[2 4] ; [16 28],[2.16 3.84] ; [15.84 28.16],0
v4,1,0.88466,0.021044,[4 2] ; [28 16],[3.84 2.16] ; [28.16 15.84],0
v2,1,0.88466,0.021044,[2 4] ; [16 28],[2.16 3.84] ; [15.84 28.16],0
s5,1,0.92845,0.008063,[1 4] ; [10 36],[1.07843137 3.92156863] ; [ 9.92156863 36.07843137],0
s6,1,0.944048,0.004926,[2 4] ; [16 30],[2.07692308 3.92307692] ; [15.92307692 30.07692308],0
v3,1,0.946532,0.004497,[1 5] ; [ 8 37],[1.05882353 4.94117647] ; [ 7.94117647 37.05882353],0
d2,1,0.97161,0.001267,[2 4] ; [15 31],[1.96153846 4.03846154] ; [15.03846154 30.96153846],0
r1,1,0.97161,0.001267,[2 4] ; [15 31],[1.96153846 4.03846154] ; [15.03846154 30.96153846],0
n1,1,1.0,0.0,[1 3] ; [ 5 15],[1. 3.] ; [ 5. 15.],0
