Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,26.555115,[20  2] ; [13 38],[ 9.94520548 12.05479452] ; [23.05479452 27.94520548],1
d3,1,3e-06,22.019477,[17  6] ; [ 9 42],[ 8.08108108 14.91891892] ; [17.91891892 33.08108108],1
d5,1,5.6e-05,16.2289,[21  2] ; [21 30],[13.05405405  9.94594595] ; [28.94594595 22.05405405],1
a4,1,0.006366,7.443582,[12 10] ; [11 39],[ 7.02777778 14.97222222] ; [15.97222222 34.02777778],0
a3,1,0.016541,5.744472,[15  8] ; [18 33],[10.25675676 12.74324324] ; [22.74324324 28.25675676],0
p10,1,0.02163,5.275305,[ 8 15] ; [ 6 44],[ 4.4109589 18.5890411] ; [ 9.5890411 40.4109589],0
n3,1,0.043047,4.093567,[2 7] ; [12  7],[4.5 4.5] ; [9.5 9.5],0
a5,1,0.05549,3.667295,[15  8] ; [21 30],[11.18918919 11.81081081] ; [24.81081081 26.18918919],0
r2,1,0.096292,2.765906,[19  2] ; [37 14],[16.33333333  4.66666667] ; [39.66666667 11.33333333],0
b1,1,0.099838,2.708133,[16  7] ; [25 26],[12.74324324 10.25675676] ; [28.25675676 22.74324324],0
b5,1,0.121026,2.403991,[ 6 17] ; [23 28],[ 9.01351351 13.98648649] ; [19.98648649 31.01351351],0
s8,1,0.156205,2.010583,[ 7 16] ; [ 8 42],[ 4.7260274 18.2739726] ; [10.2739726 39.7260274],0
a6,1,0.161599,1.959196,[ 6 17] ; [22 29],[ 8.7027027 14.2972973] ; [19.2972973 31.7027027],0
u2,1,0.162785,1.94816,[5 2] ; [14 19],[3.325 3.675] ; [15.675 17.325],0
a2,1,0.173963,1.848452,[ 2 21] ; [ 1 50],[ 0.93243243 22.06756757] ; [ 2.06756757 48.93243243],0
u3,1,0.178239,1.812249,[5 3] ; [12 21],[3.31707317 4.68292683] ; [13.68292683 19.31707317],0
p8,1,0.228468,1.450377,[ 8 15] ; [11 40],[ 5.90540541 17.09459459] ; [13.09459459 37.90540541],0
r3,1,0.243597,1.359659,[18  5] ; [33 18],[15.85135135  7.14864865] ; [35.14864865 15.85135135],0
s4,1,0.248595,1.33118,[ 6 16] ; [ 8 43],[ 4.21917808 17.78082192] ; [ 9.78082192 41.21917808],0
s2,1,0.248957,1.329147,[10 12] ; [16 35],[ 7.83561644 14.16438356] ; [18.16438356 32.83561644],0
n2,1,0.254891,1.296296,[4 5] ; [14  7],[5.4 3.6] ; [12.6  8.4],0
v3,1,0.273923,1.196995,[ 4 18] ; [15 34],[ 5.88732394 16.11267606] ; [13.11267606 35.88732394],0
v2,1,0.279176,1.171096,[ 9 13] ; [14 36],[ 7.02777778 14.97222222] ; [15.97222222 34.02777778],0
b4,1,0.297697,1.08448,[11 12] ; [31 20],[13.05405405  9.94594595] ; [28.94594595 22.05405405],0
r1,1,0.300215,1.073237,[16  7] ; [29 22],[13.98648649  9.01351351] ; [31.01351351 19.98648649],0
