Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-06,21.288125,[118  26] ; [16 20],[107.2  36.8] ; [26.8  9.2],1
n5,1,1.5e-05,18.74658,[119  26] ; [17 19],[108.95027624  36.04972376] ; [27.04972376  8.95027624],1
r4,1,0.000629,11.688129,[132  13] ; [25 11],[125.77348066  19.22651934] ; [31.22651934  4.77348066],1
r1,1,0.007161,7.232143,[118  26] ; [22 14],[112.  32.] ; [28.  8.],0
p6,1,0.01289,6.184191,[63 81] ; [ 7 27],[56.62921348 87.37078652] ; [13.37078652 20.62921348],0
s6,1,0.01764,5.631508,[104  38] ; [19 17],[98.12359551 43.87640449] ; [24.87640449 11.12359551],0
v1,1,0.019644,5.443302,[85 59] ; [13 22],[78.83798883 65.16201117] ; [19.16201117 15.83798883],0
s5,1,0.021268,5.304671,[48 92] ; [ 5 30],[42.4 97.6] ; [10.6 24.4],0
b1,1,0.023084,5.162176,[47 98] ; [19 17],[52.87292818 92.12707182] ; [13.12707182 22.87292818],0
p10,1,0.028156,4.818512,[115  27] ; [23 13],[110.08988764  31.91011236] ; [27.91011236  8.08988764],0
p2,1,0.034588,4.465387,[128  17] ; [26  9],[124.05555556  20.94444444] ; [29.94444444  5.05555556],0
d2,1,0.036842,4.357708,[76 68] ; [12 24],[70.4 73.6] ; [17.6 18.4],0
u2,1,0.043637,4.070538,[20 22] ; [11  3],[23.25 18.75] ; [7.75 6.25],0
u3,1,0.044045,4.054834,[23 20] ; [11  2],[26.10714286 16.89285714] ; [7.89285714 5.10714286],0
a7,1,0.044412,4.040846,[109  36] ; [21 15],[104.14364641  40.85635359] ; [25.85635359 10.14364641],0
s1,1,0.048546,3.890977,[  5 138] ; [ 4 30],[  7.27118644 135.72881356] ; [ 1.72881356 32.27118644],0
s8,1,0.051452,3.79349,[70 74] ; [11 25],[64.8 79.2] ; [16.2 19.8],0
d1,1,0.054687,3.691617,[90 55] ; [16 20],[84.91712707 60.08287293] ; [21.08287293 14.91712707],0
s2,1,0.054751,3.689657,[79 64] ; [13 22],[73.91011236 69.08988764] ; [18.08988764 16.91011236],0
p9,1,0.080282,3.059187,[118  25] ; [25 11],[114.24022346  28.75977654] ; [28.75977654  7.24022346],0
s7,1,0.081694,3.030873,[71 69] ; [12 23],[66.4 73.6] ; [16.6 18.4],0
