Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.010039,6.62803,[ 8 21] ; [14  8],[12.50980392 16.49019608] ; [ 9.49019608 12.50980392],0
a4,1,0.028522,4.796238,[ 5 24] ; [10 12],[ 8.52941176 20.47058824] ; [ 6.47058824 15.52941176],0
a3,1,0.029975,4.710724,[ 9 20] ; [13  8],[12.76 16.24] ; [ 9.24 11.76],0
p9,1,0.034675,4.461123,[12 16] ; [16  6],[15.68 12.32] ; [12.32  9.68],0
d5,1,0.038842,4.267764,[10 19] ; [14  8],[13.64705882 15.35294118] ; [10.35294118 11.64705882],0
v1,1,0.060683,3.51863,[ 5 24] ; [ 9 13],[ 7.96078431 21.03921569] ; [ 6.03921569 15.96078431],0
p10,1,0.087375,2.922078,[11 17] ; [14  8],[14. 14.] ; [11. 11.],0
p4,1,0.091096,2.854904,[ 9 20] ; [12 10],[11.94117647 17.05882353] ; [ 9.05882353 12.94117647],0
s4,1,0.097046,2.753425,[ 6 23] ; [ 1 21],[ 3.98039216 25.01960784] ; [ 3.01960784 18.98039216],0
a7,1,0.115319,2.479778,[12 17] ; [14  8],[14.78431373 14.21568627] ; [11.21568627 10.78431373],0
d1,1,0.12068,2.408475,[ 5 24] ; [ 8 14],[ 7.39215686 21.60784314] ; [ 5.60784314 16.39215686],0
p11,1,0.128124,2.315087,[15 14] ; [16  6],[17.62745098 11.37254902] ; [13.37254902  8.62745098],0
p8,1,0.161365,1.961388,[ 7 22] ; [ 9 12],[ 9.28 19.72] ; [ 6.72 14.28],0
p1,1,0.180141,1.796463,[ 1 28] ; [ 3 19],[ 2.2745098 26.7254902] ; [ 1.7254902 20.2745098],0
s1,1,0.180141,1.796463,[ 1 28] ; [ 3 19],[ 2.2745098 26.7254902] ; [ 1.7254902 20.2745098],0
u2,1,0.183677,1.767619,[ 8 12] ; [6 3],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
p3,1,0.188516,1.729179,[ 5 24] ; [ 7 14],[ 6.96 22.04] ; [ 5.04 15.96],0
p5,1,0.191897,1.70299,[ 2 27] ; [ 4 17],[ 3.48 25.52] ; [ 2.52 18.48],0
v2,1,0.216989,1.52417,[ 8 20] ; [10 12],[10.08 17.92] ; [ 7.92 14.08],0
