Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.35276,[ 1 16] ; [50 24],[9.52747253 7.47252747] ; [41.47252747 32.52747253],1
v4,1,0.000454,12.297465,[ 6 11] ; [58 16],[11.95604396  5.04395604] ; [52.04395604 21.95604396],1
r1,1,0.005338,7.761171,[ 5 12] ; [49 25],[10.08791209  6.91208791] ; [43.91208791 30.08791209],0
r3,1,0.006831,7.31685,[ 6 11] ; [52 22],[10.83516484  6.16483516] ; [47.16483516 26.83516484],0
d2,1,0.017524,5.643071,[ 4 13] ; [40 32],[8.40449438 8.59550562] ; [35.59550562 36.40449438],0
d3,1,0.036561,4.370743,[ 5 12] ; [42 31],[8.87777778 8.12222222] ; [38.12222222 34.87777778],0
d1,1,0.037983,4.305776,[ 4 13] ; [38 36],[7.84615385 9.15384615] ; [34.15384615 39.84615385],0
s7,1,0.038685,4.274663,[ 1 14] ; [22 44],[ 4.25925926 10.74074074] ; [18.74074074 47.25925926],0
p10,1,0.062099,3.480423,[ 2 14] ; [26 45],[ 5.14942529 10.85057471] ; [22.85057471 48.14942529],0
v3,1,0.064172,3.426126,[ 2 15] ; [24 45],[ 5.13953488 11.86046512] ; [20.86046512 48.13953488],0
d5,1,0.066463,3.368271,[9 8] ; [55 18],[12.08888889  4.91111111] ; [51.91111111 21.08888889],0
s6,1,0.075677,3.155374,[ 4 13] ; [34 38],[7.25842697 9.74157303] ; [30.74157303 41.25842697],0
v2,1,0.077027,3.126548,[ 3 13] ; [31 42],[6.11235955 9.88764045] ; [27.88764045 45.11235955],0
n2,1,0.08866,2.898542,[2 5] ; [24 14],[4.04444444 2.95555556] ; [21.95555556 16.04444444],0
a5,1,0.088717,2.897505,[8 9] ; [51 23],[11.02197802  5.97802198] ; [47.97802198 26.02197802],0
n3,1,0.094264,2.8,[2 5] ; [22 13],[4. 3.] ; [20. 15.],0
n6,1,0.109951,2.554928,[ 6 11] ; [42 32],[8.96703297 8.03296703] ; [39.03296703 34.96703297],0
p9,1,0.120071,2.4164,[ 3 12] ; [29 41],[5.64705882 9.35294118] ; [26.35294118 43.64705882],0
s2,1,0.162886,1.947226,[ 3 14] ; [26 48],[ 5.41758242 11.58241758] ; [23.58241758 50.41758242],0
b1,1,0.180303,1.795129,[12  5] ; [39 35],[9.52747253 7.47252747] ; [41.47252747 32.52747253],0
p8,1,0.183492,1.769112,[ 1 15] ; [15 59],[ 2.84444444 13.15555556] ; [13.15555556 60.84444444],0
a8,1,0.22169,1.493398,[ 3 13] ; [ 6 65],[ 1.65517241 14.34482759] ; [ 7.34482759 63.65517241],0
a2,1,0.259447,1.271706,[ 2 15] ; [18 56],[ 3.73626374 13.26373626] ; [16.26373626 57.73626374],0
a6,1,0.264599,1.244532,[ 7 10] ; [41 32],[9.06666667 7.93333333] ; [38.93333333 34.06666667],0
v1,1,0.314211,1.012894,[ 3 14] ; [22 52],[ 4.67032967 12.32967033] ; [20.32967033 53.67032967],0
a3,1,0.348111,0.880331,[9 7] ; [50 23],[10.60674157  5.39325843] ; [48.39325843 24.60674157],0
a4,1,0.373863,0.790785,[ 6 11] ; [34 38],[7.64044944 9.35955056] ; [32.35955056 39.64044944],0
s4,1,0.417148,0.658336,[ 2 15] ; [15 59],[ 3.17582418 13.82417582] ; [13.82417582 60.17582418],0
a7,1,0.419098,0.652842,[9 8] ; [47 27],[10.46153846  6.53846154] ; [45.53846154 28.46153846],0
p5,1,0.473522,0.513747,[ 1 15] ; [ 2 72],[ 0.53333333 15.46666667] ; [ 2.46666667 71.53333333],0
d4,1,0.517651,0.418571,[11  6] ; [53 20],[12.08888889  4.91111111] ; [51.91111111 21.08888889],0
s1,1,0.546686,0.363288,[ 3 14] ; [ 9 65],[ 2.24175824 14.75824176] ; [ 9.75824176 64.24175824],0
a1,1,0.546686,0.363288,[ 3 14] ; [ 9 65],[ 2.24175824 14.75824176] ; [ 9.75824176 64.24175824],0
b4,1,0.602391,0.271404,[9 8] ; [34 40],[8.03296703 8.96703297] ; [34.96703297 39.03296703],0
p3,1,0.632629,0.228513,[ 3 13] ; [18 56],[ 3.73333333 12.26666667] ; [17.26666667 56.73333333],0
p7,1,0.752583,0.099373,[ 5 12] ; [19 55],[ 4.48351648 12.51648352] ; [19.51648352 54.48351648],0
u2,1,0.829856,0.046176,[3 5] ; [ 8 16],[2.75 5.25] ; [ 8.25 15.75],0
u3,1,0.835378,0.043185,[3 5] ; [10 14],[3.25 4.75] ; [ 9.75 14.25],0
n5,1,0.853898,0.03391,[9 8] ; [41 33],[9.34065934 7.65934066] ; [40.65934066 33.34065934],0
s3,1,0.868875,0.027254,[ 6 10] ; [29 44],[6.29213483 9.70786517] ; [28.70786517 44.29213483],0
b3,1,0.873382,0.025397,[5 9] ; [16 26],[5.25 8.75] ; [15.75 26.25],0
b2,1,0.873382,0.025397,[5 9] ; [16 26],[5.25 8.75] ; [15.75 26.25],0
b5,1,0.876599,0.024112,[10  7] ; [42 32],[9.71428571 7.28571429] ; [42.28571429 31.71428571],0
p4,1,0.885543,0.020721,[ 4 13] ; [16 57],[ 3.77777778 13.22222222] ; [16.22222222 56.77777778],0
p1,1,0.909712,0.01286,[ 2 15] ; [ 8 66],[ 1.86813187 15.13186813] ; [ 8.13186813 65.86813187],0
n4,1,0.93385,0.006889,[9 8] ; [40 34],[9.15384615 7.84615385] ; [39.84615385 34.15384615],0
n1,1,0.984912,0.000358,[3 4] ; [16 21],[3.02272727 3.97727273] ; [15.97727273 21.02272727],0
