Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.086359,2.940972,[5 1] ; [3 5],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
a3,1,0.09533,2.781979,[5 6] ; [22  8],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
a6,1,0.097589,2.744515,[9 2] ; [16 14],[6.70731707 4.29268293] ; [18.29268293 11.70731707],0
a5,1,0.103126,2.656529,[6 5] ; [24  6],[8.04878049 2.95121951] ; [21.95121951  8.04878049],0
n2,1,0.103522,2.650421,[1 4] ; [11  7],[2.60869565 2.39130435] ; [9.39130435 8.60869565],0
s3,1,0.111017,2.539683,[1 9] ; [11 19],[3. 7.] ; [ 9. 21.],0
p10,1,0.123125,2.377112,[4 7] ; [19 11],[6.17073171 4.82926829] ; [16.82926829 13.17073171],0
r1,1,0.138161,2.198318,[3 8] ; [16 14],[5.09756098 5.90243902] ; [13.90243902 16.09756098],0
d2,1,0.144523,2.129128,[4 7] ; [18 11],[6.05 4.95] ; [15.95 13.05],0
b3,1,0.200679,1.637427,[4 4] ; [ 5 15],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
b2,1,0.200679,1.637427,[4 4] ; [ 5 15],[2.57142857 5.42857143] ; [ 6.42857143 13.57142857],0
s2,1,0.228332,1.451221,[ 1 10] ; [ 8 22],[2.41463415 8.58536585] ; [ 6.58536585 23.41463415],0
s8,1,0.228332,1.451221,[ 1 10] ; [ 8 22],[2.41463415 8.58536585] ; [ 6.58536585 23.41463415],0
v2,1,0.252023,1.312055,[5 6] ; [ 8 22],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
p8,1,0.259753,1.270072,[2 9] ; [11 19],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
d4,1,0.307917,1.039589,[10  1] ; [23  7],[8.85365854 2.14634146] ; [24.14634146  5.85365854],0
n6,1,0.342558,0.900833,[5 6] ; [18 11],[6.325 4.675] ; [16.675 12.325],0
n4,1,0.355168,0.854906,[6 5] ; [21  9],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
v4,1,0.404086,0.696134,[7 4] ; [23  7],[8.04878049 2.95121951] ; [21.95121951  8.04878049],0
n5,1,0.404086,0.696134,[7 4] ; [23  7],[8.04878049 2.95121951] ; [21.95121951  8.04878049],0
p12,1,0.448271,0.575019,[ 1 10] ; [ 1 29],[ 0.53658537 10.46341463] ; [ 1.46341463 28.53658537],0
a1,1,0.54313,0.369769,[ 1 10] ; [ 5 25],[1.6097561 9.3902439] ; [ 4.3902439 25.6097561],0
s5,1,0.575106,0.314213,[2 9] ; [ 8 22],[2.68292683 8.31707317] ; [ 7.31707317 22.68292683],0
p9,1,0.579585,0.306905,[5 5] ; [18 12],[5.75 4.25] ; [17.25 12.75],0
p6,1,0.618144,0.248485,[3 8] ; [ 6 24],[2.41463415 8.58536585] ; [ 6.58536585 23.41463415],0
u3,1,0.639994,0.21875,[3 3] ; [5 3],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
a7,1,0.688156,0.161089,[7 4] ; [17 13],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
p1,1,0.713013,0.135286,[ 1 10] ; [ 4 26],[1.34146341 9.65853659] ; [ 3.65853659 26.34146341],0
a4,1,0.723259,0.125392,[5 6] ; [15 14],[5.5 5.5] ; [14.5 14.5],0
d1,1,0.75344,0.098663,[6 5] ; [18 12],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
b5,1,0.75344,0.098663,[6 5] ; [18 12],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
s7,1,0.785704,0.073926,[3 6] ; [ 8 20],[2.67567568 6.32432432] ; [ 8.32432432 19.67567568],0
u1,1,0.791701,0.06975,[ 1 10] ; [ 2 28],[ 0.80487805 10.19512195] ; [ 2.19512195 27.80487805],0
p7,1,0.801336,0.063312,[4 7] ; [ 9 19],[3.66666667 7.33333333] ; [ 9.33333333 18.66666667],0
s6,1,0.832506,0.044727,[4 7] ; [12 18],[4.29268293 6.70731707] ; [11.70731707 18.29268293],0
p11,1,0.832506,0.044727,[4 7] ; [12 18],[4.29268293 6.70731707] ; [11.70731707 18.29268293],0
d3,1,0.856135,0.032868,[7 4] ; [20 10],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
n3,1,0.859234,0.031453,[2 3] ; [ 8 10],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
s4,1,0.909048,0.013051,[2 9] ; [ 5 25],[1.87804878 9.12195122] ; [ 5.12195122 24.87804878],0
a2,1,0.909048,0.013051,[2 9] ; [ 5 25],[1.87804878 9.12195122] ; [ 5.12195122 24.87804878],0
p3,1,0.927151,0.008359,[4 7] ; [11 18],[4.125 6.875] ; [10.875 18.125],0
p5,1,0.944277,0.004885,[2 9] ; [ 5 24],[1.925 9.075] ; [ 5.075 23.925],0
v3,1,0.969044,0.001506,[3 8] ; [ 8 22],[2.95121951 8.04878049] ; [ 8.04878049 21.95121951],0
p2,1,0.97161,0.001267,[5 6] ; [13 16],[4.95 6.05] ; [13.05 15.95],0
v1,1,0.98576,0.000319,[4 7] ; [11 19],[4.02439024 6.97560976] ; [10.97560976 19.02439024],0
b4,1,0.98576,0.000319,[7 4] ; [19 11],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
p4,1,0.98576,0.000319,[4 7] ; [11 19],[4.02439024 6.97560976] ; [10.97560976 19.02439024],0
