Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.00013,14.645789,[ 3 24] ; [16 10],[ 9.67924528 17.32075472] ; [ 9.32075472 16.67924528],1
b4,1,0.001082,10.681319,[ 8 19] ; [20  7],[14. 13.] ; [14. 13.],0
a3,1,0.008364,6.953895,[14 13] ; [23  4],[18.5  8.5] ; [18.5  8.5],0
d3,1,0.021236,5.307346,[15 12] ; [22  4],[18.8490566  8.1509434] ; [18.1509434  7.8490566],0
a4,1,0.033441,4.523077,[ 4 23] ; [11 16],[ 7.5 19.5] ; [ 7.5 19.5],0
p10,1,0.050937,3.810327,[16 10] ; [23  4],[19.13207547  6.86792453] ; [19.86792453  7.13207547],0
a2,1,0.067889,3.333333,[ 2 25] ; [ 7 20],[ 4.5 22.5] ; [ 4.5 22.5],0
p9,1,0.077712,3.11211,[18  8] ; [24  3],[20.60377358  5.39622642] ; [21.39622642  5.60377358],0
s6,1,0.1115,2.532833,[18  9] ; [23  4],[20.5  6.5] ; [20.5  6.5],0
v1,1,0.131994,2.268896,[18  9] ; [12 14],[15.28301887 11.71698113] ; [14.71698113 11.28301887],0
a7,1,0.154213,2.030075,[15 12] ; [20  7],[17.5  9.5] ; [17.5  9.5],0
r2,1,0.158185,1.991489,[22  4] ; [25  1],[23.5  2.5] ; [23.5  2.5],0
p2,1,0.214193,1.542857,[22  5] ; [18  9],[20.  7.] ; [20.  7.],0
n5,1,0.219077,1.510405,[14 12] ; [10 17],[11.77358491 14.22641509] ; [12.22641509 14.77358491],0
a5,1,0.259656,1.270588,[15 12] ; [19  8],[17. 10.] ; [17. 10.],0
b1,1,0.273322,1.2,[17 10] ; [13 14],[15. 12.] ; [15. 12.],0
p5,1,0.280386,1.16522,[ 1 26] ; [ 3 23],[ 2.03773585 24.96226415] ; [ 1.96226415 24.03773585],0
u1,1,0.298698,1.08,[ 1 26] ; [ 3 24],[ 2. 25.] ; [ 2. 25.],0
v4,1,0.336311,0.924444,[24  1] ; [24  3],[23.07692308  1.92307692] ; [24.92307692  2.07692308],0
v2,1,0.373678,0.791396,[13 13] ; [15  9],[14.56 11.44] ; [13.44 10.56],0
s4,1,0.379397,0.772655,[10 17] ; [ 7 20],[ 8.5 18.5] ; [ 8.5 18.5],0
p11,1,0.392615,0.730827,[16 11] ; [19  8],[17.5  9.5] ; [17.5  9.5],0
p3,1,0.402348,0.701299,[12 15] ; [ 9 18],[10.5 16.5] ; [10.5 16.5],0
s3,1,0.40731,0.68664,[18  9] ; [20  6],[19.35849057  7.64150943] ; [18.64150943  7.35849057],0
a8,1,0.443346,0.587607,[ 4 22] ; [ 2 22],[ 3.12 22.88] ; [ 2.88 21.12],0
b2,1,0.528871,0.396561,[ 4 11] ; [ 7 12],[ 4.85294118 10.14705882] ; [ 6.14705882 12.85294118],0
b3,1,0.528871,0.396561,[ 4 11] ; [ 7 12],[ 4.85294118 10.14705882] ; [ 6.14705882 12.85294118],0
r4,1,0.534561,0.385714,[21  6] ; [19  8],[20.  7.] ; [20.  7.],0
v3,1,0.560427,0.338965,[ 6 20] ; [ 7 16],[ 6.89795918 19.10204082] ; [ 6.10204082 16.89795918],0
b5,1,0.583882,0.3,[14 13] ; [16 11],[15. 12.] ; [15. 12.],0
r3,1,0.607005,0.26456,[23  3] ; [25  2],[23.54716981  2.45283019] ; [24.45283019  2.54716981],0
p1,1,0.638729,0.220408,[ 3 24] ; [ 2 25],[ 2.5 24.5] ; [ 2.5 24.5],0
n3,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
a6,1,0.695575,0.153116,[20  7] ; [18  8],[19.35849057  7.64150943] ; [18.64150943  7.35849057],0
r1,1,0.76952,0.085851,[18  9] ; [19  8],[18.5  8.5] ; [18.5  8.5],0
s2,1,0.775674,0.081203,[17 10] ; [18  9],[17.5  9.5] ; [17.5  9.5],0
p8,1,0.777464,0.079877,[11 15] ; [10 16],[10.5 15.5] ; [10.5 15.5],0
s8,1,0.784918,0.074483,[14 13] ; [15 12],[14.5 12.5] ; [14.5 12.5],0
p4,1,0.784918,0.074483,[12 15] ; [13 14],[12.5 14.5] ; [12.5 14.5],0
n1,1,0.808655,0.058642,[5 4] ; [5 5],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
s5,1,0.855772,0.033036,[10 16] ; [ 9 16],[ 9.68627451 16.31372549] ; [ 9.31372549 15.68627451],0
p7,1,0.910431,0.012655,[15 10] ; [16 10],[15.19607843  9.80392157] ; [15.80392157 10.19607843],0
p6,1,0.928014,0.008162,[ 8 18] ; [ 8 19],[ 7.8490566 18.1509434] ; [ 8.1509434 18.8490566],0
n4,1,1.0,0.0,[15 12] ; [15 12],[15. 12.] ; [15. 12.],0
