Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00437,8.123299,[13 10] ; [25 72],[ 7.28333333 15.71666667] ; [30.71666667 66.28333333],0
p2,1,0.007692,7.103797,[18  5] ; [46 51],[12.26666667 10.73333333] ; [51.73333333 45.26666667],0
d5,1,0.008139,7.002569,[ 8 15] ; [63 34],[13.60833333  9.39166667] ; [57.39166667 39.60833333],0
v4,1,0.02898,4.768807,[22  1] ; [72 24],[18.16806723  4.83193277] ; [75.83193277 20.16806723],0
d2,1,0.043051,4.09339,[ 6 17] ; [47 48],[10.33050847 12.66949153] ; [42.66949153 52.33050847],0
s8,1,0.049671,3.852543,[11 12] ; [26 71],[ 7.09166667 15.90833333] ; [29.90833333 67.09166667],0
r3,1,0.077839,3.10946,[21  2] ; [72 25],[17.825  5.175] ; [75.175 21.825],0
p9,1,0.079473,3.075649,[19  4] ; [59 34],[15.46551724  7.53448276] ; [62.53448276 30.46551724],0
u2,1,0.089688,2.879968,[7 4] ; [11 21],[4.60465116 6.39534884] ; [13.39534884 18.60465116],0
p3,1,0.093044,2.820908,[10 13] ; [25 72],[ 6.70833333 16.29166667] ; [28.29166667 68.70833333],0
s5,1,0.095026,2.787109,[ 2 21] ; [22 67],[ 4.92857143 18.07142857] ; [19.07142857 69.92857143],0
n3,1,0.09896,2.722222,[2 5] ; [26 16],[4. 3.] ; [24. 18.],0
r4,1,0.116911,2.458225,[18  5] ; [59 38],[14.75833333  8.24166667] ; [62.24166667 34.75833333],0
p10,1,0.14218,2.154204,[16  7] ; [50 45],[12.86440678 10.13559322] ; [53.13559322 41.86440678],0
a4,1,0.153374,2.03837,[ 7 16] ; [45 51],[10.05042017 12.94957983] ; [41.94957983 54.05042017],0
n6,1,0.158945,1.984232,[19  4] ; [65 31],[16.23529412  6.76470588] ; [67.76470588 28.23529412],0
v2,1,0.16711,1.908678,[10 12] ; [27 63],[ 7.26785714 14.73214286] ; [29.73214286 60.26785714],0
v1,1,0.173535,1.852139,[ 6 17] ; [39 55],[ 8.84615385 14.15384615] ; [36.15384615 57.84615385],0
u3,1,0.177883,1.815226,[2 9] ; [13 19],[3.8372093 7.1627907] ; [11.1627907 20.8372093],0
d1,1,0.179085,1.805201,[ 6 17] ; [40 57],[ 8.81666667 14.18333333] ; [37.18333333 59.81666667],0
a3,1,0.18217,1.77983,[12 11] ; [65 32],[14.75833333  8.24166667] ; [62.24166667 34.75833333],0
b4,1,0.192953,1.694927,[16  7] ; [53 44],[13.225  9.775] ; [55.775 41.225],0
