Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6.7e-05,15.898914,[  7 166] ; [11 41],[ 13.84 159.16] ; [ 4.16 47.84],1
p3,1,0.000124,14.736385,[ 67 105] ; [36 16],[79.08928571 92.91071429] ; [23.91071429 28.08928571],1
s6,1,0.00017,14.139676,[ 64 110] ; [35 18],[75.88546256 98.11453744] ; [23.11453744 29.88546256],1
s4,1,0.002483,9.152934,[ 12 161] ; [11 40],[ 17.76339286 155.23660714] ; [ 5.23660714 45.76339286],0
p1,1,0.004503,8.0691,[  7 167] ; [ 8 45],[ 11.49779736 162.50220264] ; [ 3.50220264 49.49779736],0
s8,1,0.008664,6.890743,[ 40 133] ; [22 31],[ 47.46017699 125.53982301] ; [14.53982301 38.46017699],0
b5,1,0.010416,6.562398,[116  58] ; [25 28],[108.07929515  65.92070485] ; [32.92070485 20.07929515],0
p4,1,0.016345,5.76534,[90 82] ; [37 15],[97.51785714 74.48214286] ; [29.48214286 22.51785714],0
p10,1,0.028318,4.808587,[123  49] ; [45  7],[129.  43.] ; [39. 13.],0
u1,1,0.028712,4.784787,[ 34 140] ; [18 35],[ 39.85903084 134.14096916] ; [12.14096916 40.85903084],0
b3,1,0.034595,4.465074,[32 73] ; [18 18],[37.23404255 67.76595745] ; [12.76595745 23.23404255],0
b2,1,0.034595,4.465074,[32 73] ; [18 18],[37.23404255 67.76595745] ; [12.76595745 23.23404255],0
s2,1,0.037566,4.32456,[ 22 151] ; [13 40],[ 26.7920354 146.2079646] ; [ 8.2079646 44.7920354],0
a5,1,0.040605,4.192428,[140  34] ; [49  4],[144.8722467  29.1277533] ; [44.1277533  8.8722467],0
n6,1,0.047208,3.937975,[140  33] ; [49  4],[144.67699115  28.32300885] ; [44.32300885  8.67699115],0
a7,1,0.06114,3.506183,[136  38] ; [34 18],[130.88495575  43.11504425] ; [39.11504425 12.88495575],0
p12,1,0.067644,3.339296,[  4 168] ; [ 4 48],[  6.14285714 165.85714286] ; [ 1.85714286 50.14285714],0
p6,1,0.068099,3.328265,[ 49 121] ; [22 30],[ 54.36936937 115.63063063] ; [16.63063063 35.36936937],0
a4,1,0.092228,2.83505,[91 81] ; [35 18],[96.32 75.68] ; [29.68 23.32],0
s7,1,0.107261,2.594122,[ 41 123] ; [18 31],[ 45.42723005 118.57276995] ; [13.57276995 35.42723005],0
