Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7e-06,20.1952,[5 4] ; [249  15],[8.37362637 0.62637363] ; [245.62637363  18.37362637],1
p7,1,0.002052,9.502427,[3 6] ; [203  58],[6.86666667 2.13333333] ; [199.13333333  61.86666667],0
r2,1,0.006928,7.291518,[6 2] ; [250  11],[7.6133829 0.3866171] ; [248.3866171  12.6133829],0
n3,1,0.009432,6.739202,[2 5] ; [36 11],[4.92592593 2.07407407] ; [33.07407407 13.92592593],0
r1,1,0.014668,5.955937,[5 4] ; [224  38],[7.60516605 1.39483395] ; [221.39483395  40.60516605],0
p11,1,0.027786,4.841302,[5 4] ; [221  43],[7.45054945 1.54945055] ; [218.54945055  45.45054945],0
v1,1,0.040519,4.196038,[3 6] ; [170  86],[5.8754717 3.1245283] ; [167.1245283  88.8754717],0
d1,1,0.078489,3.09591,[4 5] ; [189  75],[6.36263736 2.63736264] ; [186.63736264  77.36263736],0
d4,1,0.088385,2.90354,[6 3] ; [228  35],[7.74264706 1.25735294] ; [226.25735294  36.74264706],0
p3,1,0.08946,2.884059,[4 5] ; [187  77],[6.2967033 2.7032967] ; [184.7032967  79.2967033],0
s6,1,0.102587,2.664856,[6 3] ; [224  36],[7.69516729 1.30483271] ; [222.30483271  37.69516729],0
d5,1,0.108574,2.574852,[6 3] ; [226  37],[7.67647059 1.32352941] ; [224.32352941  38.67647059],0
v2,1,0.190373,1.714727,[3 5] ; [155 101],[4.78787879 3.21212121] ; [153.21212121 102.78787879],0
a5,1,0.251452,1.315219,[6 3] ; [216  48],[7.31868132 1.68131868] ; [214.68131868  49.31868132],0
s1,1,0.277412,1.179724,[1 8] ; [ 10 251],[0.36666667 8.63333333] ; [ 10.63333333 250.36666667],0
p10,1,0.28068,1.163793,[7 2] ; [233  28],[8. 1.] ; [232.  29.],0
a3,1,0.315869,1.005975,[6 3] ; [212  52],[7.18681319 1.81318681] ; [210.81318681  53.18681319],0
a4,1,0.347737,0.881699,[3 6] ; [130 134],[4.38461538 4.61538462] ; [128.61538462 135.38461538],0
p12,1,0.418459,0.654638,[2 7] ; [ 34 229],[1.19117647 7.80882353] ; [ 34.80882353 228.19117647],0
s7,1,0.429531,0.624092,[8 1] ; [193  55],[7.03891051 1.96108949] ; [193.96108949  54.03891051],0
p6,1,0.445629,0.581745,[4 5] ; [150 112],[5.11439114 3.88560886] ; [148.88560886 113.11439114],0
p5,1,0.465668,0.532236,[1 8] ; [ 55 205],[1.87360595 7.12639405] ; [ 54.12639405 205.87360595],0
a6,1,0.499389,0.456235,[7 2] ; [177  87],[6.06593407 2.93406593] ; [177.93406593  86.06593407],0
n4,1,0.566957,0.327801,[7 2] ; [223  40],[7.61029412 1.38970588] ; [222.38970588  40.61029412],0
s2,1,0.571718,0.319816,[6 3] ; [195  65],[6.72490706 2.27509294] ; [194.27509294  65.72490706],0
s3,1,0.581674,0.303536,[6 3] ; [193  65],[6.70786517 2.29213483] ; [192.29213483  65.70786517],0
b4,1,0.617679,0.249143,[6 3] ; [154 110],[5.27472527 3.72527473] ; [154.72527473 109.27472527],0
a2,1,0.618899,0.247418,[2 7] ; [ 79 185],[2.67032967 6.32967033] ; [ 78.32967033 185.67032967],0
s5,1,0.626306,0.237103,[3 5] ; [116 135],[3.67567568 4.32432432] ; [115.32432432 135.67567568],0
d2,1,0.649109,0.207025,[6 3] ; [156 108],[5.34065934 3.65934066] ; [156.65934066 107.34065934],0
b5,1,0.665104,0.187382,[6 3] ; [157 107],[5.37362637 3.62637363] ; [157.62637363 106.37362637],0
n5,1,0.694427,0.154334,[8 1] ; [221  42],[7.57720588 1.42279412] ; [221.42279412  41.57720588],0
p9,1,0.70123,0.147195,[8 1] ; [242  20],[8.30258303 0.69741697] ; [241.69741697  20.30258303],0
d3,1,0.773802,0.082602,[7 2] ; [194  70],[6.62637363 2.37362637] ; [194.37362637  69.62637363],0
b3,1,0.774072,0.082399,[3 3] ; [ 82 104],[2.65625 3.34375] ; [ 82.34375 103.65625],0
b2,1,0.774072,0.082399,[3 3] ; [ 82 104],[2.65625 3.34375] ; [ 82.34375 103.65625],0
a7,1,0.792875,0.068948,[6 3] ; [186  77],[6.35294118 2.64705882] ; [185.64705882  77.35294118],0
b1,1,0.814144,0.055264,[4 5] ; [107 157],[3.65934066 5.34065934] ; [107.34065934 156.65934066],0
u1,1,0.849714,0.035904,[2 7] ; [ 66 198],[2.24175824 6.75824176] ; [ 65.75824176 198.24175824],0
s4,1,0.856201,0.032838,[2 7] ; [ 52 211],[1.78676471 7.21323529] ; [ 52.21323529 210.78676471],0
n2,1,0.858965,0.031574,[5 2] ; [32 15],[4.7962963 2.2037037] ; [32.2037037 14.7962963],0
v3,1,0.911949,0.012228,[4 4] ; [121 131],[3.84615385 4.15384615] ; [121.15384615 130.84615385],0
p1,1,0.96772,0.001638,[1 8] ; [ 28 234],[0.96309963 8.03690037] ; [ 28.03690037 233.96309963],0
n6,1,0.96772,0.001638,[8 1] ; [234  28],[8.03690037 0.96309963] ; [233.96309963  28.03690037],0
n1,1,0.975357,0.000954,[3 4] ; [20 26],[3.03773585 3.96226415] ; [19.96226415 26.03773585],0
u3,1,0.981644,0.000529,[2 1] ; [35 17],[2.01818182 0.98181818] ; [34.98181818 17.01818182],0
p8,1,0.993642,6.3e-05,[6 3] ; [175  87],[6.01107011 2.98892989] ; [174.98892989  87.01107011],0
