Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n1,1,0.086069,2.946405,[ 4 16] ; [2 1],[ 5.2173913 14.7826087] ; [0.7826087 2.2173913],0
s7,1,0.102554,2.665369,[24 33] ; [4 1],[25.74193548 31.25806452] ; [2.25806452 2.74193548],0
p2,1,0.125648,2.34546,[45 17] ; [2 3],[43.49253731 18.50746269] ; [3.50746269 1.49253731],0
p1,1,0.168689,1.89456,[ 3 59] ; [1 4],[ 3.70149254 58.29850746] ; [0.29850746 4.70149254],0
a6,1,0.178767,1.807843,[43 19] ; [2 3],[41.64179104 20.35820896] ; [3.35820896 1.64179104],0
s3,1,0.19639,1.669018,[31 31] ; [4 1],[32.3880597 29.6119403] ; [2.6119403 2.3880597],0
s2,1,0.220712,1.499734,[32 30] ; [4 1],[33.31343284 28.68656716] ; [2.68656716 2.31343284],0
v4,1,0.267437,1.229844,[58  4] ; [4 1],[57.37313433  4.62686567] ; [4.62686567 0.37313433],0
p9,1,0.267437,1.229844,[58  4] ; [4 1],[57.37313433  4.62686567] ; [4.62686567 0.37313433],0
p7,1,0.272256,1.205344,[32 28] ; [1 3],[30.9375 29.0625] ; [2.0625 1.9375],0
p6,1,0.275548,1.188916,[22 40] ; [3 2],[23.13432836 38.86567164] ; [1.86567164 3.13432836],0
a7,1,0.326044,0.964545,[49 13] ; [3 2],[48.11940299 13.88059701] ; [3.88059701 1.11940299],0
u1,1,0.326044,0.964545,[13 49] ; [2 3],[13.88059701 48.11940299] ; [1.11940299 3.88059701],0
v2,1,0.328068,0.956509,[34 25] ; [4 1],[35.03125 23.96875] ; [2.96875 2.03125],0
d3,1,0.379493,0.772343,[48 14] ; [3 2],[47.19402985 14.80597015] ; [3.80597015 1.19402985],0
p8,1,0.390797,0.736462,[25 37] ; [3 2],[25.91044776 36.08955224] ; [2.08955224 2.91044776],0
s8,1,0.432894,0.615046,[26 36] ; [3 2],[26.8358209 35.1641791] ; [2.1641791 2.8358209],0
p4,1,0.451655,0.566495,[26 35] ; [3 2],[26.8030303 34.1969697] ; [2.1969697 2.8030303],0
b4,1,0.476683,0.506443,[35 27] ; [2 3],[34.23880597 27.76119403] ; [2.76119403 2.23880597],0
n5,1,0.483011,0.492057,[40 22] ; [4 1],[40.71641791 21.28358209] ; [3.28358209 1.71641791],0
s6,1,0.495856,0.463795,[39 21] ; [4 1],[39.69230769 20.30769231] ; [3.30769231 1.69230769],0
a4,1,0.522075,0.409793,[28 34] ; [3 2],[28.68656716 33.31343284] ; [2.31343284 2.68656716],0
v1,1,0.522075,0.409793,[28 34] ; [3 2],[28.68656716 33.31343284] ; [2.31343284 2.68656716],0
a5,1,0.525206,0.403659,[41 21] ; [4 1],[41.64179104 20.35820896] ; [3.35820896 1.64179104],0
v3,1,0.567827,0.326332,[24 37] ; [1 3],[23.46153846 37.53846154] ; [1.53846154 2.46153846],0
n2,1,0.601598,0.272593,[16  4] ; [2 1],[15.65217391  4.34782609] ; [2.34782609 0.65217391],0
p3,1,0.664451,0.188162,[19 43] ; [2 3],[19.43283582 42.56716418] ; [1.56716418 3.43283582],0
b5,1,0.722882,0.125748,[42 20] ; [3 2],[41.64179104 20.35820896] ; [3.35820896 1.64179104],0
u2,1,0.763441,0.09058,[ 9 14] ; [1 1],[ 9.2 13.8] ; [0.8 1.2],0
a2,1,0.774093,0.082383,[16 46] ; [1 4],[15.73134328 46.26865672] ; [1.26865672 3.73134328],0
b2,1,0.854403,0.033673,[10 18] ; [2 3],[10.18181818 17.81818182] ; [1.81818182 3.18181818],0
b3,1,0.854403,0.033673,[10 18] ; [2 3],[10.18181818 17.81818182] ; [1.81818182 3.18181818],0
a3,1,0.860434,0.030913,[39 22] ; [3 2],[38.81818182 22.18181818] ; [3.18181818 1.81818182],0
u3,1,0.901694,0.015257,[10 12] ; [1 1],[10.08333333 11.91666667] ; [0.91666667 1.08333333],0
n3,1,0.906855,0.01369,[14  6] ; [2 1],[13.91304348  6.08695652] ; [2.08695652 0.91304348],0
n6,1,0.959166,0.002622,[49 13] ; [4 1],[49.04477612 12.95522388] ; [3.95522388 1.04477612],0
