Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,69.994233,[ 38 206] ; [130 125],[ 82.14829659 161.85170341] ; [ 85.85170341 169.14829659],1
s3,1,0.0,61.689235,[ 59 184] ; [148 102],[102.03042596 140.96957404] ; [104.96957404 145.03042596],1
s5,1,0.0,48.928307,[ 26 215] ; [ 95 155],[ 59.3910387 181.6089613] ; [ 61.6089613 188.3910387],1
s7,1,0.0,28.732338,[ 34 196] ; [ 90 158],[ 59.66527197 170.33472803] ; [ 64.33472803 183.66527197],1
s4,1,5e-06,20.955778,[ 18 227] ; [ 55 196],[ 36.05846774 208.94153226] ; [ 36.94153226 214.05846774],1
p4,1,7e-06,20.248729,[ 94 147] ; [151 104],[119.04233871 121.95766129] ; [125.95766129 129.04233871],1
r4,1,4.8e-05,16.507724,[198  47] ; [239  18],[213.27689243  31.72310757] ; [223.72310757  33.27689243],1
p9,1,5.5e-05,16.252496,[164  77] ; [209  41],[183.0814664  57.9185336] ; [189.9185336  60.0814664],1
n6,1,0.000654,11.616605,[174  70] ; [215  41],[189.832  54.168] ; [199.168  56.832],1
p12,1,0.000793,11.258611,[  3 238] ; [ 19 236],[ 10.68951613 230.31048387] ; [ 11.31048387 243.68951613],1
r3,1,0.001472,10.11304,[216  28] ; [245  10],[225.41883768  18.58116232] ; [235.58116232  19.41883768],0
p2,1,0.001694,9.854875,[174  67] ; [213  41],[188.41818182  52.58181818] ; [198.58181818  55.41818182],0
p10,1,0.00243,9.19266,[160  81] ; [198  54],[175.00608519  65.99391481] ; [182.99391481  69.00608519],0
n5,1,0.004215,8.188776,[151  93] ; [189  67],[165.92  78.08] ; [174.08  81.92],0
p6,1,0.004412,8.105817,[ 51 188] ; [ 82 168],[ 65.00408998 173.99591002] ; [ 67.99591002 182.00408998],0
r1,1,0.004532,8.057158,[174  70] ; [210  46],[187.392  56.608] ; [196.608  59.392],0
p3,1,0.006722,7.345727,[ 84 158] ; [119 136],[ 98.84507042 143.15492958] ; [104.15492958 150.84507042],0
p7,1,0.011715,6.353562,[119 122] ; [150  97],[132.84631148 108.15368852] ; [136.15368852 110.84631148],0
v4,1,0.013728,6.072812,[218  24] ; [246  11],[225.0260521  16.9739479] ; [238.9739479  18.0260521],0
