Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9.4e-05,15.253941,[10  4] ; [19 71],[ 3.90384615 10.09615385] ; [25.09615385 64.90384615],1
s8,1,0.002338,9.263584,[5 9] ; [ 7 83],[ 1.61538462 12.38461538] ; [10.38461538 79.61538462],0
p7,1,0.022306,5.221754,[9 5] ; [29 60],[5.16504854 8.83495146] ; [32.83495146 56.16504854],0
b4,1,0.030187,4.698595,[5 9] ; [60 31],[8.66666667 5.33333333] ; [56.33333333 34.66666667],0
n3,1,0.07376,3.197297,[1 4] ; [23 14],[2.85714286 2.14285714] ; [21.14285714 15.85714286],0
r3,1,0.080909,3.046542,[13  1] ; [63 26],[10.33009709  3.66990291] ; [65.66990291 23.33009709],0
n6,1,0.081061,3.043508,[12  2] ; [55 34],[9.10679612 4.89320388] ; [57.89320388 31.10679612],0
v3,1,0.09006,2.873295,[6 7] ; [21 67],[3.47524752 9.52475248] ; [23.52475248 64.47524752],0
p3,1,0.091995,2.839113,[6 8] ; [20 71],[ 3.46666667 10.53333333] ; [22.53333333 68.46666667],0
p8,1,0.114921,2.485207,[6 8] ; [21 70],[ 3.6 10.4] ; [23.4 67.6],0
s1,1,0.141794,2.158385,[ 2 12] ; [ 4 86],[ 0.80769231 13.19230769] ; [ 5.19230769 84.80769231],0
a5,1,0.166635,1.912955,[10  4] ; [47 44],[7.6 6.4] ; [49.4 41.6],0
v1,1,0.170754,1.876309,[6 8] ; [23 68],[ 3.86666667 10.13333333] ; [25.13333333 65.86666667],0
d4,1,0.196122,1.67102,[12  2] ; [62 28],[9.96153846 4.03846154] ; [64.03846154 25.96153846],0
a6,1,0.245952,1.346154,[6 8] ; [54 37],[8. 6.] ; [52. 39.],0
n2,1,0.246679,1.342013,[4 1] ; [20 18],[2.79069767 2.20930233] ; [21.20930233 16.79069767],0
a2,1,0.25286,1.307433,[ 1 13] ; [18 73],[ 2.53333333 11.46666667] ; [16.46666667 74.53333333],0
p4,1,0.26281,1.253893,[6 8] ; [25 64],[4.21359223 9.78640777] ; [26.78640777 62.21359223],0
a8,1,0.269136,1.221146,[ 2 12] ; [ 5 78],[ 1.01030928 12.98969072] ; [ 5.98969072 77.01030928],0
u3,1,0.278919,1.172352,[4 2] ; [19 25],[2.76 3.24] ; [20.24 23.76],0
b5,1,0.280101,1.166601,[6 8] ; [53 38],[7.86666667 6.13333333] ; [51.13333333 39.86666667],0
a1,1,0.312513,1.020024,[ 2 12] ; [ 6 85],[ 1.06666667 12.93333333] ; [ 6.93333333 84.06666667],0
a7,1,0.313884,1.014263,[7 7] ; [57 32],[8.69902913 5.30097087] ; [55.30097087 33.69902913],0
r4,1,0.348443,0.879121,[10  4] ; [53 38],[8.4 5.6] ; [54.6 36.4],0
p2,1,0.398674,0.712323,[8 6] ; [41 50],[6.53333333 7.46666667] ; [42.46666667 48.53333333],0
v4,1,0.40133,0.704339,[12  2] ; [68 22],[10.76923077  3.23076923] ; [69.23076923 20.76923077],0
s5,1,0.404573,0.694694,[ 1 13] ; [14 76],[ 2.01923077 11.98076923] ; [12.98076923 77.01923077],0
b1,1,0.419778,0.650936,[9 5] ; [48 43],[7.6 6.4] ; [49.4 41.6],0
d5,1,0.42953,0.624094,[11  3] ; [62 29],[9.73333333 4.26666667] ; [63.26666667 27.73333333],0
u1,1,0.588232,0.293114,[ 1 13] ; [11 80],[ 1.6 12.4] ; [10.4 80.6],0
r2,1,0.653264,0.201809,[12  2] ; [71 17],[11.39215686  2.60784314] ; [71.60784314 16.39215686],0
u2,1,0.658036,0.195918,[3 3] ; [17 25],[2.5 3.5] ; [17.5 24.5],0
s4,1,0.661772,0.191378,[ 1 13] ; [10 81],[ 1.46666667 12.53333333] ; [ 9.53333333 81.46666667],0
d2,1,0.703887,0.14446,[6 8] ; [43 46],[6.66019417 7.33980583] ; [42.33980583 46.66019417],0
a3,1,0.73151,0.11773,[8 6] ; [47 43],[7.40384615 6.59615385] ; [47.59615385 42.40384615],0
p10,1,0.742266,0.108145,[ 3 11] ; [16 74],[ 2.55769231 11.44230769] ; [16.44230769 73.55769231],0
n4,1,0.77745,0.079887,[8 6] ; [55 35],[8.48076923 5.51923077] ; [54.51923077 35.48076923],0
v2,1,0.864689,0.029039,[6 8] ; [36 53],[5.70873786 8.29126214] ; [36.29126214 52.70873786],0
d3,1,0.877642,0.023703,[8 6] ; [50 41],[7.73333333 6.26666667] ; [50.26666667 40.73333333],0
p6,1,0.889678,0.019241,[ 2 12] ; [14 75],[ 2.17475728 11.82524272] ; [13.82524272 75.17475728],0
b3,1,0.893897,0.017789,[2 5] ; [18 40],[2.15384615 4.84615385] ; [17.84615385 40.15384615],0
b2,1,0.893897,0.017789,[2 5] ; [18 40],[2.15384615 4.84615385] ; [17.84615385 40.15384615],0
n5,1,0.938334,0.005985,[7 7] ; [46 44],[7.13461538 6.86538462] ; [45.86538462 44.13461538],0
d1,1,0.938505,0.005952,[6 8] ; [40 51],[6.13333333 7.86666667] ; [39.86666667 51.13333333],0
a4,1,0.945116,0.004739,[5 9] ; [33 57],[5.11538462 8.88461538] ; [32.88461538 57.11538462],0
s7,1,0.959563,0.002571,[ 2 10] ; [14 73],[ 1.93939394 10.06060606] ; [14.06060606 72.93939394],0
r1,1,0.990792,0.000133,[9 5] ; [58 32],[9.01923077 4.98076923] ; [57.98076923 32.01923077],0
p11,1,1.0,0.0,[6 8] ; [39 52],[6. 8.] ; [39. 52.],0
