Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,86.826328,[103   8] ; [ 5 31],[81.55102041 29.44897959] ; [26.44897959  9.55102041],1
s6,1,0.0,30.655629,[77 30] ; [ 7 29],[62.85314685 44.14685315] ; [21.14685315 14.85314685],1
p2,1,0.0,30.019573,[85 26] ; [ 9 26],[71.46575342 39.53424658] ; [22.53424658 12.46575342],1
v4,1,0.0,27.283634,[102   8] ; [20 16],[91.91780822 18.08219178] ; [30.08219178  5.91780822],1
r2,1,0.0,25.971619,[107   3] ; [23 11],[99.30555556 10.69444444] ; [30.69444444  3.30555556],1
r1,1,7e-06,20.074133,[88 21] ; [15 21],[77.42758621 31.57241379] ; [25.57241379 10.42758621],1
p7,1,1.1e-05,19.296133,[63 46] ; [ 5 29],[51.83216783 57.16783217] ; [16.16783217 17.83216783],1
s2,1,3e-05,17.404971,[59 51] ; [ 5 31],[48.21917808 61.78082192] ; [15.78082192 20.21917808],1
v1,1,8.9e-05,15.359041,[60 51] ; [ 6 30],[49.83673469 61.16326531] ; [16.16326531 19.83673469],1
n6,1,9.1e-05,15.322231,[93 17] ; [19 17],[84.38356164 25.61643836] ; [27.61643836  8.38356164],1
p9,1,0.000152,14.353395,[79 30] ; [12 21],[69.85211268 39.14788732] ; [21.14788732 11.85211268],1
a1,1,0.000272,13.251956,[  5 106] ; [ 9 27],[ 10.57142857 100.42857143] ; [ 3.42857143 32.57142857],1
b5,1,0.000314,12.983004,[80 31] ; [14 22],[70.97959184 40.02040816] ; [23.02040816 12.97959184],1
a7,1,0.000393,12.563401,[82 29] ; [15 21],[73.24489796 37.75510204] ; [23.75510204 12.24489796],1
d4,1,0.000459,12.273966,[85 24] ; [17 19],[76.67586207 32.32413793] ; [25.32413793 10.67586207],1
d3,1,0.000497,12.126481,[75 34] ; [13 23],[66.15172414 42.84827586] ; [21.84827586 14.15172414],1
p4,1,0.000501,12.113671,[59 51] ; [ 7 28],[50.06896552 59.93103448] ; [15.93103448 19.06896552],1
p10,1,0.001575,9.988563,[67 41] ; [11 24],[58.90909091 49.09090909] ; [19.09090909 15.90909091],0
s8,1,0.002047,9.506854,[50 60] ; [ 6 30],[42.19178082 67.80821918] ; [13.80821918 22.19178082],0
s7,1,0.002085,9.472784,[55 47] ; [ 8 26],[47.25 54.75] ; [15.75 18.25],0
d5,1,0.002122,9.441201,[87 23] ; [19 17],[79.8630137 30.1369863] ; [26.1369863  9.8630137],0
p3,1,0.002508,9.134476,[47 64] ; [ 5 30],[39.53424658 71.46575342] ; [12.46575342 22.53424658],0
s5,1,0.007349,7.185678,[37 68] ; [ 4 31],[30.75 74.25] ; [10.25 24.75],0
u3,1,0.0083,6.967636,[20 16] ; [ 2 12],[15.84 20.16] ; [6.16 7.84],0
s3,1,0.011731,6.351094,[62 49] ; [11 24],[55.5 55.5] ; [17.5 17.5],0
p6,1,0.01282,6.193733,[40 69] ; [ 5 30],[34.0625 74.9375] ; [10.9375 24.0625],0
v2,1,0.014115,6.02372,[50 58] ; [ 8 27],[43.8041958 64.1958042] ; [14.1958042 20.8041958],0
p8,1,0.03333,4.528743,[40 70] ; [ 6 29],[34.89655172 75.10344828] ; [11.10344828 23.89655172],0
n3,1,0.03947,4.240511,[24 11] ; [ 9 13],[20.26315789 14.73684211] ; [12.73684211  9.26315789],0
a8,1,0.05403,3.711787,[20 77] ; [ 2 31],[16.41538462 80.58461538] ; [ 5.58461538 27.41538462],0
a5,1,0.069163,3.302764,[77 34] ; [19 17],[72.48979592 38.51020408] ; [23.51020408 12.48979592],0
u2,1,0.082915,3.006818,[14 21] ; [ 2 12],[11.42857143 23.57142857] ; [4.57142857 9.42857143],0
n2,1,0.083738,2.990823,[28  8] ; [13 10],[25.01694915 10.98305085] ; [15.98305085  7.01694915],0
u1,1,0.090519,2.865125,[23 88] ; [ 3 33],[19.63265306 91.36734694] ; [ 6.36734694 29.63265306],0
a2,1,0.107773,2.586571,[30 81] ; [ 5 31],[26.42857143 84.57142857] ; [ 8.57142857 27.42857143],0
d1,1,0.111611,2.531265,[57 54] ; [13 23],[52.85714286 58.14285714] ; [17.14285714 18.85714286],0
a6,1,0.123248,2.375552,[68 42] ; [17 19],[64.04109589 45.95890411] ; [20.95890411 15.04109589],0
p1,1,0.140443,2.173096,[  9 102] ; [ 6 30],[11.32653061 99.67346939] ; [ 3.67346939 32.32653061],0
n4,1,0.166887,1.910685,[96 14] ; [28  8],[93.42465753 16.57534247] ; [30.57534247  5.42465753],0
v3,1,0.186804,1.742642,[40 68] ; [ 9 27],[36.75 71.25] ; [12.25 23.75],0
b1,1,0.222545,1.487883,[58 53] ; [23 13],[61.16326531 49.83673469] ; [19.83673469 16.16326531],0
p5,1,0.322037,0.980654,[13 97] ; [ 2 32],[11.45833333 98.54166667] ; [ 3.54166667 30.45833333],0
p12,1,0.417975,0.656001,[  3 107] ; [ 2 34],[  3.76712329 106.23287671] ; [ 1.23287671 34.76712329],0
a4,1,0.428235,0.627606,[51 60] ; [13 21],[48.99310345 62.00689655] ; [15.00689655 18.99310345],0
b2,1,0.528243,0.39777,[20 37] ; [11 15],[21.28915663 35.71084337] ; [ 9.71084337 16.28915663],0
b3,1,0.528243,0.39777,[20 37] ; [11 15],[21.28915663 35.71084337] ; [ 9.71084337 16.28915663],0
s4,1,0.65291,0.202251,[15 95] ; [ 6 30],[15.82191781 94.17808219] ; [ 5.17808219 30.82191781],0
s1,1,0.694773,0.153967,[  7 102] ; [ 3 33],[  7.51724138 101.48275862] ; [ 2.48275862 33.51724138],0
a3,1,0.705584,0.142728,[75 35] ; [22 12],[74.09722222 35.90277778] ; [22.90277778 11.09722222],0
n1,1,0.782716,0.076055,[19 15] ; [12 11],[18.49122807 15.50877193] ; [12.50877193 10.49122807],0
d2,1,0.809619,0.058041,[56 54] ; [17 18],[55.37931034 54.62068966] ; [17.62068966 17.37931034],0
b4,1,0.814215,0.055221,[58 53] ; [18 18],[57.3877551 53.6122449] ; [18.6122449 17.3877551],0
