Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2e-05,18.173117,[52 61] ; [60 18],[66.2617801 46.7382199] ; [45.7382199 32.2617801],1
p5,1,0.018372,5.560322,[  8 107] ; [14 64],[ 13.10880829 101.89119171] ; [ 8.89119171 69.10880829],0
p1,1,0.031688,4.615282,[  7 109] ; [12 66],[ 11.36082474 104.63917526] ; [ 7.63917526 70.36082474],0
s4,1,0.042794,4.103535,[23 94] ; [ 7 71],[18. 99.] ; [12. 66.],0
b4,1,0.050545,3.8233,[59 58] ; [51 28],[65.66326531 51.33673469] ; [44.33673469 34.66326531],0
p3,1,0.051573,3.789576,[46 70] ; [42 36],[52.6185567 63.3814433] ; [35.3814433 42.6185567],0
r4,1,0.074509,3.180785,[96 21] ; [72  7],[100.28571429  16.71428571] ; [67.71428571 11.28571429],0
s8,1,0.082618,3.012639,[42 74] ; [38 40],[47.83505155 68.16494845] ; [32.16494845 45.83505155],0
n6,1,0.121365,2.399621,[87 28] ; [67 12],[91.28865979 23.71134021] ; [62.71134021 16.28865979],0
s7,1,0.123354,2.374216,[47 62] ; [41 34],[52.13043478 56.86956522] ; [35.86956522 39.13043478],0
b3,1,0.133499,2.251332,[26 52] ; [22 25],[29.952 48.048] ; [18.048 28.952],0
b2,1,0.133499,2.251332,[26 52] ; [22 25],[29.952 48.048] ; [18.048 28.952],0
p8,1,0.135608,2.227106,[48 64] ; [42 36],[53.05263158 58.94736842] ; [36.94736842 41.05263158],0
p7,1,0.144804,2.126149,[66 47] ; [53 24],[70.77368421 42.22631579] ; [48.22631579 28.77368421],0
p6,1,0.187292,1.738792,[33 78] ; [30 47],[37.19680851 73.80319149] ; [25.80319149 51.19680851],0
n4,1,0.224227,1.477112,[82 34] ; [62 17],[85.66153846 30.33846154] ; [58.33846154 20.66153846],0
n2,1,0.233081,1.421958,[24  3] ; [12  4],[22.60465116  4.39534884] ; [13.39534884  2.60465116],0
r2,1,0.241978,1.369034,[103  11] ; [75  4],[105.13989637   8.86010363] ; [72.86010363  6.13989637],0
u3,1,0.255806,1.291316,[28 15] ; [15 14],[25.68055556 17.31944444] ; [17.31944444 11.68055556],0
b1,1,0.289386,1.122477,[43 74] ; [35 44],[46.56122449 70.43877551] ; [31.43877551 47.56122449],0
p9,1,0.299458,1.076607,[98 17] ; [62 16],[95.33678756 19.66321244] ; [64.66321244 13.33678756],0
s6,1,0.31468,1.010932,[72 42] ; [52 22],[75.19148936 38.80851064] ; [48.80851064 25.19148936],0
n5,1,0.32053,0.986784,[83 32] ; [62 17],[85.95360825 29.04639175] ; [59.04639175 19.95360825],0
