Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6e-06,20.537949,[28 22] ; [ 9 51],[16.81818182 33.18181818] ; [20.18181818 39.81818182],1
a7,1,0.002521,9.125615,[40 11] ; [31 30],[32.33035714 18.66964286] ; [38.66964286 22.33035714],0
p9,1,0.012129,6.291939,[42  9] ; [37 24],[35.97321429 15.02678571] ; [43.02678571 17.97321429],0
a3,1,0.018207,5.57616,[39 12] ; [33 27],[33.08108108 17.91891892] ; [38.91891892 21.08108108],0
v1,1,0.019016,5.5,[26 24] ; [18 42],[20. 30.] ; [24. 36.],0
p11,1,0.019282,5.475796,[42  9] ; [38 23],[36.42857143 14.57142857] ; [43.57142857 17.42857143],0
n6,1,0.024152,5.08369,[43  8] ; [40 21],[37.79464286 13.20535714] ; [45.20535714 15.79464286],0
p10,1,0.028606,4.791166,[39 11] ; [35 25],[33.63636364 16.36363636] ; [40.36363636 19.63636364],0
n1,1,0.051181,3.802326,[ 3 11] ; [10  8],[5.6875 8.3125] ; [ 7.3125 10.6875],0
a2,1,0.084831,2.969827,[11 40] ; [ 6 55],[ 7.74107143 43.25892857] ; [ 9.25892857 51.74107143],0
d1,1,0.100156,2.70305,[28 23] ; [24 37],[23.67857143 27.32142857] ; [28.32142857 32.67857143],0
a8,1,0.117319,2.45275,[ 3 46] ; [ 9 48],[ 5.54716981 43.45283019] ; [ 6.45283019 50.54716981],0
d3,1,0.13437,2.241273,[37 14] ; [36 25],[33.24107143 17.75892857] ; [39.75892857 21.24107143],0
s5,1,0.146371,2.109673,[ 4 43] ; [11 49],[ 6.58878505 40.41121495] ; [ 8.41121495 51.58878505],0
b4,1,0.162464,1.951143,[35 16] ; [34 27],[31.41964286 19.58035714] ; [37.58035714 23.41964286],0
u3,1,0.167546,1.904762,[8 4] ; [12 16],[6. 6.] ; [14. 14.],0
a6,1,0.168071,1.900068,[38 13] ; [38 23],[34.60714286 16.39285714] ; [41.39285714 19.60714286],0
p3,1,0.182412,1.777861,[26 24] ; [24 37],[22.52252252 27.47747748] ; [27.47747748 33.52252252],0
u2,1,0.184797,1.758616,[7 5] ; [10 18],[5.1 6.9] ; [11.9 16.1],0
p4,1,0.235506,1.407293,[27 24] ; [25 35],[23.89189189 27.10810811] ; [28.10810811 31.89189189],0
n3,1,0.24179,1.370128,[11  3] ; [10  7],[9.48387097 4.51612903] ; [11.51612903  5.48387097],0
r4,1,0.256487,1.28762,[45  6] ; [49 12],[42.80357143  8.19642857] ; [51.19642857  9.80357143],0
s8,1,0.289502,1.121935,[19 32] ; [17 44],[16.39285714 34.60714286] ; [19.60714286 41.39285714],0
b2,1,0.299298,1.077318,[13 19] ; [10 25],[10.98507463 21.01492537] ; [12.01492537 22.98507463],0
b3,1,0.299298,1.077318,[13 19] ; [10 25],[10.98507463 21.01492537] ; [12.01492537 22.98507463],0
n5,1,0.325756,0.965695,[33 18] ; [44 16],[35.37837838 15.62162162] ; [41.62162162 18.37837838],0
d4,1,0.33945,0.912506,[40 11] ; [43 18],[37.79464286 13.20535714] ; [45.20535714 15.79464286],0
s6,1,0.348924,0.877368,[33 18] ; [33 26],[30.6 20.4] ; [35.4 23.6],0
p6,1,0.378298,0.776226,[16 33] ; [15 45],[13.93577982 35.06422018] ; [17.06422018 42.93577982],0
s4,1,0.430191,0.622308,[ 5 46] ; [ 9 52],[ 6.375 44.625] ; [ 7.625 53.375],0
r2,1,0.445976,0.580858,[47  3] ; [54  6],[45.90909091  4.09090909] ; [55.09090909  4.90909091],0
p12,1,0.474608,0.511229,[ 2 49] ; [ 1 58],[ 1.39090909 49.60909091] ; [ 1.60909091 57.39090909],0
a5,1,0.483592,0.490753,[35 16] ; [38 23],[33.24107143 17.75892857] ; [39.75892857 21.24107143],0
p5,1,0.501661,0.45142,[ 4 47] ; [ 7 53],[ 5.05405405 45.94594595] ; [ 5.94594595 54.05405405],0
d5,1,0.509246,0.435616,[38 13] ; [42 19],[36.42857143 14.57142857] ; [43.57142857 17.42857143],0
p8,1,0.509953,0.434163,[27 24] ; [28 32],[25.27027027 25.72972973] ; [29.72972973 30.27027027],0
n4,1,0.566083,0.32928,[36 15] ; [46 15],[37.33928571 13.66071429] ; [44.66071429 16.33928571],0
p7,1,0.617317,0.249657,[34 17] ; [36 22],[32.75229358 18.24770642] ; [37.24770642 20.75229358],0
s7,1,0.629165,0.233195,[18 32] ; [18 39],[16.82242991 33.17757009] ; [19.17757009 37.82242991],0
b1,1,0.687405,0.16191,[19 32] ; [25 36],[20.03571429 30.96428571] ; [23.96428571 37.03571429],0
u1,1,0.712619,0.135675,[ 4 47] ; [ 6 55],[ 4.55357143 46.44642857] ; [ 5.44642857 55.55357143],0
b5,1,0.742058,0.108326,[26 25] ; [33 28],[26.86607143 24.13392857] ; [32.13392857 28.86607143],0
d2,1,0.792585,0.069145,[23 28] ; [26 35],[22.3125 28.6875] ; [26.6875 34.3125],0
a1,1,0.799265,0.064668,[ 2 49] ; [ 3 58],[ 2.27678571 48.72321429] ; [ 2.72321429 58.27678571],0
s1,1,0.802036,0.062857,[ 2 48] ; [ 3 57],[ 2.27272727 47.72727273] ; [ 2.72727273 57.27272727],0
v4,1,0.804072,0.061544,[45  6] ; [52  8],[44.56756757  6.43243243] ; [52.43243243  7.56756757],0
p2,1,0.824106,0.049403,[41 10] ; [48 13],[40.52678571 10.47321429] ; [48.47321429 12.52678571],0
a4,1,0.880683,0.022531,[18 33] ; [22 38],[18.37837838 32.62162162] ; [21.62162162 38.37837838],0
n2,1,0.943109,0.005093,[11  4] ; [13  5],[10.90909091  4.09090909] ; [13.09090909  4.90909091],0
p1,1,0.945347,0.004699,[ 4 47] ; [ 5 56],[ 4.09821429 46.90178571] ; [ 4.90178571 56.09821429],0
r1,1,0.991105,0.000124,[36 15] ; [43 18],[35.97321429 15.02678571] ; [43.02678571 17.97321429],0
