Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,109.171997,[ 45 225] ; [210 153],[108.76777251 161.23222749] ; [146.23222749 216.76777251],1
v1,1,0.0,51.422789,[109 158] ; [252 111],[152.9952381 114.0047619] ; [208.0047619 154.9952381],1
r1,1,4e-05,16.850584,[195  76] ; [316  55],[215.70249221  55.29750779] ; [295.29750779  75.70249221],1
d5,1,0.00035,12.783052,[206  64] ; [325  48],[222.97045101  47.02954899] ; [308.02954899  64.97045101],1
a5,1,0.00066,11.600036,[187  85] ; [300  73],[205.37054264  66.62945736] ; [281.62945736  91.37054264],1
d1,1,0.000726,11.421789,[142 130] ; [244 129],[162.77829457 109.22170543] ; [223.22170543 149.77829457],1
a3,1,0.001605,9.954035,[182  88] ; [292  80],[199.34579439  70.65420561] ; [274.65420561  97.34579439],0
s4,1,0.002581,9.082458,[ 58 211] ; [ 47 325],[ 44.06396256 224.93603744] ; [ 60.93603744 311.06396256],0
d2,1,0.004304,8.151018,[112 160] ; [196 177],[129.88527132 142.11472868] ; [178.11472868 194.88527132],0
r3,1,0.007513,7.146077,[253  17] ; [363   8],[259.46957878  10.53042122] ; [356.53042122  14.46957878],0
u1,1,0.010673,6.518973,[ 37 235] ; [ 80 293],[ 49.33953488 222.66046512] ; [ 67.66046512 305.33953488],0
p11,1,0.016363,5.763473,[218  54] ; [325  48],[228.98604651  43.01395349] ; [314.01395349  58.98604651],0
r4,1,0.016962,5.700338,[238  34] ; [347  26],[246.69767442  25.30232558] ; [338.30232558  34.69767442],0
p3,1,0.017281,5.667601,[134 138] ; [219 154],[148.8620155 123.1379845] ; [204.1379845 168.8620155],0
d4,1,0.020308,5.385193,[217  54] ; [324  49],[227.6568323  43.3431677] ; [313.3431677  59.6568323],0
p7,1,0.02928,4.751058,[173  93] ; [269  99],[185.44479495  80.55520505] ; [256.55520505 111.44479495],0
n3,1,0.035046,4.442926,[41 22] ; [53 12],[46.265625 16.734375] ; [47.734375 17.265625],0
b1,1,0.035753,4.408864,[107 165] ; [117 256],[ 94.4620155 177.5379845] ; [129.5379845 243.4620155],0
a7,1,0.037859,4.311346,[187  84] ; [284  88],[198.50855365  72.49144635] ; [272.49144635  99.50855365],0
a2,1,0.040703,4.188351,[ 54 218] ; [100 273],[ 64.94263566 207.05736434] ; [ 89.05736434 283.94263566],0
n4,1,0.045386,4.004245,[203  68] ; [303  69],[213.25972006  57.74027994] ; [292.74027994  79.25972006],0
s1,1,0.055356,3.671337,[ 11 257] ; [  6 363],[  7.1522763 260.8477237] ; [  9.8477237 359.1522763],0
s7,1,0.057863,3.597598,[127 135] ; [200 156],[138.63106796 123.36893204] ; [188.36893204 167.63106796],0
p12,1,0.064871,3.408262,[ 17 253] ; [ 39 334],[ 23.51477449 246.48522551] ; [ 32.48522551 340.51477449],0
r2,1,0.06868,3.3143,[249  20] ; [351  15],[254.17322835  14.82677165] ; [345.82677165  20.17322835],0
s8,1,0.068803,3.311355,[117 155] ; [186 184],[128.37383178 143.62616822] ; [174.62616822 195.37383178],0
d3,1,0.077262,3.121583,[181  89] ; [274  99],[191.05754277  78.94245723] ; [263.94245723 109.05754277],0
a6,1,0.087385,2.921896,[175  97] ; [263 109],[184.99378882  87.00621118] ; [253.00621118 118.99378882],0
n5,1,0.095056,2.786593,[203  68] ; [296  72],[211.62597809  59.37402191] ; [287.37402191  80.62597809],0
u4,1,0.104158,2.6407,[  2 270] ; [  9 364],[  4.63875969 267.36124031] ; [  6.36124031 366.63875969],0
p4,1,0.114921,2.485207,[170 102] ; [254 117],[179.3592535  92.6407465] ; [244.6407465 126.3592535],0
p10,1,0.122637,2.38332,[241  29] ; [345  27],[246.44859813  23.55140187] ; [339.55140187  32.44859813],0
n6,1,0.181366,1.786396,[232  39] ; [328  40],[237.49608764  33.50391236] ; [322.50391236  45.49608764],0
n2,1,0.296565,1.089578,[44 20] ; [50 15],[46.63565891 17.36434109] ; [47.36434109 17.63565891],0
a4,1,0.322742,0.977803,[118 154] ; [176 196],[124.17391304 147.82608696] ; [169.82608696 202.17391304],0
a8,1,0.32857,0.954524,[ 33 216] ; [ 54 280],[ 37.15780446 211.84219554] ; [ 49.84219554 284.15780446],0
a1,1,0.390976,0.735904,[ 10 262] ; [ 19 354],[ 12.22945736 259.77054264] ; [ 16.77054264 356.22945736],0
b4,1,0.417293,0.657926,[151 121] ; [219 154],[156.03100775 115.96899225] ; [213.96899225 159.03100775],0
p8,1,0.418723,0.653898,[155 116] ; [221 145],[159.96232339 111.03767661] ; [216.03767661 149.96232339],0
b3,1,0.468791,0.524825,[57 97] ; [ 94 137],[60.4 93.6] ; [ 90.6 140.4],0
b2,1,0.468791,0.524825,[57 97] ; [ 94 137],[60.4 93.6] ; [ 90.6 140.4],0
s2,1,0.473575,0.513623,[138 133] ; [199 171],[142.47581903 128.52418097] ; [194.52418097 175.47581903],0
p5,1,0.594962,0.282661,[ 34 238] ; [ 52 321],[ 36.26666667 235.73333333] ; [ 49.73333333 323.26666667],0
b5,1,0.600269,0.274591,[166 106] ; [220 153],[162.77829457 109.22170543] ; [223.22170543 149.77829457],0
s5,1,0.633655,0.227137,[ 96 169] ; [136 221],[ 98.84244373 166.15755627] ; [133.15755627 223.84244373],0
p6,1,0.697275,0.151322,[110 160] ; [156 213],[112.3943662 157.6056338] ; [153.6056338 215.3943662],0
n1,1,0.752514,0.09943,[23 40] ; [22 43],[22.1484375 40.8515625] ; [22.8515625 42.1484375],0
u3,1,0.758714,0.094353,[49 39] ; [47 34],[49.98816568 38.01183432] ; [46.01183432 34.98816568],0
u2,1,0.763148,0.090811,[51 38] ; [44 36],[50.0295858 38.9704142] ; [44.9704142 35.0295858],0
s6,1,0.836418,0.042633,[186  80] ; [258 107],[187.16957211  78.83042789] ; [256.83042789 108.16957211],0
s3,1,0.854163,0.033786,[154 116] ; [212 155],[155.13343799 114.86656201] ; [210.86656201 156.13343799],0
v4,1,0.877003,0.023954,[261  11] ; [354  14],[261.375  10.625] ; [353.625  14.375],0
p1,1,0.983298,0.000438,[ 24 248] ; [ 33 339],[ 24.07453416 247.92546584] ; [ 32.92546584 339.07453416],0
