Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.00018,14.025543,[ 4 28] ; [5 1],[ 7.57894737 24.42105263] ; [1.42105263 4.57894737],1
p4,1,0.002424,9.197391,[ 7 26] ; [5 1],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
s6,1,0.003441,8.557403,[ 6 27] ; [4 1],[ 8.68421053 24.31578947] ; [1.31578947 3.68421053],0
s3,1,0.010093,6.618428,[ 9 23] ; [5 1],[11.78947368 20.21052632] ; [2.21052632 3.78947368],0
r4,1,0.012352,6.259561,[ 6 27] ; [4 2],[ 8.46153846 24.53846154] ; [1.53846154 4.46153846],0
p3,1,0.022848,5.180047,[ 7 26] ; [4 2],[ 9.30769231 23.69230769] ; [1.69230769 4.30769231],0
p2,1,0.022848,5.180047,[ 7 26] ; [4 2],[ 9.30769231 23.69230769] ; [1.69230769 4.30769231],0
p7,1,0.022848,5.180047,[ 7 26] ; [4 2],[ 9.30769231 23.69230769] ; [1.69230769 4.30769231],0
d2,1,0.038265,4.293184,[12 20] ; [5 1],[14.31578947 17.68421053] ; [2.68421053 3.31578947],0
p9,1,0.043915,4.059829,[ 8 24] ; [4 2],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
s5,1,0.056733,3.630413,[ 3 30] ; [2 3],[ 4.34210526 28.65789474] ; [0.65789474 4.34210526],0
u3,1,0.073989,3.192222,[ 1 14] ; [1 1],[ 1.76470588 13.23529412] ; [0.23529412 1.76470588],0
a2,1,0.102287,2.669519,[ 3 30] ; [2 4],[ 4.23076923 28.76923077] ; [0.76923077 5.23076923],0
s2,1,0.137409,2.20674,[ 7 26] ; [3 3],[ 8.46153846 24.53846154] ; [1.53846154 4.46153846],0
s7,1,0.14298,2.145594,[ 4 26] ; [2 3],[ 5.14285714 24.85714286] ; [0.85714286 4.14285714],0
p10,1,0.151095,2.061161,[ 7 25] ; [3 3],[ 8.42105263 23.57894737] ; [1.57894737 4.42105263],0
s8,1,0.163623,1.940418,[ 1 32] ; [1 5],[ 1.69230769 31.30769231] ; [0.30769231 5.69230769],0
n3,1,0.212296,1.555699,[ 5 12] ; [2 1],[ 5.95 11.05] ; [1.05 1.95],0
b5,1,0.215254,1.535732,[13 20] ; [4 2],[14.38461538 18.61538462] ; [2.61538462 3.38461538],0
n6,1,0.215311,1.535354,[ 8 24] ; [3 3],[ 9.26315789 22.73684211] ; [1.73684211 4.26315789],0
d1,1,0.267201,1.231061,[ 9 24] ; [3 3],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
v1,1,0.267201,1.231061,[ 9 24] ; [3 3],[10.15384615 22.84615385] ; [1.84615385 4.15384615],0
a6,1,0.273206,1.200577,[14 19] ; [4 2],[15.23076923 17.76923077] ; [2.76923077 3.23076923],0
a4,1,0.290136,1.11899,[ 9 23] ; [3 3],[10.10526316 21.89473684] ; [1.89473684 4.10526316],0
b4,1,0.338962,0.914354,[18 15] ; [2 4],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
u2,1,0.347465,0.882692,[ 3 12] ; [1 1],[ 3.52941176 11.47058824] ; [0.47058824 1.52941176],0
d5,1,0.412435,0.67177,[16 17] ; [4 2],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
a7,1,0.412435,0.67177,[16 17] ; [4 2],[16.92307692 16.07692308] ; [3.07692308 2.92307692],0
a5,1,0.493459,0.468975,[17 16] ; [4 2],[17.76923077 15.23076923] ; [3.23076923 2.76923077],0
r1,1,0.627079,0.236042,[13 20] ; [3 3],[13.53846154 19.46153846] ; [2.46153846 3.53846154],0
n5,1,0.627079,0.236042,[20 13] ; [3 3],[19.46153846 13.53846154] ; [3.53846154 2.46153846],0
a3,1,0.635327,0.224905,[18 14] ; [4 2],[18.52631579 13.47368421] ; [3.47368421 2.52631579],0
n1,1,0.659528,0.194098,[8 9] ; [1 2],[7.65 9.35] ; [1.35 1.65],0
d4,1,0.677091,0.173419,[19 14] ; [4 2],[19.46153846 13.53846154] ; [3.53846154 2.46153846],0
b1,1,0.677091,0.173419,[19 14] ; [4 2],[19.46153846 13.53846154] ; [3.53846154 2.46153846],0
d3,1,0.730669,0.118498,[14 19] ; [3 3],[14.38461538 18.61538462] ; [2.61538462 3.38461538],0
a8,1,0.759338,0.09385,[ 4 29] ; [1 5],[ 4.23076923 28.76923077] ; [0.76923077 5.23076923],0
p8,1,0.781727,0.076768,[ 4 28] ; [1 5],[ 4.21052632 27.78947368] ; [0.78947368 5.21052632],0
b2,1,0.80857,0.058696,[10 13] ; [2 2],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
b3,1,0.80857,0.058696,[10 13] ; [2 2],[10.22222222 12.77777778] ; [1.77777778 2.22222222],0
v3,1,0.83528,0.043237,[ 8 25] ; [1 4],[ 7.81578947 25.18421053] ; [1.18421053 3.81578947],0
n4,1,0.882392,0.021886,[23 10] ; [4 2],[22.84615385 10.15384615] ; [4.15384615 1.84615385],0
s1,1,0.924616,0.008953,[ 5 28] ; [1 5],[ 5.07692308 27.92307692] ; [0.92307692 5.07692308],0
s4,1,0.924616,0.008953,[ 5 28] ; [1 5],[ 5.07692308 27.92307692] ; [0.92307692 5.07692308],0
p1,1,0.924616,0.008953,[ 5 28] ; [1 5],[ 5.07692308 27.92307692] ; [0.92307692 5.07692308],0
