Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.022578,5.200671,[28 13] ; [ 8 13],[23.80645161 17.19354839] ; [12.19354839  8.80645161],0
n6,1,0.041287,4.164186,[47 36] ; [33 11],[52.28346457 30.71653543] ; [27.71653543 16.28346457],0
a7,1,0.076291,3.142207,[56 26] ; [23 21],[51.41269841 30.58730159] ; [27.58730159 16.41269841],0
s5,1,0.124467,2.360192,[25 56] ; [ 8 36],[21.384 59.616] ; [11.616 32.384],0
a6,1,0.125311,2.349647,[41 42] ; [28 16],[45.09448819 37.90551181] ; [23.90551181 20.09448819],0
s4,1,0.12933,2.300528,[18 65] ; [15 29],[21.56692913 61.43307087] ; [11.43307087 32.56692913],0
v3,1,0.157408,1.998951,[10 71] ; [ 2 42],[ 7.776 73.224] ; [ 4.224 39.776],0
d1,1,0.161552,1.95964,[33 50] ; [12 32],[29.40944882 53.59055118] ; [15.59055118 28.40944882],0
p11,1,0.203557,1.616669,[45 38] ; [29 15],[48.36220472 34.63779528] ; [25.63779528 18.36220472],0
p8,1,0.239378,1.384252,[36 47] ; [14 29],[32.93650794 50.06349206] ; [17.06349206 25.93650794],0
s1,1,0.244182,1.356285,[ 6 77] ; [ 1 43],[ 4.57480315 78.42519685] ; [ 2.42519685 41.57480315],0
p9,1,0.246531,1.342854,[52 29] ; [32 11],[54.87096774 26.12903226] ; [29.12903226 13.87096774],0
d3,1,0.291611,1.112171,[50 32] ; [22 21],[47.232 34.768] ; [24.768 18.232],0
p3,1,0.309897,1.031115,[28 55] ; [11 33],[25.48818898 57.51181102] ; [13.51181102 30.48818898],0
a1,1,0.34304,0.899037,[ 5 78] ; [ 1 43],[ 3.92125984 79.07874016] ; [ 2.07874016 41.92125984],0
d4,1,0.370709,0.801287,[61 22] ; [29 15],[58.81889764 24.18110236] ; [31.18110236 12.81889764],0
p7,1,0.371578,0.79838,[43 37] ; [19 23],[40.6557377 39.3442623] ; [21.3442623 20.6557377],0
b3,1,0.396614,0.718568,[10 35] ; [ 7 15],[11.41791045 33.58208955] ; [ 5.58208955 16.41791045],0
b2,1,0.396614,0.718568,[10 35] ; [ 7 15],[11.41791045 33.58208955] ; [ 5.58208955 16.41791045],0
a5,1,0.398481,0.712906,[35 48] ; [22 22],[37.2519685 45.7480315] ; [19.7480315 24.2519685],0
u2,1,0.413626,0.668355,[24 17] ; [10 11],[22.48387097 18.51612903] ; [11.51612903  9.48387097],0
u1,1,0.482561,0.49307,[ 4 79] ; [ 1 43],[ 3.26771654 79.73228346] ; [ 1.73228346 42.26771654],0
r3,1,0.497139,0.461038,[70 13] ; [35  9],[68.62204724 14.37795276] ; [36.37795276  7.62204724],0
s8,1,0.530376,0.393671,[20 62] ; [13 31],[21.47619048 60.52380952] ; [11.52380952 32.47619048],0
v1,1,0.582853,0.301645,[22 59] ; [14 30],[23.328 57.672] ; [12.672 31.328],0
n3,1,0.623729,0.24066,[22 11] ; [12  8],[21.16981132 11.83018868] ; [12.83018868  7.16981132],0
r1,1,0.650589,0.205158,[45 38] ; [22 22],[43.78740157 39.21259843] ; [23.21259843 20.78740157],0
n1,1,0.677828,0.172581,[10 23] ; [ 5 15],[ 9.33962264 23.66037736] ; [ 5.66037736 14.33962264],0
s2,1,0.686254,0.16317,[32 51] ; [15 28],[30.96031746 52.03968254] ; [16.03968254 26.96031746],0
b5,1,0.694959,0.153769,[52 31] ; [26 18],[50.97637795 32.02362205] ; [27.02362205 16.97637795],0
p6,1,0.700602,0.147846,[19 62] ; [ 9 35],[18.144 62.856] ; [ 9.856 34.144],0
v4,1,0.702864,0.14551,[71 11] ; [37  7],[70.28571429 11.71428571] ; [37.71428571  6.28571429],0
p4,1,0.708378,0.139903,[33 50] ; [16 28],[32.02362205 50.97637795] ; [16.97637795 27.02362205],0
a2,1,0.710842,0.137437,[ 6 77] ; [ 4 40],[ 6.53543307 76.46456693] ; [ 3.46456693 40.53543307],0
a8,1,0.712915,0.135383,[ 4 73] ; [ 3 41],[ 4.45454545 72.54545455] ; [ 2.54545455 41.45454545],0
d2,1,0.716195,0.132167,[31 52] ; [15 29],[30.06299213 52.93700787] ; [15.93700787 28.06299213],0
b1,1,0.722135,0.126456,[35 48] ; [20 24],[35.94488189 47.05511811] ; [19.05511811 24.94488189],0
p10,1,0.730083,0.119035,[49 32] ; [28 16],[49.896 31.104] ; [27.104 16.896],0
d5,1,0.733297,0.116106,[51 31] ; [26 18],[50.11111111 31.88888889] ; [26.88888889 17.11111111],0
a4,1,0.742673,0.107791,[23 60] ; [11 33],[22.22047244 60.77952756] ; [11.77952756 32.22047244],0
a3,1,0.8078,0.059178,[41 41] ; [23 21],[41.65079365 40.34920635] ; [22.34920635 21.65079365],0
b4,1,0.834423,0.043695,[45 38] ; [23 21],[44.44094488 38.55905512] ; [23.55905512 20.44094488],0
r4,1,0.843547,0.03895,[58 25] ; [30 14],[57.51181102 25.48818898] ; [30.48818898 13.51181102],0
r2,1,0.873831,0.025216,[67 16] ; [35  9],[66.66141732 16.33858268] ; [35.33858268  8.66141732],0
s6,1,0.881859,0.022086,[38 44] ; [21 23],[38.3968254 43.6031746] ; [20.6031746 23.3968254],0
s3,1,0.891051,0.018762,[35 48] ; [18 26],[34.63779528 48.36220472] ; [18.36220472 25.63779528],0
n2,1,0.901164,0.015423,[22 11] ; [13  7],[21.79245283 11.20754717] ; [13.20754717  6.79245283],0
p2,1,0.912509,0.012072,[57 25] ; [31 13],[57.26984127 24.73015873] ; [30.73015873 13.26984127],0
