Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,90.981314,[34 37] ; [253  16],[59.93235294 11.06764706] ; [227.06764706  41.93235294],1
v1,1,0.0,36.592548,[20 49] ; [182  82],[41.85585586 27.14414414] ; [160.14414414 103.85585586],1
n6,1,0.0,35.39669,[47 23] ; [249  18],[61.48367953  8.51632047] ; [234.51632047  32.48367953],1
s2,1,0.001952,9.594109,[28 43] ; [159 106],[39.51488095 31.48511905] ; [147.48511905 117.51488095],0
p4,1,0.003863,8.347308,[43 27] ; [209  58],[52.34421365 17.65578635] ; [199.65578635  67.34421365],0
p5,1,0.004132,8.22481,[ 3 68] ; [ 48 220],[10.68141593 60.31858407] ; [ 40.31858407 227.68141593],0
v3,1,0.004927,7.906002,[21 46] ; [130 127],[31.22530864 35.77469136] ; [119.77469136 137.22530864],0
a8,1,0.009562,6.714784,[ 4 59] ; [ 48 189],[10.92 52.08] ; [ 41.08 195.92],0
s5,1,0.011016,6.462702,[19 49] ; [117 143],[28.19512195 39.80487805] ; [107.80487805 152.19512195],0
p10,1,0.013313,6.127006,[58 13] ; [245  22],[63.64792899  7.35207101] ; [239.35207101  27.64792899],0
p11,1,0.017656,5.629963,[54 17] ; [235  34],[60.35 10.65] ; [228.65  40.35],0
s7,1,0.033408,4.52477,[30 38] ; [151 107],[37.75460123 30.24539877] ; [143.24539877 114.75460123],0
s3,1,0.036471,4.374924,[33 36] ; [163 101],[40.61261261 28.38738739] ; [155.38738739 108.61261261],0
p9,1,0.037858,4.311399,[60 11] ; [247  20],[64.48816568  6.51183432] ; [242.51183432  24.48816568],0
b4,1,0.04982,3.847516,[49 22] ; [151 118],[41.76470588 29.23529412] ; [158.23529412 110.76470588],0
p8,1,0.054017,3.712183,[43 27] ; [194  71],[49.52238806 20.47761194] ; [187.47761194  77.52238806],0
n3,1,0.060788,3.515755,[15  1] ; [26 11],[12.37735849  3.62264151] ; [28.62264151  8.37735849],0
s4,1,0.078937,3.086661,[18 53] ; [ 43 221],[12.92835821 58.07164179] ; [ 48.07164179 215.92835821],0
