Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,78.404615,[106  17] ; [ 2 31],[85.15384615 37.84615385] ; [22.84615385 10.15384615],1
v4,1,0.0,49.996519,[115   7] ; [14 19],[101.53548387  20.46451613] ; [27.46451613  5.53548387],1
p11,1,1e-06,24.147877,[96 27] ; [11 22],[84.36538462 38.63461538] ; [22.63461538 10.36538462],1
p9,1,1.2e-05,19.128211,[94 29] ; [11 20],[83.86363636 39.13636364] ; [21.13636364  9.86363636],1
r2,1,0.000102,15.095709,[109  14] ; [19 13],[101.57419355  21.42580645] ; [26.42580645  5.57419355],1
s6,1,0.000144,14.452891,[76 42] ; [ 9 24],[66.42384106 51.57615894] ; [18.57615894 14.42384106],1
r1,1,0.000176,14.06748,[85 38] ; [11 22],[75.69230769 47.30769231] ; [20.30769231 12.69230769],1
p6,1,0.000186,13.96703,[45 76] ; [ 1 31],[36.37908497 84.62091503] ; [ 9.62091503 22.37908497],1
p8,1,0.000795,11.25203,[54 69] ; [ 4 29],[45.73076923 77.26923077] ; [12.26923077 20.73076923],1
s8,1,0.001212,10.472044,[52 70] ; [ 4 29],[44.07741935 77.92258065] ; [11.92258065 21.07741935],0
p10,1,0.001919,9.625595,[84 38] ; [13 20],[76.3483871 45.6516129] ; [20.6516129 12.3483871],0
s7,1,0.002721,8.985778,[60 59] ; [ 6 24],[52.7114094 66.2885906] ; [13.2885906 16.7114094],0
p7,1,0.003212,8.682699,[70 52] ; [ 9 23],[62.58441558 59.41558442] ; [16.41558442 15.58441558],0
p2,1,0.003645,8.452869,[90 32] ; [15 17],[83.18181818 38.81818182] ; [21.81818182 10.18181818],0
d5,1,0.006459,7.417619,[80 42] ; [13 20],[73.2 48.8] ; [19.8 13.2],0
p4,1,0.006493,7.408129,[62 60] ; [ 8 25],[55.09677419 66.90322581] ; [14.90322581 18.09677419],0
s3,1,0.008774,6.868201,[72 51] ; [10 21],[65.49350649 57.50649351] ; [16.50649351 14.49350649],0
n6,1,0.009998,6.635242,[97 25] ; [19 14],[91.30322581 30.69677419] ; [24.69677419  8.30322581],0
n2,1,0.011371,6.406354,[31 10] ; [ 8 11],[26.65 14.35] ; [12.35  6.65],0
u3,1,0.016863,5.710618,[23 25] ; [ 2 13],[19.04761905 28.95238095] ; [5.95238095 9.04761905],0
