Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4e-06,21.251303,[19  7] ; [30 87],[ 8.90909091 17.09090909] ; [40.09090909 76.90909091],1
s3,1,1.9e-05,18.306043,[17  9] ; [26 89],[ 7.92907801 18.07092199] ; [35.07092199 79.92907801],1
p4,1,0.008893,6.844116,[14 12] ; [32 85],[ 8.36363636 17.63636364] ; [37.63636364 79.36363636],0
p3,1,0.016854,5.711538,[12 14] ; [27 90],[ 7.09090909 18.90909091] ; [31.90909091 85.09090909],0
p9,1,0.040272,4.206403,[ 3 22] ; [38 79],[ 7.21830986 17.78169014] ; [33.78169014 83.21830986],0
r3,1,0.063355,3.447316,[24  2] ; [88 28],[20.50704225  5.49295775] ; [91.49295775 24.50704225],0
p7,1,0.102951,2.659222,[15 11] ; [47 70],[11.27272727 14.72727273] ; [50.72727273 66.27272727],0
s8,1,0.107807,2.586082,[ 5 21] ; [ 10 107],[ 2.72727273 23.27272727] ; [ 12.27272727 104.72727273],0
n4,1,0.121528,2.39752,[11 15] ; [69 48],[14.54545455 11.45454545] ; [65.45454545 51.54545455],0
u1,1,0.150696,2.065189,[ 4 22] ; [  8 110],[ 2.16666667 23.83333333] ; [  9.83333333 108.16666667],0
d4,1,0.159918,1.975006,[20  6] ; [73 44],[16.90909091  9.09090909] ; [76.09090909 40.90909091],0
p8,1,0.16454,1.932001,[10 16] ; [29 87],[ 7.14084507 18.85915493] ; [31.85915493 84.14084507],0
n5,1,0.180135,1.796514,[10 16] ; [62 55],[13.09090909 12.90909091] ; [58.90909091 58.09090909],0
r1,1,0.19686,1.665514,[19  7] ; [69 47],[16.11267606  9.88732394] ; [71.88732394 44.11267606],0
v2,1,0.215119,1.536637,[12 13] ; [40 75],[ 9.28571429 15.71428571] ; [42.71428571 72.28571429],0
n2,1,0.224097,1.477942,[5 1] ; [30 22],[3.62068966 2.37931034] ; [31.37931034 20.62068966],0
s5,1,0.281944,1.157693,[ 5 21] ; [ 13 101],[ 3.34285714 22.65714286] ; [14.65714286 99.34285714],0
u2,1,0.351646,0.867508,[3 9] ; [22 34],[4.41176471 7.58823529] ; [20.58823529 35.41176471],0
n1,1,0.359902,0.838235,[1 5] ; [18 33],[2. 4.] ; [17. 34.],0
v1,1,0.395952,0.720585,[10 16] ; [35 82],[ 8.18181818 17.81818182] ; [36.81818182 80.18181818],0
d1,1,0.401225,0.704651,[12 14] ; [44 74],[10.11111111 15.88888889] ; [45.88888889 72.11111111],0
b5,1,0.401225,0.704651,[14 12] ; [74 44],[15.88888889 10.11111111] ; [72.11111111 45.88888889],0
n6,1,0.42732,0.630096,[17  9] ; [66 50],[15.1971831 10.8028169] ; [67.8028169 48.1971831],0
a6,1,0.429531,0.624092,[13 13] ; [69 49],[14.80555556 11.19444444] ; [67.19444444 50.80555556],0
b4,1,0.429531,0.624092,[13 13] ; [69 49],[14.80555556 11.19444444] ; [67.19444444 50.80555556],0
d3,1,0.430444,0.621625,[15 11] ; [58 60],[13.18055556 12.81944444] ; [59.81944444 58.18055556],0
r4,1,0.443697,0.586701,[19  7] ; [77 41],[17.33333333  8.66666667] ; [78.66666667 39.33333333],0
p11,1,0.454832,0.558583,[14 12] ; [54 64],[12.27777778 13.72222222] ; [55.72222222 62.27777778],0
b1,1,0.477458,0.504663,[11 15] ; [59 59],[12.63888889 13.36111111] ; [57.36111111 60.63888889],0
a5,1,0.477458,0.504663,[15 11] ; [59 59],[13.36111111 12.63888889] ; [60.63888889 57.36111111],0
d5,1,0.531018,0.392442,[18  8] ; [74 44],[16.61111111  9.38888889] ; [75.38888889 42.61111111],0
b3,1,0.579772,0.306603,[ 3 10] ; [23 52],[3.84090909 9.15909091] ; [22.15909091 52.84090909],0
b2,1,0.579772,0.306603,[ 3 10] ; [23 52],[3.84090909 9.15909091] ; [22.15909091 52.84090909],0
u3,1,0.582804,0.301724,[6 6] ; [24 34],[5.14285714 6.85714286] ; [24.85714286 33.14285714],0
p1,1,0.603152,0.270268,[ 1 24] ; [  8 110],[ 1.57342657 23.42657343] ; [  7.42657343 110.57342657],0
s1,1,0.655565,0.198955,[ 1 25] ; [  7 108],[ 1.4751773 24.5248227] ; [  6.5248227 108.4751773],0
a4,1,0.657349,0.19676,[ 8 18] ; [41 75],[ 8.97183099 17.02816901] ; [40.02816901 75.97183099],0
s4,1,0.692421,0.156477,[ 3 22] ; [ 11 106],[ 2.46478873 22.53521127] ; [ 11.53521127 105.46478873],0
v4,1,0.737744,0.112119,[21  5] ; [91 26],[20.36363636  5.63636364] ; [91.63636364 25.36363636],0
r2,1,0.742165,0.108233,[22  4] ; [95 21],[21.42253521  4.57746479] ; [95.57746479 20.42253521],0
p6,1,0.754248,0.097996,[ 5 21] ; [19 95],[ 4.45714286 21.54285714] ; [19.54285714 94.45714286],0
