Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,43.705686,[114  30] ; [24 48],[92. 52.] ; [46. 26.],1
a5,1,0.000157,14.286246,[101  44] ; [31 41],[88.20276498 56.79723502] ; [43.79723502 28.20276498],1
a4,1,0.00402,8.274668,[69 74] ; [20 52],[59.19534884 83.80465116] ; [29.80465116 42.19534884],0
n1,1,0.006346,7.449206,[22 20] ; [ 8 28],[16.15384615 25.84615385] ; [13.84615385 22.15384615],0
p3,1,0.008922,6.838407,[ 39 106] ; [ 8 63],[ 31.55092593 113.44907407] ; [15.44907407 55.55092593],0
n6,1,0.012817,6.194254,[112  33] ; [44 28],[104.23963134  40.76036866] ; [51.76036866 20.23963134],0
p11,1,0.014701,5.951982,[101  44] ; [38 34],[92.88018433 52.11981567] ; [46.11981567 25.88018433],0
d2,1,0.031439,4.628842,[63 79] ; [21 51],[55.73831776 86.26168224] ; [28.26168224 43.73831776],0
r2,1,0.031939,4.601776,[127  16] ; [56 16],[121.71627907  21.28372093] ; [61.28372093 10.71627907],0
b2,1,0.032626,4.565322,[43 45] ; [ 9 24],[37.81818182 50.18181818] ; [14.18181818 18.81818182],0
b3,1,0.032626,4.565322,[43 45] ; [ 9 24],[37.81818182 50.18181818] ; [14.18181818 18.81818182],0
a8,1,0.034042,4.492607,[ 16 120] ; [ 2 67],[ 11.94146341 124.05853659] ; [ 6.05853659 62.94146341],0
u1,1,0.040007,4.217598,[ 19 126] ; [ 3 69],[ 14.70046083 130.29953917] ; [ 7.29953917 64.70046083],0
a1,1,0.044125,4.051758,[ 12 133] ; [ 1 71],[  8.68663594 136.31336406] ; [ 4.31336406 67.68663594],0
n2,1,0.047849,3.915284,[31 13] ; [17 18],[26.73417722 17.26582278] ; [21.26582278 13.73417722],0
a6,1,0.058712,3.573388,[105  40] ; [43 29],[98.89400922 46.10599078] ; [49.10599078 22.89400922],0
s1,1,0.074532,3.180288,[  3 141] ; [ 5 67],[  5.33333333 138.66666667] ; [ 2.66666667 69.33333333],0
p4,1,0.074543,3.180031,[49 95] ; [16 56],[ 43.33333333 100.66666667] ; [21.66666667 50.33333333],0
s7,1,0.076761,3.132182,[ 32 106] ; [ 9 61],[ 27.20192308 110.79807692] ; [13.79807692 56.20192308],0
u3,1,0.077194,3.123015,[19 33] ; [18 14],[22.9047619 29.0952381] ; [14.0952381 17.9047619],0
s8,1,0.089513,2.883106,[ 27 118] ; [ 7 65],[ 22.71889401 122.28110599] ; [11.28110599 60.71889401],0
r4,1,0.109887,2.55584,[106  39] ; [45 27],[100.89861751  44.10138249] ; [50.10138249 21.89861751],0
p2,1,0.132685,2.260803,[90 55] ; [37 35],[84.86175115 60.13824885] ; [42.13824885 29.86175115],0
a3,1,0.176848,1.823913,[93 50] ; [40 32],[88.46046512 54.53953488] ; [44.53953488 27.46046512],0
a7,1,0.190284,1.715414,[89 55] ; [51 21],[93.33333333 50.66666667] ; [46.66666667 25.33333333],0
n3,1,0.193164,1.693318,[26 15] ; [17 18],[23.19736842 17.80263158] ; [19.80263158 15.19736842],0
p10,1,0.223369,1.482595,[87 56] ; [37 34],[82.85981308 60.14018692] ; [41.14018692 29.85981308],0
p5,1,0.27825,1.175616,[  9 136] ; [ 2 70],[  7.35023041 137.64976959] ; [ 3.64976959 68.35023041],0
s6,1,0.279892,1.167617,[53 92] ; [21 51],[49.44700461 95.55299539] ; [24.55299539 47.44700461],0
p1,1,0.29627,1.090909,[ 14 130] ; [ 4 68],[ 12. 132.] ; [ 6. 66.],0
s3,1,0.315242,1.008586,[ 30 113] ; [11 61],[ 27.26976744 115.73023256] ; [13.73023256 58.26976744],0
v1,1,0.323511,0.974698,[51 91] ; [21 51],[47.77570093 94.22429907] ; [24.22429907 47.77570093],0
p6,1,0.344592,0.893271,[ 16 128] ; [ 5 66],[ 14.06511628 129.93488372] ; [ 6.93488372 64.06511628],0
p8,1,0.347139,0.883887,[ 28 116] ; [18 54],[ 30.66666667 113.33333333] ; [15.33333333 56.66666667],0
v2,1,0.374476,0.788758,[53 84] ; [32 39],[55.98557692 81.01442308] ; [29.01442308 41.98557692],0
a2,1,0.382822,0.761621,[ 27 118] ; [10 62],[ 24.7235023 120.2764977] ; [12.2764977 59.7235023],0
s4,1,0.404544,0.694777,[ 11 132] ; [ 8 64],[ 12.6372093 130.3627907] ; [ 6.3627907 65.6372093],0
b5,1,0.461284,0.542778,[81 64] ; [44 28],[83.52534562 61.47465438] ; [41.47465438 30.52534562],0
d1,1,0.590752,0.289171,[66 79] ; [30 42],[64.14746544 80.85253456] ; [31.85253456 40.14746544],0
u2,1,0.606645,0.265089,[23 29] ; [16 16],[24.14285714 27.85714286] ; [14.85714286 17.14285714],0
d3,1,0.651044,0.204587,[86 59] ; [45 27],[87.53456221 57.46543779] ; [43.46543779 28.53456221],0
v3,1,0.657098,0.197067,[ 38 102] ; [17 53],[ 36.66666667 103.33333333] ; [18.33333333 51.66666667],0
s5,1,0.704119,0.144223,[ 17 122] ; [10 61],[ 17.87142857 121.12857143] ; [ 9.12857143 61.87142857],0
p9,1,0.705823,0.142485,[93 49] ; [44 26],[91.76415094 50.23584906] ; [45.23584906 24.76415094],0
b1,1,0.719587,0.128889,[56 89] ; [26 46],[54.79262673 90.20737327] ; [27.20737327 44.79262673],0
r3,1,0.724592,0.124135,[118  25] ; [58 14],[117.06046512  25.93953488] ; [58.93953488 13.06046512],0
r1,1,0.735302,0.114298,[96 49] ; [46 26],[94.88479263 50.11520737] ; [47.11520737 24.88479263],0
v4,1,0.800484,0.063868,[118  26] ; [60 12],[118.66666667  25.33333333] ; [59.33333333 12.66666667],0
d4,1,0.829022,0.046637,[104  40] ; [53 19],[104.66666667  39.33333333] ; [52.33333333 19.66666667],0
d5,1,0.89121,0.018707,[104  41] ; [51 21],[103.57142857  41.42857143] ; [51.42857143 20.57142857],0
b4,1,0.891263,0.018689,[90 55] ; [44 28],[89.53917051 55.46082949] ; [44.46082949 27.53917051],0
