Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.007273,7.204395,[84 18] ; [13 10],[79.152 22.848] ; [17.848  5.152],0
b1,1,0.020966,5.32965,[37 69] ; [14  9],[41.90697674 64.09302326] ; [ 9.09302326 13.90697674],0
s1,1,0.022283,5.223535,[  1 104] ; [ 2 20],[  2.48031496 102.51968504] ; [ 0.51968504 21.48031496],0
p8,1,0.023771,5.111271,[78 25] ; [12 11],[73.57142857 29.42857143] ; [16.42857143  6.57142857],0
r1,1,0.024698,5.044944,[98  7] ; [18  5],[95.15625  9.84375] ; [20.84375  2.15625],0
p10,1,0.03353,4.518501,[97  8] ; [17  5],[94.2519685 10.7480315] ; [19.7480315  2.2519685],0
p11,1,0.053714,3.721559,[88 18] ; [15  8],[84.63565891 21.36434109] ; [18.36434109  4.63565891],0
p2,1,0.06702,3.354549,[93 12] ; [17  6],[90.234375 14.765625] ; [19.765625  3.234375],0
p9,1,0.087048,2.928141,[96  7] ; [18  4],[93.936  9.064] ; [20.064  1.936],0
r3,1,0.090016,2.87408,[103   2] ; [21  2],[101.71875   3.28125] ; [22.28125  0.71875],0
d3,1,0.123096,2.377485,[75 30] ; [20  3],[77.9296875 27.0703125] ; [17.0703125  5.9296875],0
n3,1,0.146217,2.111278,[16  4] ; [3 3],[14.61538462  5.38461538] ; [4.38461538 1.61538462],0
b5,1,0.159671,1.977343,[52 54] ; [15  8],[55.05426357 50.94573643] ; [11.94573643 11.05426357],0
a5,1,0.159855,1.9756,[91 15] ; [17  6],[88.74418605 17.25581395] ; [19.25581395  3.74418605],0
u3,1,0.161125,1.963636,[16  6] ; [2 3],[14.66666667  7.33333333] ; [3.33333333 1.66666667],0
p3,1,0.169707,1.885529,[70 34] ; [12 11],[67.1496063 36.8503937] ; [14.8503937  8.1496063],0
s4,1,0.182788,1.77481,[19 86] ; [ 7 16],[21.328125 83.671875] ; [ 4.671875 18.328125],0
p5,1,0.229044,1.446786,[32 73] ; [10 13],[34.453125 70.546875] ; [ 7.546875 15.453125],0
p1,1,0.262859,1.253636,[17 88] ; [ 6 17],[18.8671875 86.1328125] ; [ 4.1328125 18.8671875],0
n4,1,0.362071,0.830698,[91 15] ; [18  5],[89.56589147 16.43410853] ; [19.43410853  3.56589147],0
u1,1,0.363708,0.825049,[28 78] ; [ 4 19],[26.29457364 79.70542636] ; [ 5.70542636 17.29457364],0
n5,1,0.372583,0.795031,[90 15] ; [18  5],[88.59375 16.40625] ; [19.40625  3.59375],0
a8,1,0.379901,0.771022,[10 84] ; [ 1 21],[ 8.9137931 85.0862069] ; [ 2.0862069 19.9137931],0
s8,1,0.383734,0.758705,[73 31] ; [14  9],[71.24409449 32.75590551] ; [15.75590551  7.24409449],0
p12,1,0.438833,0.599331,[21 84] ; [ 3 20],[19.6875 85.3125] ; [ 4.3125 18.6875],0
d5,1,0.452242,0.565027,[89 16] ; [20  2],[90.11811024 14.88188976] ; [18.88188976  3.11811024],0
s7,1,0.454267,0.559984,[75 26] ; [18  4],[76.36585366 24.63414634] ; [16.63414634  5.36585366],0
a7,1,0.492467,0.471131,[76 29] ; [15  8],[74.6484375 30.3515625] ; [16.3515625  6.6484375],0
s2,1,0.505424,0.44353,[80 25] ; [19  4],[81.2109375 23.7890625] ; [17.7890625  5.2109375],0
d4,1,0.505994,0.442343,[89 15] ; [20  2],[89.96825397 14.03174603] ; [19.03174603  2.96825397],0
d2,1,0.513329,0.427276,[57 46] ; [11 12],[55.58730159 47.41269841] ; [12.41269841 10.58730159],0
p4,1,0.6016,0.272589,[81 23] ; [16  6],[80.06349206 23.93650794] ; [16.93650794  5.06349206],0
b4,1,0.608372,0.262552,[66 40] ; [13 10],[64.91472868 41.08527132] ; [14.08527132  8.91472868],0
s3,1,0.649323,0.206755,[74 28] ; [17  5],[74.85483871 27.14516129] ; [16.14516129  5.85483871],0
r4,1,0.703483,0.144874,[103   3] ; [22  1],[102.71317829   3.28682171] ; [22.28682171  0.71317829],0
r2,1,0.703483,0.144874,[103   3] ; [22  1],[102.71317829   3.28682171] ; [22.28682171  0.71317829],0
d1,1,0.733233,0.116163,[73 33] ; [15  8],[72.31007752 33.68992248] ; [15.68992248  7.31007752],0
p6,1,0.755769,0.096747,[48 54] ; [10 13],[47.328 54.672] ; [10.672 12.328],0
a2,1,0.761447,0.092161,[31 75] ; [ 6 17],[30.40310078 75.59689922] ; [ 6.59689922 16.40310078],0
a6,1,0.776969,0.080243,[71 33] ; [15  8],[70.42519685 33.57480315] ; [15.57480315  7.42519685],0
n6,1,0.77973,0.078216,[97  6] ; [22  1],[97.27777778  5.72222222] ; [21.72222222  1.27777778],0
v1,1,0.785602,0.073998,[76 29] ; [16  7],[75.46875 29.53125] ; [16.53125  6.46875],0
b3,1,0.832774,0.044582,[28 32] ; [6 6],[28.33333333 31.66666667] ; [5.66666667 6.33333333],0
b2,1,0.832774,0.044582,[28 32] ; [6 6],[28.33333333 31.66666667] ; [5.66666667 6.33333333],0
a3,1,0.851063,0.035255,[84 21] ; [18  5],[83.671875 21.328125] ; [18.328125  4.671875],0
u2,1,0.879193,0.023102,[14  8] ; [3 2],[13.85185185  8.14814815] ; [3.14814815 1.85185185],0
n1,1,0.896743,0.016842,[ 7 12] ; [2 3],[ 7.125 11.875] ; [1.875 3.125],0
a1,1,0.912012,0.012211,[10 96] ; [ 2 21],[ 9.86046512 96.13953488] ; [ 2.13953488 20.86046512],0
a4,1,0.914775,0.011453,[54 52] ; [12 11],[54.23255814 51.76744186] ; [11.76744186 11.23255814],0
n2,1,0.95925,0.002611,[16  3] ; [5 1],[15.96  3.04] ; [5.04 0.96],0
