Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,2.4e-05,17.838162,[50  2] ; [5 5],[46.12903226  5.87096774] ; [8.87096774 1.12903226],1
r1,1,0.000277,13.220496,[37 15] ; [1 9],[31.87096774 20.12903226] ; [6.12903226 3.87096774],1
v4,1,0.000934,10.954841,[51  1] ; [7 3],[48.64516129  3.35483871] ; [9.35483871 0.64516129],1
r3,1,0.0147,5.952108,[51  1] ; [8 2],[49.48387097  2.51612903] ; [9.51612903 0.48387097],0
p6,1,0.033003,4.545612,[29 22] ; [2 8],[25.91803279 25.08196721] ; [5.08196721 4.91803279],0
s7,1,0.056282,3.643688,[25 22] ; [2 8],[22.26315789 24.73684211] ; [4.73684211 5.26315789],0
p10,1,0.076972,3.127704,[43  8] ; [6 4],[40.96721311 10.03278689] ; [8.03278689 1.96721311],0
s8,1,0.080842,3.047899,[26 26] ; [2 8],[23.48387097 28.51612903] ; [4.51612903 5.48387097],0
d3,1,0.13906,2.188329,[34 17] ; [9 1],[35.95081967 15.04918033] ; [7.04918033 2.95081967],0
n4,1,0.147155,2.101497,[38 14] ; [5 5],[36.06451613 15.93548387] ; [6.93548387 3.06451613],0
a7,1,0.159156,1.982223,[37 14] ; [5 5],[35.1147541 15.8852459] ; [6.8852459 3.1147541],0
p2,1,0.160865,1.966077,[41 10] ; [6 4],[39.29508197 11.70491803] ; [7.70491803 2.29508197],0
p9,1,0.160865,1.966077,[41 10] ; [6 4],[39.29508197 11.70491803] ; [7.70491803 2.29508197],0
d5,1,0.2037,1.615644,[44  7] ; [7 3],[42.63934426  8.36065574] ; [8.36065574 1.63934426],0
a1,1,0.22797,1.45348,[ 4 48] ; [2 8],[ 5.03225806 46.96774194] ; [0.96774194 9.03225806],0
d2,1,0.245708,1.347544,[26 26] ; [3 7],[24.32258065 27.67741935] ; [4.67741935 5.32258065],0
a5,1,0.252453,1.309678,[38 14] ; [9 1],[39.41935484 12.58064516] ; [7.58064516 2.41935484],0
s5,1,0.293681,1.10267,[19 32] ; [2 8],[17.55737705 33.44262295] ; [3.44262295 6.55737705],0
a2,1,0.298817,1.079464,[13 39] ; [1 9],[11.74193548 40.25806452] ; [2.25806452 7.74193548],0
b4,1,0.303203,1.060052,[30 22] ; [4 6],[28.51612903 23.48387097] ; [5.48387097 4.51612903],0
p7,1,0.315578,1.007187,[34 17] ; [5 5],[32.60655738 18.39344262] ; [6.39344262 3.60655738],0
v3,1,0.377358,0.779291,[23 28] ; [3 7],[21.73770492 29.26229508] ; [4.26229508 5.73770492],0
p1,1,0.406237,0.689787,[ 2 50] ; [1 9],[ 2.51612903 49.48387097] ; [0.48387097 9.51612903],0
s1,1,0.416351,0.660593,[ 2 49] ; [1 9],[ 2.50819672 48.49180328] ; [0.49180328 9.50819672],0
b1,1,0.423492,0.640604,[19 33] ; [5 5],[20.12903226 31.87096774] ; [3.87096774 6.12903226],0
p11,1,0.423492,0.640604,[33 19] ; [5 5],[31.87096774 20.12903226] ; [6.12903226 3.87096774],0
s4,1,0.455639,0.556586,[10 40] ; [1 9],[ 9.16666667 40.83333333] ; [1.83333333 8.16666667],0
n2,1,0.45675,0.553846,[8 5] ; [4 1],[8.66666667 4.33333333] ; [3.33333333 1.66666667],0
v2,1,0.467463,0.527967,[30 22] ; [7 3],[31.03225806 20.96774194] ; [5.96774194 4.03225806],0
p4,1,0.508274,0.437619,[30 21] ; [7 3],[30.93442623 20.06557377] ; [6.06557377 3.93442623],0
n5,1,0.508543,0.437063,[36 15] ; [6 4],[35.1147541 15.8852459] ; [6.8852459 3.1147541],0
b2,1,0.561994,0.336264,[12 18] ; [1 3],[11.47058824 18.52941176] ; [1.52941176 2.47058824],0
b3,1,0.561994,0.336264,[12 18] ; [1 3],[11.47058824 18.52941176] ; [1.52941176 2.47058824],0
a4,1,0.562244,0.335833,[26 26] ; [4 6],[25.16129032 26.83870968] ; [4.83870968 5.16129032],0
u3,1,0.585804,0.296946,[11  6] ; [2 2],[10.52380952  6.47619048] ; [2.47619048 1.52380952],0
n3,1,0.598725,0.276923,[7 6] ; [2 3],[6.5 6.5] ; [2.5 2.5],0
p8,1,0.601509,0.272727,[26 25] ; [6 4],[26.75409836 24.24590164] ; [5.24590164 4.75409836],0
a6,1,0.611956,0.257336,[32 20] ; [7 3],[32.70967742 19.29032258] ; [6.29032258 3.70967742],0
a3,1,0.65475,0.199964,[35 17] ; [6 4],[34.38709677 17.61290323] ; [6.61290323 3.38709677],0
d4,1,0.657995,0.195968,[44  8] ; [9 1],[44.4516129  7.5483871] ; [8.5483871 1.4516129],0
b5,1,0.744485,0.106224,[34 18] ; [6 4],[33.5483871 18.4516129] ; [6.4516129 3.5483871],0
n6,1,0.847065,0.037197,[45  7] ; [8 1],[45.18032787  6.81967213] ; [7.81967213 1.18032787],0
d1,1,0.892266,0.018343,[30 22] ; [6 4],[30.19354839 21.80645161] ; [5.80645161 4.19354839],0
v1,1,0.892266,0.018343,[30 22] ; [6 4],[30.19354839 21.80645161] ; [5.80645161 4.19354839],0
p3,1,0.954782,0.003215,[25 26] ; [5 5],[25.08196721 25.91803279] ; [4.91803279 5.08196721],0
s6,1,0.96146,0.002335,[36 16] ; [7 3],[36.06451613 15.93548387] ; [6.93548387 3.06451613],0
