Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.080359,[ 9 60] ; [39 21],[25.6744186 43.3255814] ; [22.3255814 37.6744186],1
s6,1,7.3e-05,15.721757,[20 47] ; [39 21],[31.12598425 35.87401575] ; [27.87401575 32.12598425],1
s7,1,0.001166,10.542809,[12 57] ; [25 32],[20.26190476 48.73809524] ; [16.73809524 40.26190476],0
n2,1,0.004791,7.956672,[11 10] ; [16  1],[14.92105263  6.07894737] ; [12.07894737  4.92105263],0
s8,1,0.013192,6.143171,[12 57] ; [22 38],[18.18604651 50.81395349] ; [15.81395349 44.18604651],0
b1,1,0.018475,5.550532,[34 36] ; [17 43],[27.46153846 42.53846154] ; [23.53846154 36.46153846],0
s4,1,0.039469,4.240571,[ 7 63] ; [14 46],[11.30769231 58.69230769] ; [ 9.69230769 50.30769231],0
p7,1,0.048835,3.881028,[30 40] ; [35 23],[35.546875 34.453125] ; [29.453125 28.546875],0
p5,1,0.085879,2.949976,[ 6 64] ; [ 1 58],[ 3.79844961 66.20155039] ; [ 3.20155039 55.79844961],0
p6,1,0.103638,2.648644,[19 50] ; [ 9 49],[15.21259843 53.78740157] ; [12.78740157 45.21259843],0
s5,1,0.105038,2.62734,[12 53] ; [18 40],[15.85365854 49.14634146] ; [14.14634146 43.85365854],0
r3,1,0.122862,2.380448,[61  9] ; [57  3],[63.53846154  6.46153846] ; [54.46153846  5.53846154],0
a7,1,0.131726,2.272041,[49 20] ; [35 25],[44.93023256 24.06976744] ; [39.06976744 20.93023256],0
r2,1,0.179773,1.799502,[57 13] ; [53  6],[59.68992248 10.31007752] ; [50.31007752  8.68992248],0
b4,1,0.271983,1.206721,[44 26] ; [32 28],[40.92307692 29.07692308] ; [35.07692308 24.92307692],0
n4,1,0.290483,1.117381,[24 46] ; [26 34],[26.92307692 43.07692308] ; [23.07692308 36.92307692],0
r1,1,0.305798,1.048739,[43 27] ; [42 18],[45.76923077 24.23076923] ; [39.23076923 20.76923077],0
v1,1,0.306934,1.043823,[24 46] ; [25 33],[26.796875 43.203125] ; [22.203125 35.796875],0
r4,1,0.313579,1.015542,[52 18] ; [49 11],[54.38461538 15.61538462] ; [46.61538462 13.38461538],0
p2,1,0.331398,0.943427,[48 22] ; [45 14],[50.46511628 19.53488372] ; [42.53488372 16.46511628],0
s1,1,0.33839,0.91652,[ 3 67] ; [ 5 55],[ 4.30769231 65.69230769] ; [ 3.69230769 56.30769231],0
d3,1,0.364709,0.821613,[29 40] ; [30 30],[31.55813953 37.44186047] ; [27.44186047 32.55813953],0
b5,1,0.395784,0.721097,[38 32] ; [37 23],[40.38461538 29.61538462] ; [34.61538462 25.38461538],0
a5,1,0.400931,0.705532,[31 39] ; [31 29],[33.38461538 36.61538462] ; [28.61538462 31.38461538],0
d4,1,0.432339,0.616531,[42 28] ; [40 20],[44.15384615 25.84615385] ; [37.84615385 22.15384615],0
v4,1,0.444594,0.584397,[61  9] ; [53  5],[62.34375  7.65625] ; [51.65625  6.34375],0
p4,1,0.500932,0.452962,[24 46] ; [24 36],[25.84615385 44.15384615] ; [22.15384615 37.84615385],0
a3,1,0.501389,0.451994,[35 35] ; [33 26],[36.89922481 33.10077519] ; [31.10077519 27.89922481],0
p9,1,0.540453,0.374701,[42 27] ; [39 20],[43.6640625 25.3359375] ; [37.3359375 21.6640625],0
a6,1,0.550351,0.356689,[36 34] ; [34 26],[37.69230769 32.30769231] ; [32.30769231 27.69230769],0
u2,1,0.570251,0.322263,[17 18] ; [14 11],[18.08333333 16.91666667] ; [12.91666667 12.08333333],0
a8,1,0.580306,0.305741,[ 7 61] ; [ 4 50],[ 6.13114754 61.86885246] ; [ 4.86885246 49.13114754],0
n3,1,0.582716,0.301865,[14  7] ; [12  4],[14.75675676  6.24324324] ; [11.24324324  4.75675676],0
d5,1,0.663449,0.189361,[36 33] ; [29 31],[34.76744186 34.23255814] ; [30.23255814 29.76744186],0
a4,1,0.692808,0.156062,[16 54] ; [12 48],[15.07692308 54.92307692] ; [12.92307692 47.07692308],0
n6,1,0.719504,0.128968,[43 27] ; [35 25],[42. 28.] ; [36. 24.],0
p10,1,0.72868,0.120327,[39 30] ; [31 27],[38.03149606 30.96850394] ; [31.96850394 26.03149606],0
b2,1,0.73504,0.114534,[10 27] ; [ 8 26],[ 9.38028169 27.61971831] ; [ 8.61971831 25.38028169],0
b3,1,0.73504,0.114534,[10 27] ; [ 8 26],[ 9.38028169 27.61971831] ; [ 8.61971831 25.38028169],0
p8,1,0.738524,0.111429,[26 44] ; [24 36],[26.92307692 43.07692308] ; [23.07692308 36.92307692],0
v3,1,0.739485,0.11058,[17 50] ; [13 44],[16.20967742 50.79032258] ; [13.79032258 43.20967742],0
p11,1,0.751694,0.100113,[46 24] ; [41 19],[46.84615385 23.15384615] ; [40.15384615 19.84615385],0
a2,1,0.778333,0.079238,[ 3 67] ; [ 2 58],[ 2.69230769 67.30769231] ; [ 2.30769231 57.69230769],0
d2,1,0.793366,0.068614,[ 8 62] ; [ 6 54],[ 7.53846154 62.46153846] ; [ 6.46153846 53.53846154],0
p3,1,0.796868,0.066256,[23 47] ; [21 39],[23.69230769 46.30769231] ; [20.30769231 39.69230769],0
a1,1,0.821778,0.050742,[ 4 66] ; [ 4 56],[ 4.30769231 65.69230769] ; [ 3.69230769 56.30769231],0
p12,1,0.830011,0.04609,[ 3 67] ; [ 3 56],[ 3.25581395 66.74418605] ; [ 2.74418605 56.25581395],0
u3,1,0.861108,0.030612,[19 16] ; [13 12],[18.66666667 16.33333333] ; [13.33333333 11.66666667],0
v2,1,0.872753,0.025652,[26 42] ; [21 36],[25.568 42.432] ; [21.432 35.568],0
u1,1,0.912443,0.012091,[ 1 69] ; [ 1 59],[ 1.07692308 68.92307692] ; [ 0.92307692 59.07692308],0
p1,1,0.918005,0.010598,[ 5 64] ; [ 4 55],[ 4.8515625 64.1484375] ; [ 4.1484375 54.8515625],0
n1,1,0.983888,0.000408,[ 5 16] ; [ 4 13],[ 4.97368421 16.02631579] ; [ 4.02631579 12.97368421],0
