Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,9.5e-05,15.23229,[4 2] ; [ 2 33],[0.87804878 5.12195122] ; [ 5.12195122 29.87804878],1
p3,1,0.000111,14.947059,[5 2] ; [ 3 32],[1.33333333 5.66666667] ; [ 6.66666667 28.33333333],1
p7,1,0.000413,12.472727,[5 2] ; [ 4 31],[1.5 5.5] ; [ 7.5 27.5],1
n4,1,0.019172,5.485714,[2 5] ; [26  9],[4.66666667 2.33333333] ; [23.33333333 11.66666667],0
s6,1,0.023313,5.145,[4 3] ; [ 6 29],[1.66666667 5.33333333] ; [ 8.33333333 26.66666667],0
s1,1,0.04167,4.148571,[3 4] ; [ 4 31],[1.16666667 5.83333333] ; [ 5.83333333 29.16666667],0
v2,1,0.046837,3.951222,[4 3] ; [ 7 27],[1.87804878 5.12195122] ; [ 9.12195122 24.87804878],0
a5,1,0.053067,3.741818,[6 1] ; [16 19],[3.66666667 3.33333333] ; [18.33333333 16.66666667],0
s5,1,0.135805,2.224865,[2 5] ; [ 3 32],[0.83333333 6.16666667] ; [ 4.16666667 30.83333333],0
p6,1,0.204485,1.610052,[1 6] ; [ 1 33],[0.34146341 6.65853659] ; [ 1.65853659 32.34146341],0
s4,1,0.236724,1.4,[2 5] ; [ 4 31],[1. 6.] ; [ 5. 30.],0
b4,1,0.255623,1.292308,[3 4] ; [23 12],[4.33333333 2.66666667] ; [21.66666667 13.33333333],0
b3,1,0.317311,1.0,[1 4] ; [11 14],[2. 3.] ; [10. 15.],0
b2,1,0.317311,1.0,[1 4] ; [11 14],[2. 3.] ; [10. 15.],0
n5,1,0.325062,0.968471,[3 4] ; [22 13],[4.16666667 2.83333333] ; [20.83333333 14.16666667],0
r4,1,0.354539,0.857143,[2 5] ; [ 5 30],[1.16666667 5.83333333] ; [ 5.83333333 29.16666667],0
s2,1,0.354539,0.857143,[2 5] ; [ 5 30],[1.16666667 5.83333333] ; [ 5.83333333 29.16666667],0
d2,1,0.369428,0.805586,[5 2] ; [18 16],[3.92682927 3.07317073] ; [19.07317073 14.92682927],0
u3,1,0.396144,0.72,[1 2] ; [ 2 13],[0.5 2.5] ; [ 2.5 12.5],0
a6,1,0.402784,0.7,[2 5] ; [16 19],[3. 4.] ; [15. 20.],0
n3,1,0.457438,0.552157,[3 2] ; [ 7 10],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
s3,1,0.486335,0.484625,[3 4] ; [10 24],[2.2195122 4.7804878] ; [10.7804878 23.2195122],0
d5,1,0.488174,0.480549,[3 4] ; [20 15],[3.83333333 3.16666667] ; [19.16666667 15.83333333],0
r3,1,0.488174,0.480549,[4 3] ; [15 20],[3.16666667 3.83333333] ; [15.83333333 19.16666667],0
v1,1,0.506586,0.441113,[2 5] ; [ 6 28],[1.36585366 5.63414634] ; [ 6.63414634 27.36585366],0
s7,1,0.542227,0.371429,[1 6] ; [ 8 24],[1.61538462 5.38461538] ; [ 7.38461538 24.61538462],0
v3,1,0.580874,0.304823,[2 4] ; [ 8 27],[1.46341463 4.53658537] ; [ 8.53658537 26.46341463],0
p10,1,0.590536,0.289507,[1 6] ; [ 8 26],[1.53658537 5.46341463] ; [ 7.46341463 26.53658537],0
a4,1,0.593549,0.284836,[3 4] ; [11 23],[2.3902439 4.6097561] ; [11.6097561 22.3902439],0
s8,1,0.638239,0.221053,[1 6] ; [ 3 32],[0.66666667 6.33333333] ; [ 3.33333333 31.66666667],0
b1,1,0.678845,0.171429,[3 4] ; [18 17],[3.5 3.5] ; [17.5 17.5],0
n2,1,0.692103,0.156818,[2 3] ; [9 9],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
p1,1,0.725238,0.123529,[1 6] ; [ 7 28],[1.33333333 5.66666667] ; [ 6.66666667 28.33333333],0
n6,1,0.757093,0.095667,[2 4] ; [14 21],[2.34146341 3.65853659] ; [13.65853659 21.34146341],0
r1,1,0.769698,0.085714,[2 5] ; [12 23],[2.33333333 4.66666667] ; [11.66666667 23.33333333],0
d4,1,0.769698,0.085714,[5 2] ; [23 12],[4.66666667 2.33333333] ; [23.33333333 11.66666667],0
d3,1,0.776258,0.080769,[3 4] ; [13 22],[2.66666667 4.33333333] ; [13.33333333 21.66666667],0
u2,1,0.813945,0.055385,[1 2] ; [ 4 11],[0.83333333 2.16666667] ; [ 4.16666667 10.83333333],0
n1,1,0.859234,0.031453,[3 2] ; [10  8],[2.82608696 2.17391304] ; [10.17391304  7.82608696],0
p11,1,0.881342,0.022281,[2 5] ; [11 24],[2.16666667 4.83333333] ; [10.83333333 24.16666667],0
a7,1,0.889732,0.019222,[3 4] ; [16 19],[3.16666667 3.83333333] ; [15.83333333 19.16666667],0
a3,1,0.934493,0.006756,[4 3] ; [20 14],[4.09756098 2.90243902] ; [19.90243902 14.09756098],0
p9,1,0.944277,0.004885,[2 5] ; [ 9 24],[1.925 5.075] ; [ 9.075 23.925],0
r2,1,0.96558,0.001862,[4 3] ; [18 14],[3.94871795 3.05128205] ; [18.05128205 13.94871795],0
d1,1,1.0,0.0,[3 4] ; [15 20],[3. 4.] ; [15. 20.],0
b5,1,1.0,0.0,[3 4] ; [15 20],[3. 4.] ; [15. 20.],0
