Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3e-06,21.554281,[29 18] ; [ 1 23],[19.85915493 27.14084507] ; [10.14084507 13.85915493],1
d5,1,4.7e-05,16.556038,[37 10] ; [ 7 17],[29.12676056 17.87323944] ; [14.87323944  9.12676056],1
d3,1,0.000168,14.160933,[30 17] ; [ 4 20],[22.50704225 24.49295775] ; [11.49295775 12.50704225],1
n5,1,0.002574,9.087555,[24 23] ; [21  3],[29.78873239 17.21126761] ; [15.21126761  8.78873239],0
a3,1,0.011785,6.342858,[34 13] ; [10 14],[29.12676056 17.87323944] ; [14.87323944  9.12676056],0
u2,1,0.029345,4.747253,[7 6] ; [ 2 12],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
s5,1,0.034298,4.479788,[11 34] ; [ 1 23],[ 7.82608696 37.17391304] ; [ 4.17391304 19.82608696],0
b4,1,0.049987,3.841893,[31 16] ; [10 14],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
b5,1,0.049987,3.841893,[31 16] ; [10 14],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
a5,1,0.049987,3.841893,[31 16] ; [10 14],[27.14084507 19.85915493] ; [13.85915493 10.14084507],0
d2,1,0.053066,3.741849,[26 19] ; [ 8 16],[22.17391304 22.82608696] ; [11.82608696 12.17391304],0
a4,1,0.060539,3.522544,[20 26] ; [ 5 19],[16.42857143 29.57142857] ; [ 8.57142857 15.42857143],0
s6,1,0.098766,2.725365,[19 28] ; [ 5 19],[15.88732394 31.11267606] ; [ 8.11267606 15.88732394],0
n3,1,0.121335,2.4,[ 8 12] ; [7 3],[10. 10.] ; [5. 5.],0
s2,1,0.123638,2.370616,[16 31] ; [ 4 20],[13.23943662 33.76056338] ; [ 6.76056338 17.23943662],0
s7,1,0.146892,2.104237,[12 31] ; [ 3 21],[ 9.62686567 33.37313433] ; [ 5.37313433 18.62686567],0
a7,1,0.15542,2.018231,[26 21] ; [ 9 15],[23.16901408 23.83098592] ; [11.83098592 12.16901408],0
n6,1,0.15593,2.013257,[31 15] ; [12 12],[28.25714286 17.74285714] ; [14.74285714  9.25714286],0
s3,1,0.167808,1.902414,[17 29] ; [ 5 19],[14.45714286 31.54285714] ; [ 7.54285714 16.45714286],0
s1,1,0.16914,1.890546,[ 3 44] ; [ 4 20],[ 4.63380282 42.36619718] ; [ 2.36619718 21.63380282],0
a2,1,0.176308,1.828477,[ 7 40] ; [ 1 23],[ 5.29577465 41.70422535] ; [ 2.70422535 21.29577465],0
p6,1,0.177815,1.815789,[10 36] ; [ 2 21],[ 8. 38.] ; [ 4. 19.],0
r3,1,0.180547,1.793117,[33 14] ; [13 11],[30.45070423 16.54929577] ; [15.54929577  8.45070423],0
p3,1,0.282925,1.152986,[13 33] ; [ 4 20],[11.17142857 34.82857143] ; [ 5.82857143 18.17142857],0
n1,1,0.298433,1.081182,[ 7 13] ; [5 4],[ 8.27586207 11.72413793] ; [3.72413793 5.27586207],0
p11,1,0.359599,0.839294,[23 24] ; [ 9 15],[21.18309859 25.81690141] ; [10.81690141 13.18309859],0
v4,1,0.430631,0.62112,[30 17] ; [13 11],[28.46478873 18.53521127] ; [14.53521127  9.46478873],0
r2,1,0.438093,0.601271,[29 15] ; [18  6],[30.41176471 13.58823529] ; [16.58823529  7.41176471],0
v2,1,0.460181,0.545455,[16 28] ; [ 6 16],[14.66666667 29.33333333] ; [ 7.33333333 14.66666667],0
a1,1,0.470162,0.521594,[ 5 42] ; [ 4 20],[ 5.95774648 41.04225352] ; [ 3.04225352 20.95774648],0
p4,1,0.531677,0.391185,[13 34] ; [ 5 19],[11.91549296 35.08450704] ; [ 6.08450704 17.91549296],0
v1,1,0.56101,0.337959,[12 33] ; [ 8 16],[13.04347826 31.95652174] ; [ 6.95652174 17.04347826],0
p10,1,0.562226,0.335865,[20 27] ; [11 11],[21.11594203 25.88405797] ; [ 9.88405797 12.11594203],0
p8,1,0.652583,0.202659,[10 37] ; [ 6 17],[10.74285714 36.25714286] ; [ 5.25714286 17.74285714],0
b1,1,0.676675,0.173893,[23 24] ; [13 11],[23.83098592 23.16901408] ; [12.16901408 11.83098592],0
r4,1,0.681985,0.1679,[20 27] ; [ 9 15],[19.1971831 27.8028169] ; [ 9.8028169 14.1971831],0
b2,1,0.724018,0.124675,[15 18] ; [6 9],[14.4375 18.5625] ; [6.5625 8.4375],0
b3,1,0.724018,0.124675,[15 18] ; [6 9],[14.4375 18.5625] ; [6.5625 8.4375],0
u3,1,0.785351,0.074176,[4 9] ; [5 9],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
n2,1,0.788776,0.07177,[13  7] ; [6 4],[12.66666667  7.33333333] ; [6.33333333 3.66666667],0
s8,1,0.798084,0.065448,[ 9 38] ; [ 4 20],[ 8.6056338 38.3943662] ; [ 4.3943662 19.6056338],0
p1,1,0.798084,0.065448,[ 9 38] ; [ 4 20],[ 8.6056338 38.3943662] ; [ 4.3943662 19.6056338],0
n4,1,0.808596,0.058679,[26 21] ; [14 10],[26.47887324 20.52112676] ; [13.52112676 10.47887324],0
v3,1,0.857154,0.032399,[10 34] ; [ 5 19],[ 9.70588235 34.29411765] ; [ 5.29411765 18.70588235],0
p9,1,0.857497,0.032242,[22 22] ; [11 10],[22.33846154 21.66153846] ; [10.66153846 10.33846154],0
a6,1,0.937882,0.006073,[25 22] ; [13 11],[25.15492958 21.84507042] ; [12.84507042 11.15492958],0
p7,1,0.956778,0.002937,[14 33] ; [ 7 17],[13.90140845 33.09859155] ; [ 7.09859155 16.90140845],0
s4,1,0.969915,0.001422,[ 8 39] ; [ 4 20],[ 7.94366197 39.05633803] ; [ 4.05633803 19.94366197],0
p5,1,1.0,0.0,[ 2 44] ; [ 1 22],[ 2. 44.] ; [ 1. 22.],0
