Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.757136,[4 6] ; [115  12],[8.68613139 1.31386861] ; [110.31386861  16.68613139],1
p10,1,0.000692,11.511561,[3 7] ; [98 27],[7.48148148 2.51851852] ; [93.51851852 31.48148148],1
r2,1,0.004153,8.215498,[7 3] ; [120   7],[9.27007299 0.72992701] ; [117.72992701   9.27007299],0
r3,1,0.004374,8.121439,[8 2] ; [123   3],[9.63235294 0.36764706] ; [121.36764706   4.63235294],0
p2,1,0.007918,7.051852,[4 6] ; [98 28],[7.5 2.5] ; [94.5 31.5],0
p9,1,0.014429,5.984881,[5 5] ; [102  22],[7.98507463 2.01492537] ; [99.01492537 24.98507463],0
r1,1,0.015477,5.861397,[4 6] ; [95 31],[7.27941176 2.72058824] ; [91.72058824 34.27941176],0
a6,1,0.031014,4.652177,[4 6] ; [92 35],[7.00729927 2.99270073] ; [88.99270073 38.00729927],0
a7,1,0.046561,3.961195,[5 5] ; [99 28],[7.59124088 2.40875912] ; [96.40875912 30.59124088],0
n6,1,0.054654,3.692607,[4 6] ; [87 38],[6.74074074 3.25925926] ; [84.25925926 40.74074074],0
u3,1,0.083116,3.002887,[1 3] ; [34 16],[2.59259259 1.40740741] ; [32.40740741 17.59259259],0
n2,1,0.091629,2.845521,[1 2] ; [37 11],[2.23529412 0.76470588] ; [35.76470588 12.23529412],0
s8,1,0.105063,2.626951,[2 8] ; [59 68],[4.45255474 5.54744526] ; [56.54744526 70.45255474],0
s2,1,0.108824,2.571221,[4 6] ; [83 44],[6.35036496 3.64963504] ; [80.64963504 46.35036496],0
p7,1,0.209382,1.575693,[4 6] ; [73 48],[5.8778626 4.1221374] ; [71.1221374 49.8778626],0
d5,1,0.221633,1.493766,[6 4] ; [98 29],[7.59124088 2.40875912] ; [96.40875912 30.59124088],0
s3,1,0.261298,1.261866,[5 5] ; [85 41],[6.61764706 3.38235294] ; [83.38235294 42.61764706],0
n5,1,0.272667,1.203278,[2 8] ; [47 79],[3.60294118 6.39705882] ; [45.39705882 80.60294118],0
v1,1,0.273377,1.199723,[3 7] ; [59 64],[4.66165414 5.33834586] ; [57.33834586 65.66165414],0
p11,1,0.277593,1.178836,[5 5] ; [85 42],[6.56934307 3.43065693] ; [83.43065693 43.56934307],0
a8,1,0.304349,1.055041,[1 9] ; [  4 113],[0.39370079 9.60629921] ; [  4.60629921 112.39370079],0
d4,1,0.317639,0.998644,[7 3] ; [105  22],[8.17518248 1.82481752] ; [103.82481752  23.17518248],0
s5,1,0.366835,0.814356,[3 7] ; [55 68],[4.36090226 5.63909774] ; [53.63909774 69.36090226],0
d3,1,0.435169,0.608988,[6 4] ; [91 36],[7.08029197 2.91970803] ; [89.91970803 37.08029197],0
d1,1,0.436999,0.60415,[4 6] ; [67 60],[5.18248175 4.81751825] ; [65.81751825 61.18248175],0
a2,1,0.515946,0.421989,[1 9] ; [ 23 104],[1.75182482 8.24817518] ; [ 22.24817518 104.75182482],0
p4,1,0.59101,0.288769,[6 4] ; [65 62],[5.18248175 4.81751825] ; [65.81751825 61.18248175],0
p6,1,0.610631,0.259257,[2 8] ; [34 90],[2.68656716 7.31343284] ; [33.31343284 90.68656716],0
p3,1,0.681271,0.168699,[5 5] ; [55 72],[4.37956204 5.62043796] ; [55.62043796 71.37956204],0
a5,1,0.692743,0.156132,[7 3] ; [81 46],[6.42335766 3.57664234] ; [81.57664234 45.42335766],0
s4,1,0.693657,0.155155,[4 6] ; [43 84],[3.43065693 6.56934307] ; [43.56934307 83.43065693],0
b1,1,0.693657,0.155155,[4 6] ; [43 84],[3.43065693 6.56934307] ; [43.56934307 83.43065693],0
p8,1,0.71284,0.135457,[5 4] ; [62 64],[4.46666667 4.53333333] ; [62.53333333 63.46666667],0
u2,1,0.75553,0.096942,[2 2] ; [29 21],[2.2962963 1.7037037] ; [28.7037037 21.2962963],0
s7,1,0.755991,0.096566,[4 6] ; [55 67],[4.46969697 5.53030303] ; [54.53030303 67.46969697],0
a4,1,0.803558,0.061874,[3 7] ; [43 84],[3.35766423 6.64233577] ; [42.64233577 84.35766423],0
v2,1,0.814933,0.054788,[5 5] ; [63 54],[5.35433071 4.64566929] ; [62.64566929 54.35433071],0
p1,1,0.823959,0.049487,[1 9] ; [ 10 115],[0.81481481 9.18518519] ; [ 10.18518519 114.81481481],0
d2,1,0.85052,0.035515,[4 6] ; [47 80],[3.72262774 6.27737226] ; [47.27737226 79.72262774],0
v3,1,0.862845,0.029844,[3 6] ; [37 84],[2.76923077 6.23076923] ; [37.23076923 83.76923077],0
n1,1,0.877879,0.023611,[1 2] ; [14 34],[0.88235294 2.11764706] ; [14.11764706 33.88235294],0
b5,1,0.929397,0.007851,[6 4] ; [78 49],[6.13138686 3.86861314] ; [77.86861314 49.13138686],0
b4,1,0.929397,0.007851,[6 4] ; [78 49],[6.13138686 3.86861314] ; [77.86861314 49.13138686],0
a3,1,0.953335,0.003425,[6 4] ; [75 52],[5.91240876 4.08759124] ; [75.08759124 51.91240876],0
b2,1,0.97723,0.000815,[2 4] ; [19 39],[1.96875 4.03125] ; [19.03125 38.96875],0
b3,1,0.97723,0.000815,[2 4] ; [19 39],[1.96875 4.03125] ; [19.03125 38.96875],0
n3,1,1.0,0.0,[2 1] ; [32 16],[2. 1.] ; [32. 16.],0
