Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-05,19.497573,[128  97] ; [46 93],[107.55494505 117.44505495] ; [66.44505495 72.55494505],1
v2,1,1e-05,19.430514,[158  69] ; [64 74],[138.06575342  88.93424658] ; [83.93424658 54.06575342],1
s5,1,0.000407,12.498665,[118 104] ; [47 91],[101.75 120.25] ; [63.25 74.75],1
p6,1,0.00231,9.285465,[123 108] ; [53 90],[108.70588235 122.29411765] ; [67.29411765 75.70588235],0
n5,1,0.003117,8.737478,[198  36] ; [103  40],[186.82758621  47.17241379] ; [114.17241379  28.82758621],0
p9,1,0.005061,7.857504,[218  15] ; [122  22],[210.13262599  22.86737401] ; [129.86737401  14.13262599],0
p5,1,0.005129,7.83356,[ 46 186] ; [ 13 131],[ 36.40425532 195.59574468] ; [ 22.59574468 121.40425532],0
b5,1,0.006198,7.491935,[151  84] ; [72 72],[138.27176781  96.72823219] ; [84.72823219 59.27176781],0
a8,1,0.008298,6.968066,[ 43 167] ; [ 13 121],[ 34.18604651 175.81395349] ; [ 21.81395349 112.18604651],0
p7,1,0.009566,6.714045,[170  55] ; [90 53],[158.9673913  66.0326087] ; [101.0326087  41.9673913],0
r2,1,0.015547,5.853434,[230   3] ; [134   8],[226.16533333   6.83466667] ; [137.83466667   4.16533333],0
n2,1,0.018435,5.554359,[35  6] ; [29 17],[30.16091954 10.83908046] ; [33.83908046 12.16091954],0
r3,1,0.019569,5.449936,[230   5] ; [134  10],[225.69920844   9.30079156] ; [138.30079156   5.69920844],0
r4,1,0.020414,5.376122,[228   7] ; [132  12],[223.21899736  11.78100264] ; [136.78100264   7.21899736],0
p8,1,0.025131,5.014819,[146  84] ; [74 69],[135.65683646  94.34316354] ; [84.34316354 58.65683646],0
p3,1,0.028716,4.784562,[146  89] ; [73 71],[135.79155673  99.20844327] ; [83.20844327 60.79155673],0
r1,1,0.034265,4.481431,[207  27] ; [116  28],[199.95238095  34.04761905] ; [123.04761905  20.95238095],0
a5,1,0.03751,4.327114,[194  41] ; [106  38],[186.01583113  48.98416887] ; [113.98416887  30.01583113],0
n1,1,0.040706,4.188224,[24 17] ; [16 28],[19.29411765 21.70588235] ; [20.70588235 23.29411765],0
n4,1,0.047723,3.919705,[197  36] ; [110  34],[189.73740053  43.26259947] ; [117.26259947  26.73740053],0
d4,1,0.051681,3.786058,[207  27] ; [117  27],[200.57142857  33.42857143] ; [123.42857143  20.57142857],0
