Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3.7e-05,17.040673,[23  8] ; [ 4 19],[15.5 15.5] ; [11.5 11.5],1
d3,1,4.9e-05,16.495583,[27  5] ; [ 7 16],[19.78181818 12.21818182] ; [14.21818182  8.78181818],1
p7,1,0.006665,7.360988,[10 21] ; [16  7],[14.92592593 16.07407407] ; [11.07407407 11.92592593],0
v3,1,0.013148,6.149068,[16 16] ; [ 4 19],[11.63636364 20.36363636] ; [ 8.36363636 14.63636364],0
a5,1,0.033971,4.49615,[23  9] ; [10 13],[19.2 12.8] ; [13.8  9.2],0
n3,1,0.040424,4.2,[7 7] ; [9 1],[9.33333333 4.66666667] ; [6.66666667 3.33333333],0
a2,1,0.041137,4.170342,[ 8 24] ; [ 1 22],[ 5.23636364 26.76363636] ; [ 3.76363636 19.23636364],0
n1,1,0.041227,4.166667,[ 1 14] ; [4 6],[ 3. 12.] ; [2. 8.],0
a4,1,0.074162,3.188406,[16 16] ; [ 6 17],[12.8 19.2] ; [ 9.2 13.8],0
a7,1,0.084542,2.975356,[22  9] ; [11 12],[18.94444444 12.05555556] ; [14.05555556  8.94444444],0
a3,1,0.087246,2.924466,[25  7] ; [13 10],[22.10909091  9.89090909] ; [15.89090909  7.10909091],0
s2,1,0.095507,2.779021,[16 14] ; [ 7 16],[13.01886792 16.98113208] ; [ 9.98113208 13.01886792],0
n2,1,0.101707,2.678571,[9 6] ; [9 1],[10.8  4.2] ; [7.2 2.8],0
b1,1,0.115731,2.47416,[14 18] ; [15  8],[16.87272727 15.12727273] ; [12.12727273 10.87272727],0
r2,1,0.134578,2.238886,[20  9] ; [ 9 10],[17.52083333 11.47916667] ; [11.47916667  7.52083333],0
a6,1,0.138504,2.1945,[19 13] ; [ 9 14],[16.29090909 15.70909091] ; [11.70909091 11.29090909],0
s1,1,0.162362,1.952093,[ 1 31] ; [ 3 20],[ 2.32727273 29.67272727] ; [ 1.67272727 21.32727273],0
