Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,95.826485,[ 3 77] ; [180  93],[41.47308782 38.52691218] ; [141.52691218 131.47308782],1
d5,1,0.0,76.275468,[30 50] ; [234  39],[59.83002833 20.16997167] ; [204.16997167  68.83002833],1
d3,1,0.0,68.670215,[18 62] ; [201  72],[49.63172805 30.36827195] ; [169.36827195 103.63172805],1
a4,1,0.0,29.93256,[13 66] ; [139 133],[34.21082621 44.78917379] ; [117.78917379 154.21082621],1
d2,1,2e-06,22.7741,[19 61] ; [146 124],[37.71428571 42.28571429] ; [127.28571429 142.71428571],1
a5,1,1.6e-05,18.588256,[37 43] ; [197  76],[53.03116147 26.96883853] ; [180.96883853  92.03116147],1
a7,1,2.7e-05,17.591861,[39 41] ; [201  72],[54.39093484 25.60906516] ; [185.60906516  87.39093484],1
r3,1,3e-05,17.393446,[58 21] ; [249  24],[68.90056818 10.09943182] ; [238.09943182  34.90056818],1
u2,1,0.000231,13.559651,[11 30] ; [52 32],[20.664 20.336] ; [42.336 41.664],1
v2,1,0.001281,10.369944,[23 52] ; [135 126],[35.26785714 39.73214286] ; [122.73214286 138.26785714],0
a2,1,0.00166,9.892251,[ 6 74] ; [ 64 209],[15.86402266 64.13597734] ; [ 54.13597734 218.86402266],0
a3,1,0.002112,9.449438,[39 39] ; [188  85],[50.44444444 27.55555556] ; [176.55555556  96.44444444],0
s2,1,0.002763,8.957585,[20 57] ; [121 148],[31.37861272 45.62138728] ; [109.62138728 159.37861272],0
s5,1,0.003387,8.58655,[ 7 70] ; [ 63 193],[16.18618619 60.81381381] ; [ 53.81381381 202.18618619],0
r1,1,0.00601,7.547372,[46 34] ; [200  72],[55.90909091 24.09090909] ; [190.09090909  81.90909091],0
s7,1,0.016091,5.792945,[18 59] ; [ 98 158],[26.82282282 50.17717718] ; [ 89.17717718 166.82282282],0
r4,1,0.016856,5.711286,[54 26] ; [219  54],[61.86968839 18.13031161] ; [211.13031161  61.86968839],0
s8,1,0.031022,4.651772,[17 63] ; [ 92 179],[24.84330484 55.15669516] ; [ 84.15669516 186.84330484],0
v4,1,0.06484,3.409047,[63 16] ; [240  33],[68.00284091 10.99715909] ; [234.99715909  38.00284091],0
u3,1,0.067511,3.342525,[18 23] ; [52 33],[22.77777778 18.22222222] ; [47.22222222 37.77777778],0
a6,1,0.076147,3.145278,[45 35] ; [183  90],[51.6713881 28.3286119] ; [176.3286119  96.6713881],0
s6,1,0.097782,2.741354,[36 43] ; [151 118],[42.45114943 36.54885057] ; [144.54885057 124.45114943],0
p6,1,0.114897,2.485535,[ 7 72] ; [ 43 227],[11.31805158 67.68194842] ; [ 38.68194842 231.31805158],0
b4,1,0.120484,2.411015,[43 37] ; [173 100],[48.95184136 31.04815864] ; [167.04815864 105.95184136],0
n5,1,0.125845,2.343026,[58 22] ; [172 100],[52.27272727 27.72727273] ; [177.72727273  94.27272727],0
s3,1,0.129651,2.296681,[29 48] ; [128 142],[34.83861671 42.16138329] ; [122.16138329 147.83861671],0
r2,1,0.142444,2.151353,[68 12] ; [245  25],[71.54285714  8.45714286] ; [241.45714286  28.54285714],0
p4,1,0.177348,1.819705,[25 55] ; [108 165],[30.14164306 49.85835694] ; [102.85835694 170.14164306],0
