Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,26.882484,[38 23] ; [ 1 27],[26.73033708 34.26966292] ; [12.26966292 15.73033708],1
d4,1,2e-06,22.642287,[50 10] ; [ 9 19],[40.22727273 19.77272727] ; [18.77272727  9.22727273],1
a5,1,1.2e-05,19.103864,[47 14] ; [ 8 20],[37.69662921 23.30337079] ; [17.30337079 10.69662921],1
d3,1,5.4e-05,16.299955,[39 22] ; [ 5 23],[30.15730337 30.84269663] ; [13.84269663 14.15730337],1
a4,1,0.000314,12.987145,[33 27] ; [ 4 24],[25.22727273 34.77272727] ; [11.77272727 16.22727273],1
d2,1,0.000556,11.917987,[36 23] ; [ 6 22],[28.48275862 30.51724138] ; [13.51724138 14.48275862],1
a7,1,0.001987,9.56127,[34 26] ; [ 6 22],[27.27272727 32.72727273] ; [12.72727273 15.27272727],0
p6,1,0.004865,7.928977,[18 40] ; [ 1 26],[12.96470588 45.03529412] ; [ 6.03529412 20.96470588],0
a3,1,0.012776,6.199844,[44 17] ; [12 15],[38.81818182 22.18181818] ; [17.18181818  9.81818182],0
v2,1,0.01696,5.700516,[30 29] ; [ 6 20],[24.98823529 34.01176471] ; [11.01176471 14.98823529],0
a6,1,0.042728,4.106116,[38 23] ; [11 17],[33.58426966 27.41573034] ; [15.41573034 12.58426966],0
a2,1,0.045812,3.988509,[12 49] ; [ 1 27],[ 8.91011236 52.08988764] ; [ 4.08988764 23.91011236],0
p4,1,0.056688,3.631714,[25 34] ; [ 6 22],[21.02298851 37.97701149] ; [ 9.97701149 18.02298851],0
v3,1,0.061664,3.492063,[20 40] ; [ 4 24],[16.36363636 43.63636364] ; [ 7.63636364 20.36363636],0
s3,1,0.073766,3.19717,[26 30] ; [ 7 20],[22.26506024 33.73493976] ; [10.73493976 16.26506024],0
b5,1,0.083373,2.997884,[36 25] ; [11 17],[32.21348315 28.78651685] ; [14.78651685 13.21348315],0
r1,1,0.091338,2.850633,[21 38] ; [ 5 23],[17.63218391 41.36781609] ; [ 8.36781609 19.63218391],0
p5,1,0.115625,2.475604,[ 9 51] ; [ 1 27],[ 6.81818182 53.18181818] ; [ 3.18181818 24.81818182],0
p9,1,0.118656,2.434967,[40 19] ; [13 13],[36.78823529 22.21176471] ; [16.21176471  9.78823529],0
s5,1,0.135381,2.229686,[11 45] ; [ 2 26],[ 8.66666667 47.33333333] ; [ 4.33333333 23.66666667],0
r2,1,0.138819,2.191003,[34 18] ; [13 14],[30.93670886 21.06329114] ; [16.06329114 10.93670886],0
p3,1,0.139065,2.188274,[22 37] ; [ 6 22],[18.98850575 40.01149425] ; [ 9.01149425 18.98850575],0
s8,1,0.149878,2.073496,[17 43] ; [ 4 24],[14.31818182 45.68181818] ; [ 6.68181818 21.31818182],0
b4,1,0.159957,1.974636,[38 23] ; [13 15],[34.95505618 26.04494382] ; [16.04494382 11.95505618],0
u2,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
v4,1,0.192518,1.698246,[36 21] ; [13 14],[33.25 23.75] ; [15.75 11.25],0
u3,1,0.199543,1.645714,[ 5 11] ; [ 2 14],[ 3.5 12.5] ; [ 3.5 12.5],0
p11,1,0.209063,1.577902,[37 24] ; [13 15],[34.26966292 26.73033708] ; [15.73033708 12.26966292],0
s7,1,0.221733,1.493118,[24 31] ; [ 8 19],[21.46341463 33.53658537] ; [10.53658537 16.46341463],0
s6,1,0.26185,1.25895,[26 32] ; [ 9 19],[23.60465116 34.39534884] ; [11.39534884 16.60465116],0
s2,1,0.298672,1.080113,[21 37] ; [ 7 21],[18.88372093 39.11627907] ; [ 9.11627907 18.88372093],0
s1,1,0.311214,1.025518,[ 3 58] ; [ 3 25],[ 4.11235955 56.88764045] ; [ 1.88764045 26.11235955],0
r3,1,0.321385,0.983304,[34 23] ; [13 14],[31.89285714 25.10714286] ; [15.10714286 11.89285714],0
s4,1,0.333523,0.935172,[ 8 52] ; [ 6 22],[ 9.54545455 50.45454545] ; [ 4.45454545 23.54545455],0
a8,1,0.36812,0.81,[ 5 49] ; [ 1 26],[ 4. 50.] ; [ 2. 25.],0
b2,1,0.423486,0.640622,[13 27] ; [ 9 12],[14.42622951 25.57377049] ; [ 7.57377049 13.42622951],0
b3,1,0.423486,0.640622,[13 27] ; [ 9 12],[14.42622951 25.57377049] ; [ 7.57377049 13.42622951],0
v1,1,0.516128,0.421625,[21 36] ; [ 8 19],[19.67857143 37.32142857] ; [ 9.32142857 17.67857143],0
n5,1,0.592018,0.287204,[47 11] ; [24  4],[47.88372093 10.11627907] ; [23.11627907  4.88372093],0
n1,1,0.679665,0.170503,[10 15] ; [7 8],[10.625 14.375] ; [6.375 8.625],0
p7,1,0.680152,0.169954,[23 34] ; [10 18],[22.12941176 34.87058824] ; [10.87058824 17.12941176],0
p1,1,0.708355,0.139926,[ 7 54] ; [ 4 24],[ 7.53932584 53.46067416] ; [ 3.46067416 24.53932584],0
p10,1,0.712275,0.136015,[32 25] ; [14 13],[31.21428571 25.78571429] ; [14.78571429 12.21428571],0
n6,1,0.818542,0.052634,[38 20] ; [17 10],[37.52941176 20.47058824] ; [17.47058824  9.52941176],0
b1,1,0.829323,0.04647,[32 29] ; [14 14],[31.52808989 29.47191011] ; [14.47191011 13.52808989],0
n3,1,0.869635,0.026936,[14 11] ; [8 7],[13.75 11.25] ; [8.25 6.75],0
p2,1,0.896427,0.016946,[34 24] ; [16 12],[33.72093023 24.27906977] ; [16.27906977 11.72093023],0
p12,1,0.930203,0.007672,[ 2 58] ; [ 1 26],[ 2.06896552 57.93103448] ; [ 0.93103448 26.06896552],0
n2,1,0.930542,0.007597,[17  8] ; [10  5],[16.875  8.125] ; [10.125  4.875],0
a1,1,0.95367,0.003375,[ 9 52] ; [ 4 24],[ 8.91011236 52.08988764] ; [ 4.08988764 23.91011236],0
p8,1,0.981596,0.000532,[17 43] ; [ 8 20],[17.04545455 42.95454545] ; [ 7.95454545 20.04545455],0
