Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.9e-05,16.937729,[ 9 19] ; [41 11],[17.5 10.5] ; [32.5 19.5],1
s7,1,0.006696,7.352811,[ 3 21] ; [21 26],[ 8.11267606 15.88732394] ; [15.88732394 31.11267606],0
d4,1,0.049792,3.848465,[22  5] ; [31 21],[18.11392405  8.88607595] ; [34.88607595 17.11392405],0
n1,1,0.082187,3.021118,[ 3 11] ; [12 12],[5.52631579 8.47368421] ; [ 9.47368421 14.52631579],0
s4,1,0.098632,2.727529,[ 8 20] ; [ 7 45],[ 5.25 22.75] ; [ 9.75 42.25],0
n6,1,0.146726,2.105959,[14 14] ; [34 17],[17.01265823 10.98734177] ; [30.98734177 20.01265823],0
u3,1,0.166356,1.915476,[7 7] ; [ 6 16],[5.05555556 8.94444444] ; [ 7.94444444 14.05555556],0
r1,1,0.205025,1.606213,[12 16] ; [30 22],[14.7 13.3] ; [27.3 24.7],0
v3,1,0.227542,1.456159,[ 6 20] ; [18 31],[ 8.32 17.68] ; [15.68 33.32],0
p6,1,0.229328,1.445025,[ 4 24] ; [13 37],[ 6.1025641 21.8974359] ; [10.8974359 39.1025641],0
p10,1,0.243093,1.362567,[ 9 18] ; [24 27],[11.42307692 15.57692308] ; [21.57692308 29.42307692],0
b4,1,0.287712,1.130298,[18 10] ; [27 25],[15.75 12.25] ; [29.25 22.75],0
a4,1,0.307362,1.041978,[12 16] ; [16 35],[ 9.92405063 18.07594937] ; [18.07594937 32.92405063],0
v4,1,0.31669,1.002568,[22  5] ; [37 15],[20.16455696  6.83544304] ; [38.83544304 13.16455696],0
d2,1,0.319048,0.992844,[11 17] ; [26 25],[13.11392405 14.88607595] ; [23.88607595 27.11392405],0
a8,1,0.325341,0.967354,[ 1 26] ; [ 5 45],[ 2.1038961 24.8961039] ; [ 3.8961039 46.1038961],0
b5,1,0.348443,0.879121,[16 12] ; [24 28],[14. 14.] ; [26. 26.],0
d1,1,0.373403,0.792308,[ 9 19] ; [22 30],[10.85 17.15] ; [20.15 31.85],0
p2,1,0.373994,0.790352,[13 15] ; [29 22],[14.88607595 13.11392405] ; [27.11392405 23.88607595],0
p7,1,0.392901,0.729947,[14 14] ; [20 30],[12.20512821 15.79487179] ; [21.79487179 28.20512821],0
s5,1,0.403076,0.699131,[ 8 17] ; [12 40],[ 6.49350649 18.50649351] ; [13.50649351 38.49350649],0
r3,1,0.47227,0.51666,[20  8] ; [33 19],[18.55  9.45] ; [34.45 17.55],0
p9,1,0.524015,0.405983,[11 15] ; [25 25],[12.31578947 13.68421053] ; [23.68421053 26.31578947],0
a5,1,0.526676,0.4008,[15 13] ; [24 28],[13.65 14.35] ; [25.35 26.65],0
s8,1,0.527318,0.399557,[ 6 21] ; [15 37],[ 7.17721519 19.82278481] ; [13.82278481 38.17721519],0
n2,1,0.542234,0.371415,[9 5] ; [13 11],[8.10526316 5.89473684] ; [13.89473684 10.10526316],0
p4,1,0.58145,0.303896,[13 15] ; [20 30],[11.84615385 16.15384615] ; [21.15384615 28.84615385],0
a3,1,0.620135,0.245678,[14 13] ; [30 22],[15.03797468 11.96202532] ; [28.96202532 23.03797468],0
s1,1,0.648207,0.208168,[ 3 25] ; [ 4 48],[ 2.45 25.55] ; [ 4.55 47.45],0
a6,1,0.652411,0.202874,[10 18] ; [16 36],[ 9.1 18.9] ; [16.9 35.1],0
a2,1,0.667045,0.185078,[ 1 27] ; [ 3 49],[ 1.4 26.6] ; [ 2.6 49.4],0
n3,1,0.67558,0.175144,[8 6] ; [11 11],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
b1,1,0.678533,0.171782,[17 11] ; [34 18],[17.85 10.15] ; [33.15 18.85],0
s6,1,0.692132,0.156787,[11 15] ; [24 27],[11.81818182 14.18181818] ; [23.18181818 27.81818182],0
r4,1,0.72305,0.125589,[15 13] ; [30 22],[15.75 12.25] ; [29.25 22.75],0
b3,1,0.762308,0.091477,[4 8] ; [13 21],[4.43478261 7.56521739] ; [12.56521739 21.43478261],0
b2,1,0.762308,0.091477,[4 8] ; [13 21],[4.43478261 7.56521739] ; [12.56521739 21.43478261],0
r2,1,0.76291,0.091,[21  7] ; [39 11],[21.53846154  6.46153846] ; [38.46153846 11.53846154],0
v1,1,0.77758,0.079792,[ 9 18] ; [19 33],[ 9.56962025 17.43037975] ; [18.43037975 33.56962025],0
p3,1,0.77758,0.079792,[ 9 19] ; [18 33],[ 9.56962025 18.43037975] ; [17.43037975 33.56962025],0
p8,1,0.795671,0.067057,[ 8 20] ; [16 35],[ 8.50632911 19.49367089] ; [15.49367089 35.50632911],0
s2,1,0.80871,0.058608,[11 17] ; [19 33],[10.5 17.5] ; [19.5 32.5],0
u2,1,0.808976,0.058442,[5 9] ; [ 7 15],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
d3,1,0.830337,0.045912,[12 16] ; [21 31],[11.55 16.45] ; [21.45 30.55],0
s3,1,0.836113,0.042794,[13 15] ; [22 28],[12.56410256 15.43589744] ; [22.43589744 27.56410256],0
a1,1,0.875821,0.02442,[ 3 25] ; [ 5 47],[ 2.8 25.2] ; [ 5.2 46.8],0
p1,1,0.929086,0.00792,[ 2 26] ; [ 4 48],[ 2.1 25.9] ; [ 3.9 48.1],0
u1,1,0.950809,0.003806,[ 1 27] ; [ 2 50],[ 1.05 26.95] ; [ 1.95 50.05],0
d5,1,0.962181,0.002248,[16 12] ; [30 22],[16.1 11.9] ; [29.9 22.1],0
v2,1,0.984888,0.000359,[10 17] ; [19 32],[10.03846154 16.96153846] ; [18.96153846 32.03846154],0
