Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,6.8e-05,15.854882,[ 8 32] ; [8 1],[13.06122449 26.93877551] ; [2.93877551 6.06122449],1
s8,1,0.000138,14.524103,[ 4 36] ; [6 3],[ 8.16326531 31.83673469] ; [1.83673469 7.16326531],1
p8,1,0.000425,12.419724,[ 3 37] ; [5 4],[ 6.53061224 33.46938776] ; [1.46938776 7.53061224],1
p9,1,0.002183,9.389143,[12 25] ; [8 1],[16.08695652 20.91304348] ; [3.91304348 5.08695652],0
d3,1,0.003318,8.624037,[14 26] ; [8 1],[17.95918367 22.04081633] ; [4.04081633 4.95918367],0
p10,1,0.005623,7.667236,[11 28] ; [7 2],[14.625 24.375] ; [3.375 5.625],0
n6,1,0.011894,6.326671,[17 23] ; [8 1],[20.40816327 19.59183673] ; [4.59183673 4.40816327],0
u2,1,0.017812,5.614583,[ 3 15] ; [3 1],[ 4.90909091 13.09090909] ; [1.09090909 2.90909091],0
s7,1,0.021602,5.27752,[ 7 31] ; [5 4],[ 9.70212766 28.29787234] ; [2.29787234 6.70212766],0
d4,1,0.024103,5.08721,[19 21] ; [8 1],[22.04081633 17.95918367] ; [4.95918367 4.04081633],0
p3,1,0.025344,5.000193,[ 5 35] ; [4 5],[ 7.34693878 32.65306122] ; [1.65306122 7.34693878],0
p12,1,0.025761,4.972001,[ 1 39] ; [2 7],[ 2.44897959 37.55102041] ; [0.55102041 8.44897959],0
v4,1,0.033169,4.537037,[20 20] ; [8 1],[22.85714286 17.14285714] ; [5.14285714 3.85714286],0
u3,1,0.040374,4.202116,[ 4 14] ; [3 1],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
s5,1,0.045873,3.986241,[ 7 33] ; [4 4],[ 9.16666667 30.83333333] ; [1.83333333 6.16666667],0
a2,1,0.070701,3.266667,[ 4 36] ; [3 6],[ 5.71428571 34.28571429] ; [1.28571429 7.71428571],0
s6,1,0.072331,3.229303,[10 30] ; [5 4],[12.24489796 27.75510204] ; [2.75510204 6.24489796],0
p11,1,0.080054,3.063802,[ 7 33] ; [4 5],[ 8.97959184 31.02040816] ; [2.02040816 6.97959184],0
p5,1,0.088211,2.906728,[ 2 38] ; [2 7],[ 3.26530612 36.73469388] ; [0.73469388 8.26530612],0
p6,1,0.094429,2.797203,[ 2 37] ; [2 7],[ 3.25 35.75] ; [0.75 8.25],0
a6,1,0.100082,2.704241,[19 21] ; [7 2],[21.2244898 18.7755102] ; [4.7755102 4.2244898],0
a7,1,0.146169,2.111785,[16 24] ; [6 3],[17.95918367 22.04081633] ; [4.04081633 4.95918367],0
