Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-05,16.890915,[27 10] ; [15 37],[17.46067416 19.53932584] ; [24.53932584 27.46067416],1
a6,1,0.002234,9.346758,[27 11] ; [20 32],[19.84444444 18.15555556] ; [27.15555556 24.84444444],0
u1,1,0.00281,8.927126,[ 8 30] ; [ 1 51],[ 3.8 34.2] ; [ 5.2 46.8],0
a2,1,0.006169,7.500212,[10 28] ; [ 3 49],[ 5.48888889 32.51111111] ; [ 7.51111111 44.48888889],0
d5,1,0.018401,5.557541,[29  9] ; [27 25],[23.64444444 14.35555556] ; [32.35555556 19.64444444],0
a5,1,0.044979,4.019432,[27 11] ; [26 26],[22.37777778 15.62222222] ; [30.62222222 21.37777778],0
a4,1,0.052765,3.751336,[18 20] ; [14 37],[13.66292135 24.33707865] ; [18.33707865 32.66292135],0
a8,1,0.063364,3.447065,[ 4 30] ; [ 1 49],[ 2.02380952 31.97619048] ; [ 2.97619048 47.02380952],0
p8,1,0.087618,2.91761,[15 22] ; [12 39],[11.35227273 25.64772727] ; [15.64772727 35.35227273],0
d4,1,0.098162,2.73516,[27 11] ; [28 24],[23.22222222 14.77777778] ; [31.77777778 20.22222222],0
p5,1,0.120946,2.405027,[ 7 30] ; [ 4 47],[ 4.625 32.375] ; [ 6.375 44.625],0
u2,1,0.149443,2.077922,[6 6] ; [ 5 15],[4.125 7.875] ; [ 6.875 13.125],0
d1,1,0.158356,1.989852,[18 20] ; [17 35],[14.77777778 23.22222222] ; [20.22222222 31.77777778],0
n2,1,0.159469,1.979252,[13  3] ; [17 11],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
p7,1,0.168342,1.897644,[18 19] ; [17 33],[14.88505747 22.11494253] ; [20.11494253 29.88505747],0
v2,1,0.282295,1.15601,[16 21] ; [16 34],[13.6091954 23.3908046] ; [18.3908046 31.6091954],0
p3,1,0.292788,1.106756,[13 25] ; [12 38],[10.79545455 27.20454545] ; [14.20454545 35.79545455],0
a1,1,0.358943,0.841588,[ 7 31] ; [ 6 46],[ 5.48888889 32.51111111] ; [ 7.51111111 44.48888889],0
v4,1,0.401893,0.702654,[23 13] ; [28 23],[21.10344828 14.89655172] ; [29.89655172 21.10344828],0
p10,1,0.40448,0.694966,[24 13] ; [28 22],[22.11494253 14.88505747] ; [29.88505747 20.11494253],0
b4,1,0.417215,0.658148,[23 15] ; [27 25],[21.11111111 16.88888889] ; [28.88888889 23.11111111],0
b1,1,0.469227,0.523797,[19 19] ; [30 22],[20.68888889 17.31111111] ; [28.31111111 23.68888889],0
r1,1,0.479822,0.499267,[11 26] ; [12 40],[ 9.56179775 27.43820225] ; [13.43820225 38.56179775],0
u3,1,0.480584,0.497538,[4 9] ; [ 4 16],[3.15151515 9.84848485] ; [ 4.84848485 15.15151515],0
b5,1,0.500557,0.453755,[21 17] ; [25 27],[19.42222222 18.57777778] ; [26.57777778 25.42222222],0
v1,1,0.513363,0.427205,[10 25] ; [18 33],[11.39534884 23.60465116] ; [16.60465116 34.39534884],0
d2,1,0.517433,0.419006,[16 22] ; [25 26],[17.50561798 20.49438202] ; [23.49438202 27.50561798],0
s7,1,0.543424,0.369231,[12 23] ; [20 29],[13.33333333 21.66666667] ; [18.66666667 30.33333333],0
p9,1,0.544132,0.367936,[25 12] ; [30 19],[23.6627907 13.3372093] ; [31.3372093 17.6627907],0
a3,1,0.559107,0.341253,[25 12] ; [32 20],[23.69662921 13.30337079] ; [33.30337079 18.69662921],0
r3,1,0.570041,0.322614,[19 16] ; [25 27],[17.70114943 17.29885057] ; [26.29885057 25.70114943],0
p1,1,0.597375,0.278973,[ 5 33] ; [ 5 47],[ 4.22222222 33.77777778] ; [ 5.77777778 46.22222222],0
s3,1,0.609538,0.260848,[14 21] ; [18 34],[12.87356322 22.12643678] ; [19.12643678 32.87356322],0
s4,1,0.609879,0.260351,[ 8 29] ; [ 9 43],[ 7.06741573 29.93258427] ; [ 9.93258427 42.06741573],0
p6,1,0.640056,0.218669,[11 27] ; [12 37],[10.04597701 27.95402299] ; [12.95402299 36.04597701],0
