Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.077378,3.119135,[130  89] ; [1 4],[128.07589286  90.92410714] ; [2.92410714 2.07589286],0
b5,1,0.230273,1.439176,[104 117] ; [1 4],[102.67699115 118.32300885] ; [2.32300885 2.67699115],0
p7,1,0.232372,1.42628,[142  74] ; [2 3],[140.74208145  75.25791855] ; [3.25791855 1.74208145],0
p12,1,0.234789,1.411613,[ 14 202] ; [1 4],[ 14.66063348 201.33936652] ; [0.33936652 4.66063348],0
p11,1,0.269878,1.217368,[177  44] ; [3 2],[176.01769912  44.98230088] ; [3.98230088 1.01769912],0
n2,1,0.28068,1.163793,[47 11] ; [1 1],[46.4 11.6] ; [1.6 0.4],0
s5,1,0.377898,0.777529,[ 84 124] ; [3 2],[ 84.95774648 123.04225352] ; [2.04225352 2.95774648],0
d4,1,0.384615,0.7559,[168  51] ; [3 2],[167.18303571  51.81696429] ; [3.81696429 1.18303571],0
p2,1,0.400761,0.706043,[167  52] ; [3 2],[166.20535714  52.79464286] ; [3.79464286 1.20535714],0
d5,1,0.429337,0.624616,[166  54] ; [3 2],[165.24444444  54.75555556] ; [3.75555556 1.24444444],0
b3,1,0.434396,0.61104,[63 78] ; [1 3],[62.23448276 78.76551724] ; [1.76551724 2.23448276],0
b2,1,0.434396,0.61104,[63 78] ; [1 3],[62.23448276 78.76551724] ; [1.76551724 2.23448276],0
s6,1,0.526582,0.400983,[141  71] ; [4 1],[141.65898618  70.34101382] ; [3.34101382 1.65898618],0
v1,1,0.565,0.331121,[115 102] ; [2 3],[114.36486486 102.63513514] ; [2.63513514 2.36486486],0
a5,1,0.60511,0.267357,[153  68] ; [4 1],[153.52654867  67.47345133] ; [3.47345133 1.52654867],0
a3,1,0.60511,0.267357,[153  68] ; [4 1],[153.52654867  67.47345133] ; [3.47345133 1.52654867],0
s8,1,0.615215,0.25265,[107 113] ; [3 2],[107.55555556 112.44444444] ; [2.44444444 2.55555556],0
p8,1,0.643652,0.213998,[107 109] ; [3 2],[107.51131222 108.48868778] ; [2.48868778 2.51131222],0
p3,1,0.64385,0.213742,[109 111] ; [3 2],[109.51111111 110.48888889] ; [2.48888889 2.51111111],0
d1,1,0.680129,0.169981,[109 112] ; [2 3],[108.54424779 112.45575221] ; [2.45575221 2.54424779],0
s2,1,0.695165,0.153551,[107 112] ; [2 3],[106.56696429 112.43303571] ; [2.43303571 2.56696429],0
d2,1,0.702388,0.146,[107 113] ; [2 3],[106.57777778 113.42222222] ; [2.42222222 2.57777778],0
v3,1,0.703628,0.144726,[ 86 126] ; [2 2],[ 86.37037037 125.62962963] ; [1.62962963 2.37037037],0
p4,1,0.748196,0.103053,[115 103] ; [3 2],[115.35426009 102.64573991] ; [2.64573991 2.35426009],0
b4,1,0.800168,0.064074,[120 101] ; [3 2],[120.27876106 100.72123894] ; [2.72123894 2.27876106],0
d3,1,0.81558,0.054398,[100 121] ; [2 3],[ 99.74336283 121.25663717] ; [2.25663717 2.74336283],0
a4,1,0.824102,0.049405,[ 99 121] ; [2 3],[ 98.75555556 121.24444444] ; [2.24444444 2.75555556],0
b1,1,0.831077,0.045506,[ 99 122] ; [2 3],[ 98.76548673 122.23451327] ; [2.23451327 2.76548673],0
p10,1,0.837168,0.042237,[165  52] ; [4 1],[165.19369369  51.80630631] ; [3.80630631 1.19369369],0
p6,1,0.853246,0.034217,[ 77 137] ; [2 3],[ 77.19634703 136.80365297] ; [1.80365297 3.19634703],0
n1,1,0.8635,0.029557,[25 32] ; [1 1],[25.11864407 31.88135593] ; [0.88135593 1.11864407],0
a6,1,0.941743,0.005341,[ 92 129] ; [2 3],[ 91.92035398 129.07964602] ; [2.07964602 2.92035398],0
s4,1,0.959227,0.002614,[ 42 178] ; [1 4],[ 42.04444444 177.95555556] ; [0.95555556 4.04444444],0
p9,1,0.967192,0.001692,[176  42] ; [4 1],[175.96412556  42.03587444] ; [4.03587444 0.96412556],0
r1,1,0.97581,0.000919,[178  43] ; [4 1],[177.97345133  43.02654867] ; [4.02654867 0.97345133],0
v2,1,0.992578,8.7e-05,[107 106] ; [2 2],[106.99078341 106.00921659] ; [2.00921659 1.99078341],0
