Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,203.486704,[31 81] ; [403  43],[87.11111111 24.88888889] ; [346.88888889  99.11111111],1
p11,1,0.0,44.271731,[59 54] ; [367  80],[85.96071429 27.03928571] ; [340.03928571 106.96071429],1
p2,1,0.0,34.6879,[66 47] ; [373  72],[88.90143369 24.09856631] ; [350.09856631  94.90143369],1
b1,1,3.8e-05,16.984866,[60 53] ; [144 303],[41.16428571 71.83571429] ; [162.83571429 284.16428571],1
r4,1,7.8e-05,15.611922,[89 24] ; [410  37],[100.69107143  12.30892857] ; [398.30892857  48.69107143],1
s6,1,7.9e-05,15.586774,[52 61] ; [292 149],[70.16606498 42.83393502] ; [273.83393502 167.16606498],1
n5,1,0.000137,14.543581,[63 50] ; [329 115],[79.52603232 33.47396768] ; [312.47396768 131.52603232],1
s8,1,0.000225,13.613014,[25 88] ; [182 263],[41.91935484 71.08064516] ; [165.08064516 279.91935484],1
v1,1,0.000411,12.480206,[37 76] ; [220 208],[53.68022181 59.31977819] ; [203.31977819 224.68022181],1
p8,1,0.000648,11.631901,[31 82] ; [200 243],[46.94784173 66.05215827] ; [184.05215827 258.94784173],1
s7,1,0.000698,11.49352,[28 80] ; [188 241],[43.44134078 64.55865922] ; [172.55865922 256.44134078],1
n6,1,0.001171,10.535896,[79 34] ; [372  74],[91.16815742 21.83184258] ; [359.83184258  86.16815742],0
r3,1,0.002728,8.981091,[99 13] ; [428  19],[105.58855098   6.41144902] ; [421.41144902  25.58855098],0
d3,1,0.003446,8.554643,[61 52] ; [306 140],[74.18783542 38.81216458] ; [292.81216458 153.18783542],0
s2,1,0.003476,8.538992,[36 75] ; [212 231],[49.68953069 61.31046931] ; [198.31046931 244.68953069],0
s3,1,0.004677,8.000274,[46 66] ; [247 194],[59.34177215 52.65822785] ; [233.65822785 207.34177215],0
s1,1,0.005785,7.616133,[  8 105] ; [  9 430],[  3.48007246 109.51992754] ; [ 13.51992754 425.48007246],0
v2,1,0.008804,6.862138,[46 64] ; [235 186],[58.21092279 51.78907721] ; [222.78907721 198.21092279],0
p3,1,0.009912,6.650576,[33 79] ; [191 255],[44.96057348 67.03942652] ; [179.03942652 266.96057348],0
p7,1,0.013572,6.092918,[45 66] ; [235 203],[56.61202186 54.38797814] ; [223.38797814 214.61202186],0
p12,1,0.01862,5.536845,[  1 111] ; [ 29 417],[  6.02150538 105.97849462] ; [ 23.97849462 422.02150538],0
s5,1,0.020681,5.353503,[21 92] ; [127 304],[30.74264706 82.25735294] ; [117.25735294 313.74264706],0
p4,1,0.03538,4.426731,[43 68] ; [222 223],[52.90467626 58.09532374] ; [212.09532374 232.90467626],0
p5,1,0.047499,3.927636,[  3 110] ; [ 35 406],[  7.75090253 105.24909747] ; [ 30.24909747 410.75090253],0
d1,1,0.053419,3.730754,[52 61] ; [251 196],[61.14107143 51.85892857] ; [241.85892857 205.14107143],0
a8,1,0.057947,3.595189,[ 7 94] ; [ 57 353],[12.64970646 88.35029354] ; [ 51.35029354 358.64970646],0
a5,1,0.060164,3.532864,[72 41] ; [325 122],[80.10892857 32.89107143] ; [316.89107143 130.10892857],0
d4,1,0.070685,3.267039,[82 30] ; [361  85],[88.91756272 23.08243728] ; [354.08243728  91.91756272],0
a3,1,0.080258,3.059678,[69 44] ; [310 135],[76.75089606 36.24910394] ; [302.24910394 142.75089606],0
b3,1,0.084569,2.974827,[15 52] ; [ 86 172],[20.82153846 46.17846154] ; [ 80.17846154 177.82153846],0
b2,1,0.084569,2.974827,[15 52] ; [ 86 172],[20.82153846 46.17846154] ; [ 80.17846154 177.82153846],0
a1,1,0.09259,2.828749,[  7 106] ; [ 13 434],[  4.03571429 108.96428571] ; [ 15.96428571 431.03571429],0
b4,1,0.095466,2.779699,[73 40] ; [250 197],[65.17678571 47.82321429] ; [257.82321429 189.17678571],0
n3,1,0.119827,2.419576,[25 15] ; [80 26],[28.76712329 11.23287671] ; [76.23287671 29.76712329],0
n4,1,0.136992,2.211426,[74 39] ; [323 122],[80.39605735 32.60394265] ; [316.60394265 128.39605735],0
a7,1,0.150194,2.070283,[74 38] ; [326 121],[80.1431127 31.8568873] ; [319.8568873 127.1431127],0
b5,1,0.152033,2.051733,[63 50] ; [282 165],[69.61607143 43.38392857] ; [275.38392857 171.61607143],0
a6,1,0.169613,1.886361,[72 41] ; [314 132],[78.02862254 34.97137746] ; [307.97137746 138.02862254],0
a4,1,0.232658,1.424535,[41 72] ; [189 256],[46.57706093 66.42293907] ; [183.42293907 261.57706093],0
u3,1,0.266613,1.234091,[28 16] ; [73 62],[24.82681564 19.17318436] ; [76.17318436 58.82681564],0
r2,1,0.289704,1.120995,[103   9] ; [421  24],[105.36445242   6.63554758] ; [418.63554758  26.36445242],0
d2,1,0.295725,1.093375,[56 56] ; [198 247],[51.07360862 60.92639138] ; [202.92639138 242.07360862],0
n2,1,0.333833,0.933971,[29 12] ; [83 23],[31.23809524  9.76190476] ; [80.76190476 25.23809524],0
a2,1,0.473302,0.514256,[22 91] ; [101 346],[24.81964286 88.18035714] ; [ 98.18035714 348.81964286],0
u2,1,0.473972,0.512702,[21 21] ; [76 59],[23.01694915 18.98305085] ; [73.98305085 61.01694915],0
n1,1,0.551173,0.355219,[12 28] ; [37 68],[13.51724138 26.48275862] ; [35.48275862 69.51724138],0
p1,1,0.57279,0.318037,[  5 107] ; [ 26 420],[  6.22222222 105.77777778] ; [ 24.77777778 421.22222222],0
d5,1,0.654929,0.199743,[87 26] ; [352  94],[88.74239714 24.25760286] ; [350.25760286  95.74239714],0
v3,1,0.67336,0.177697,[39 70] ; [161 263],[40.90056285 68.09943715] ; [159.09943715 264.90056285],0
r1,1,0.819751,0.051923,[89 24] ; [354  90],[89.87253142 23.12746858] ; [353.12746858  90.87253142],0
u1,1,0.870721,0.026485,[16 97] ; [ 66 381],[16.54642857 96.45357143] ; [ 65.45357143 381.54642857],0
s4,1,0.942967,0.005118,[17 96] ; [ 68 376],[17.24416517 95.75583483] ; [ 67.75583483 376.24416517],0
