Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,55.443061,[34 50] ; [380  99],[61.76909414 22.23090586] ; [352.23090586 126.76909414],1
n4,1,0.0,37.208802,[43 42] ; [389  91],[64.99115044 20.00884956] ; [367.00884956 112.99115044],1
p10,1,3.2e-05,17.277721,[57 26] ; [413  63],[69.78533095 13.21466905] ; [400.21466905  75.78533095],1
p11,1,0.000984,10.857204,[58 27] ; [402  80],[68.95943563 16.04056437] ; [391.04056437  90.95943563],1
p4,1,0.001495,10.085322,[43 42] ; [328 152],[55.81415929 29.18584071] ; [315.18584071 164.81415929],0
d2,1,0.001798,9.745233,[27 58] ; [241 240],[40.24734982 44.75265018] ; [227.75265018 253.24734982],0
p9,1,0.002098,9.461383,[64 19] ; [423  51],[72.56912029 10.43087971] ; [414.43087971  59.56912029],0
s7,1,0.004024,8.272979,[27 54] ; [232 226],[38.92207792 42.07792208] ; [220.07792208 237.92207792],0
p6,1,0.005333,7.762895,[21 62] ; [197 278],[32.4265233 50.5734767] ; [185.5734767 289.4265233],0
p8,1,0.006032,7.540804,[36 46] ; [285 189],[47.34172662 34.65827338] ; [273.65827338 200.34172662],0
s5,1,0.008603,6.903532,[16 65] ; [160 303],[26.20588235 54.79411765] ; [149.79411765 313.20588235],0
r4,1,0.01359,6.090636,[73 12] ; [451  31],[78.55379189  6.44620811] ; [445.44620811  36.55379189],0
a2,1,0.015602,5.847144,[15 70] ; [147 335],[24.28571429 60.71428571] ; [137.71428571 344.28571429],0
u1,1,0.016006,5.802203,[10 75] ; [113 369],[18.43915344 66.56084656] ; [104.56084656 377.43915344],0
v3,1,0.019636,5.443978,[21 58] ; [189 279],[30.32906764 48.67093236] ; [179.67093236 288.32906764],0
a5,1,0.020367,5.380141,[55 30] ; [369 113],[63.56261023 21.43738977] ; [360.43738977 121.56261023],0
p7,1,0.02068,5.353549,[45 35] ; [326 144],[53.96363636 26.03636364] ; [317.03636364 152.96363636],0
d1,1,0.021914,5.252622,[43 42] ; [307 175],[52.4691358 32.5308642] ; [297.5308642 184.4691358],0
b1,1,0.02438,5.067379,[38 47] ; [155 327],[28.9329806 56.0670194] ; [164.0670194 317.9329806],0
s2,1,0.028006,4.827721,[34 50] ; [254 221],[43.27728086 40.72271914] ; [244.72271914 230.27728086],0
v1,1,0.028467,4.799541,[36 45] ; [271 200],[45.04891304 35.95108696] ; [261.95108696 209.04891304],0
p5,1,0.029229,4.754054,[ 4 80] ; [ 63 418],[ 9.96106195 74.03893805] ; [ 57.03893805 423.96106195],0
p3,1,0.031142,4.645107,[35 50] ; [259 222],[44.15194346 40.84805654] ; [249.84805654 231.15194346],0
a4,1,0.033772,4.506212,[28 57] ; [218 263],[36.9434629 48.0565371] ; [209.0565371 271.9434629],0
s6,1,0.037558,4.324913,[50 35] ; [330 140],[58.1981982 26.8018018] ; [321.8018018 148.1981982],0
p12,1,0.037974,4.306166,[ 2 81] ; [ 44 436],[ 6.78152753 76.21847247] ; [ 39.21847247 440.78152753],0
a6,1,0.101589,2.680415,[72 13] ; [369 112],[66.22791519 18.77208481] ; [374.77208481 106.22791519],0
a3,1,0.111619,2.531154,[55 30] ; [351 129],[61.07964602 23.92035398] ; [344.92035398 135.07964602],0
u3,1,0.120106,2.415941,[22  7] ; [78 51],[18.35443038 10.64556962] ; [81.64556962 47.35443038],0
v4,1,0.125644,2.345519,[80  5] ; [466  13],[82.28723404  2.71276596] ; [463.71276596  15.28723404],0
v2,1,0.13078,2.28322,[40 39] ; [277 187],[46.11970534 32.88029466] ; [270.88029466 193.11970534],0
a8,1,0.133514,2.251161,[ 7 69] ; [ 68 361],[11.28712871 64.71287129] ; [ 63.71287129 365.28712871],0
u2,1,0.148501,2.087581,[20  9] ; [70 59],[16.51898734 12.48101266] ; [73.48101266 55.51898734],0
s3,1,0.181197,1.787782,[41 42] ; [271 202],[46.57553957 36.42446043] ; [265.42446043 207.57553957],0
b2,1,0.215743,1.532467,[12 32] ; [104 178],[15.65644172 28.34355828] ; [100.34355828 181.65644172],0
b3,1,0.215743,1.532467,[12 32] ; [104 178],[15.65644172 28.34355828] ; [100.34355828 181.65644172],0
r1,1,0.230231,1.439432,[66 18] ; [401  77],[69.80071174 14.19928826] ; [397.19928826  80.80071174],0
n2,1,0.243172,1.362111,[13  7] ; [72 21],[15.04424779  4.95575221] ; [69.95575221 23.04424779],0
