Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,34.399038,[81  4] ; [44 34],[65.18404908 19.81595092] ; [59.81595092 18.18404908],1
p10,1,2e-06,22.338178,[59 26] ; [24 51],[44.09375 40.90625] ; [38.90625 36.09375],1
p9,1,6e-06,20.480732,[58 26] ; [24 49],[43.87261146 40.12738854] ; [38.12738854 34.87261146],1
r4,1,7e-06,20.257713,[71 14] ; [40 39],[57.5304878 27.4695122] ; [53.4695122 25.5304878],1
n6,1,1.6e-05,18.579544,[68 16] ; [38 40],[54.96296296 29.03703704] ; [51.03703704 26.96296296],1
s8,1,0.001182,10.51881,[32 53] ; [12 67],[22.80487805 62.19512195] ; [21.19512195 57.80487805],0
v4,1,0.007004,7.271938,[72 13] ; [52 26],[64.66257669 20.33742331] ; [59.33742331 18.66257669],0
p3,1,0.008168,6.996304,[28 57] ; [12 67],[20.73170732 64.26829268] ; [19.26829268 59.73170732],0
n4,1,0.011273,6.421791,[62 23] ; [42 36],[54.23312883 30.76687117] ; [49.76687117 28.23312883],0
s7,1,0.014672,5.95547,[32 51] ; [14 55],[25.11842105 57.88157895] ; [20.88157895 48.11842105],0
n2,1,0.023746,5.113077,[24  6] ; [21 18],[19.56521739 10.43478261] ; [25.43478261 13.56521739],0
v2,1,0.024197,5.080485,[39 40] ; [24 52],[32.10967742 46.89032258] ; [30.89032258 45.10967742],0
r1,1,0.027047,4.887812,[62 23] ; [44 34],[55.27607362 29.72392638] ; [50.72392638 27.27607362],0
n5,1,0.03122,4.640816,[60 24] ; [43 35],[53.40740741 30.59259259] ; [49.59259259 28.40740741],0
v1,1,0.035949,4.399505,[32 49] ; [19 60],[25.81875 55.18125] ; [25.18125 53.81875],0
b4,1,0.045999,3.981613,[53 32] ; [37 42],[46.64634146 38.35365854] ; [43.35365854 35.64634146],0
s2,1,0.05334,3.733247,[34 49] ; [21 58],[28.17901235 54.82098765] ; [26.82098765 52.17901235],0
a6,1,0.056763,3.629534,[54 31] ; [38 40],[47.97546012 37.02453988] ; [44.02453988 33.97546012],0
a1,1,0.082881,3.007486,[ 5 80] ; [11 68],[ 8.29268293 76.70731707] ; [ 7.70731707 71.29268293],0
s6,1,0.096786,2.757718,[41 43] ; [28 50],[35.77777778 48.22222222] ; [33.22222222 44.77777778],0
s3,1,0.106464,2.605945,[40 44] ; [27 50],[34.95652174 49.04347826] ; [32.04347826 44.95652174],0
p7,1,0.129707,2.296006,[23 58] ; [14 63],[18.96835443 62.03164557] ; [18.03164557 58.96835443],0
u2,1,0.143217,2.143045,[19 15] ; [10 17],[16.16393443 17.83606557] ; [12.83606557 14.16393443],0
r2,1,0.161563,1.959531,[74 10] ; [60 15],[70.79245283 13.20754717] ; [63.20754717 11.79245283],0
n3,1,0.185416,1.753672,[20  9] ; [19 17],[17.4 11.6] ; [21.6 14.4],0
d5,1,0.200762,1.636826,[53 32] ; [56 22],[56.8404908 28.1595092] ; [52.1595092 25.8404908],0
s1,1,0.206115,1.598503,[ 5 79] ; [ 9 69],[ 7.25925926 76.74074074] ; [ 6.74074074 71.25925926],0
b5,1,0.230853,1.435597,[52 33] ; [41 38],[48.20121951 36.79878049] ; [44.79878049 34.20121951],0
a3,1,0.251667,1.314025,[50 35] ; [52 25],[53.51851852 31.48148148] ; [48.48148148 28.51851852],0
b1,1,0.278881,1.172533,[38 47] ; [42 37],[41.46341463 43.53658537] ; [38.53658537 40.46341463],0
p4,1,0.328737,0.953866,[23 61] ; [16 61],[20.34782609 63.65217391] ; [18.65217391 58.34782609],0
u1,1,0.34938,0.875709,[14 71] ; [ 9 70],[11.92073171 73.07926829] ; [11.07926829 67.92073171],0
u3,1,0.442235,0.590476,[19 16] ; [12 15],[17.5 17.5] ; [13.5 13.5],0
a8,1,0.445838,0.581212,[ 6 76] ; [ 8 66],[ 7.35897436 74.64102564] ; [ 6.64102564 67.35897436],0
p1,1,0.464266,0.535591,[ 5 80] ; [ 7 72],[ 6.2195122 78.7804878] ; [ 5.7804878 73.2195122],0
p5,1,0.50225,0.450179,[ 5 76] ; [ 3 75],[ 4.0754717 76.9245283] ; [ 3.9245283 74.0754717],0
a2,1,0.531848,0.390859,[15 70] ; [17 62],[16.58536585 68.41463415] ; [15.41463415 63.58536585],0
a4,1,0.59248,0.286488,[34 51] ; [34 43],[35.67901235 49.32098765] ; [32.32098765 44.67901235],0
d4,1,0.607066,0.264469,[63 22] ; [55 23],[61.53374233 23.46625767] ; [56.46625767 21.53374233],0
s5,1,0.642262,0.215797,[16 64] ; [13 63],[14.87179487 65.12820513] ; [14.12820513 61.87179487],0
a5,1,0.654478,0.200301,[52 33] ; [51 28],[53.38414634 31.61585366] ; [49.61585366 29.38414634],0
b2,1,0.654748,0.199966,[19 36] ; [19 30],[20.09615385 34.90384615] ; [17.90384615 31.09615385],0
b3,1,0.654748,0.199966,[19 36] ; [19 30],[20.09615385 34.90384615] ; [17.90384615 31.09615385],0
v3,1,0.683252,0.166488,[27 52] ; [23 51],[25.81699346 53.18300654] ; [24.18300654 49.81699346],0
d1,1,0.732516,0.116814,[41 44] ; [36 43],[39.90853659 45.09146341] ; [37.09146341 41.90853659],0
n1,1,0.773455,0.082863,[14 15] ; [17 21],[13.41791045 15.58208955] ; [17.58208955 20.41791045],0
d2,1,0.836704,0.042482,[39 45] ; [37 40],[39.65217391 44.34782609] ; [36.34782609 40.65217391],0
p8,1,0.84997,0.03578,[14 71] ; [12 66],[13.55828221 71.44171779] ; [12.44171779 65.55828221],0
a7,1,0.852314,0.034658,[50 35] ; [47 31],[50.58282209 34.41717791] ; [46.41717791 31.58282209],0
d3,1,0.907893,0.013386,[45 40] ; [42 36],[45.36809816 39.63190184] ; [41.63190184 36.36809816],0
s4,1,0.95358,0.003389,[15 68] ; [14 65],[14.85802469 68.14197531] ; [14.14197531 64.85802469],0
