Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.3e-05,17.942041,[ 8 15] ; [97 27],[16.42857143  6.57142857] ; [88.57142857 35.42857143],1
s2,1,0.000189,13.937167,[ 9 14] ; [96 28],[16.42857143  6.57142857] ; [88.57142857 35.42857143],1
s5,1,0.001883,9.660601,[ 4 16] ; [69 51],[10.42857143  9.57142857] ; [62.57142857 57.42857143],0
s8,1,0.002263,9.322949,[ 5 18] ; [71 55],[11.73154362 11.26845638] ; [64.26845638 61.73154362],0
d1,1,0.003973,8.296064,[ 7 16] ; [79 47],[13.27516779  9.72483221] ; [72.72483221 53.27516779],0
r1,1,0.00551,7.704076,[12 11] ; [100  26],[17.2885906  5.7114094] ; [94.7114094 31.2885906],0
s7,1,0.009042,6.814539,[ 8 15] ; [78 44],[13.64137931  9.35862069] ; [72.35862069 49.64137931],0
p4,1,0.010027,6.63013,[ 8 15] ; [80 46],[13.58389262  9.41610738] ; [74.41610738 51.58389262],0
d2,1,0.010178,6.603482,[ 5 18] ; [64 62],[10.65100671 12.34899329] ; [58.34899329 67.65100671],0
r4,1,0.025002,5.023733,[17  6] ; [114  12],[20.22147651  2.77852349] ; [110.77852349  15.22147651],0
r3,1,0.028101,4.821846,[19  4] ; [118   6],[21.43537415  1.56462585] ; [115.56462585   8.43537415],0
d5,1,0.031745,4.612207,[14  8] ; [105  21],[17.68918919  4.31081081] ; [101.31081081  24.68918919],0
a2,1,0.040064,4.215161,[ 1 22] ; [29 97],[ 4.63087248 18.36912752] ; [ 25.36912752 100.63087248],0
a4,1,0.065145,3.401294,[ 6 17] ; [59 67],[10.03355705 12.96644295] ; [54.96644295 71.03355705],0
a5,1,0.067642,3.339322,[12 11] ; [90 36],[15.74496644  7.25503356] ; [86.25503356 39.74496644],0
p11,1,0.07633,3.141358,[13 10] ; [94 32],[16.51677852  6.48322148] ; [90.48322148 35.51677852],0
p7,1,0.101995,2.67407,[11 11] ; [83 39],[14.36111111  7.63888889] ; [79.63888889 42.36111111],0
p3,1,0.104744,2.631778,[ 8 15] ; [67 59],[11.57718121 11.42281879] ; [63.42281879 62.57718121],0
p8,1,0.111785,2.528809,[ 8 15] ; [65 58],[11.5 11.5] ; [61.5 61.5],0
b4,1,0.114647,2.488965,[10 13] ; [77 49],[13.4295302  9.5704698] ; [73.5704698 52.4295302],0
n6,1,0.16228,1.952853,[17  6] ; [107  18],[19.27027027  3.72972973] ; [104.72972973  20.27027027],0
r2,1,0.163531,1.941268,[19  3] ; [119   7],[20.51351351  1.48648649] ; [117.48648649   8.51351351],0
a3,1,0.180433,1.794058,[13 10] ; [89 37],[15.74496644  7.25503356] ; [86.25503356 39.74496644],0
a7,1,0.223478,1.481894,[18  4] ; [87 39],[15.60810811  6.39189189] ; [89.39189189 36.60810811],0
p10,1,0.289208,1.123304,[17  6] ; [104  21],[18.80405405  4.19594595] ; [102.19594595  22.80405405],0
n5,1,0.310466,1.028691,[14  9] ; [90 36],[16.05369128  6.94630872] ; [87.94630872 38.05369128],0
v1,1,0.336715,0.922897,[ 8 15] ; [57 68],[10.10135135 12.89864865] ; [54.89864865 70.10135135],0
n1,1,0.357527,0.846561,[2 2] ; [10 26],[1.2 2.8] ; [10.8 25.2],0
v3,1,0.376636,0.781653,[ 5 18] ; [38 85],[ 6.7739726 16.2260274] ; [36.2260274 86.7739726],0
p9,1,0.38117,0.766925,[18  5] ; [106  18],[19.40136054  3.59863946] ; [104.59863946  19.40136054],0
n4,1,0.38898,0.742129,[13 10] ; [83 43],[14.81879195  8.18120805] ; [81.18120805 44.81879195],0
u3,1,0.390905,0.736124,[5 5] ; [24 13],[6.17021277 3.82978723] ; [22.82978723 14.17021277],0
u1,1,0.397763,0.715079,[ 3 20] ; [ 26 100],[ 4.47651007 18.52348993] ; [ 24.52348993 101.47651007],0
a6,1,0.432382,0.616416,[13 10] ; [82 44],[14.66442953  8.33557047] ; [80.33557047 45.66442953],0
u2,1,0.52404,0.405934,[6 4] ; [18 19],[5.10638298 4.89361702] ; [18.89361702 18.10638298],0
d4,1,0.624208,0.239998,[18  5] ; [104  22],[18.83221477  4.16778523] ; [103.16778523  22.83221477],0
n2,1,0.677318,0.17316,[3 1] ; [30  6],[3.3 0.7] ; [29.7  6.3],0
p2,1,0.721295,0.127255,[19  4] ; [100  26],[18.36912752  4.63087248] ; [100.63087248  25.36912752],0
d3,1,0.731525,0.117716,[17  5] ; [93 33],[16.35135135  5.64864865] ; [93.64864865 32.35135135],0
v2,1,0.749073,0.102312,[10 13] ; [57 64],[10.70138889 12.29861111] ; [56.29861111 64.70138889],0
a1,1,0.773872,0.082549,[ 1 22] ; [  4 122],[ 0.77181208 22.22818792] ; [  4.22818792 121.77181208],0
b3,1,0.775118,0.081617,[ 3 12] ; [15 49],[ 3.41772152 11.58227848] ; [14.58227848 49.41772152],0
b2,1,0.775118,0.081617,[ 3 12] ; [15 49],[ 3.41772152 11.58227848] ; [14.58227848 49.41772152],0
a8,1,0.806794,0.059811,[ 1 21] ; [  4 111],[ 0.80291971 21.19708029] ; [  4.19708029 110.80291971],0
b5,1,0.867742,0.027731,[14  9] ; [79 47],[14.3557047  8.6442953] ; [78.6442953 47.3557047],0
b1,1,0.874228,0.025056,[ 8 15] ; [46 80],[ 8.33557047 14.66442953] ; [45.66442953 80.33557047],0
p6,1,0.995029,3.9e-05,[10 13] ; [54 70],[10.01360544 12.98639456] ; [53.98639456 70.01360544],0
n3,1,1.0,0.0,[3 1] ; [27  9],[3. 1.] ; [27.  9.],0
