Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,23.025086,[16  1] ; [ 3 17],[8.72972973 8.27027027] ; [10.27027027  9.72972973],1
p11,1,0.003322,8.621849,[13  4] ; [ 6 15],[8.5 8.5] ; [10.5 10.5],0
r3,1,0.068406,3.320866,[13  3] ; [11 10],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
n5,1,0.070421,3.273186,[13  4] ; [10 11],[10.28947368  6.71052632] ; [12.71052632  8.28947368],0
v3,1,0.088806,2.895883,[ 4 13] ; [ 1 20],[ 2.23684211 14.76315789] ; [ 2.76315789 18.23684211],0
r4,1,0.088806,2.895883,[ 4 13] ; [ 1 20],[ 2.23684211 14.76315789] ; [ 2.76315789 18.23684211],0
s5,1,0.088806,2.895883,[ 4 13] ; [ 1 20],[ 2.23684211 14.76315789] ; [ 2.76315789 18.23684211],0
p2,1,0.102832,2.661064,[11  6] ; [ 8 13],[8.5 8.5] ; [10.5 10.5],0
s6,1,0.133076,2.256255,[8 9] ; [ 5 16],[ 5.81578947 11.18421053] ; [ 7.18421053 13.81578947],0
p4,1,0.134766,2.236728,[ 7 10] ; [ 4 17],[ 4.92105263 12.07894737] ; [ 6.07894737 14.92105263],0
u2,1,0.198982,1.649832,[5 3] ; [4 8],[3.6 4.4] ; [5.4 6.6],0
n6,1,0.202152,1.626759,[13  3] ; [13  8],[11.24324324  4.75675676] ; [14.75675676  6.24324324],0
a4,1,0.20638,1.596639,[ 2 15] ; [ 6 15],[ 3.57894737 13.42105263] ; [ 4.42105263 16.57894737],0
p8,1,0.239087,1.385971,[ 4 13] ; [ 2 19],[ 2.68421053 14.31578947] ; [ 3.31578947 17.68421053],0
n1,1,0.247004,1.340171,[2 4] ; [1 9],[1.125 4.875] ; [1.875 8.125],0
s7,1,0.277879,1.177434,[ 5 11] ; [ 3 16],[ 3.65714286 12.34285714] ; [ 4.34285714 14.65714286],0
n2,1,0.3017,1.066667,[4 2] ; [4 6],[3. 3.] ; [5. 5.],0
d4,1,0.336819,0.922502,[13  4] ; [13  8],[11.63157895  5.36842105] ; [14.36842105  6.63157895],0
b1,1,0.360105,0.837527,[8 9] ; [13  8],[9.39473684 7.60526316] ; [11.60526316  9.39473684],0
d5,1,0.360105,0.837527,[8 9] ; [13  8],[9.39473684 7.60526316] ; [11.60526316  9.39473684],0
