Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,53.359684,[ 2 43] ; [64 26],[22. 23.] ; [44. 46.],1
d4,1,0.0,38.352273,[18 27] ; [81  9],[33. 12.] ; [66. 24.],1
a4,1,0.0,32.836539,[ 5 39] ; [57 32],[20.5112782 23.4887218] ; [41.4887218 47.5112782],1
d2,1,0.0,27.687525,[ 9 36] ; [60 28],[23.34586466 21.65413534] ; [45.65413534 42.34586466],1
a3,1,7.9e-05,15.581124,[18 25] ; [69 21],[28.12781955 14.87218045] ; [58.87218045 31.12781955],1
d3,1,0.000143,14.466436,[15 30] ; [61 29],[25.33333333 19.66666667] ; [50.66666667 39.33333333],1
a2,1,0.000298,13.085453,[ 2 43] ; [29 61],[10.33333333 34.66666667] ; [20.66666667 69.33333333],1
a5,1,0.001404,10.200073,[21 24] ; [67 23],[29.33333333 15.66666667] ; [58.66666667 31.33333333],0
u1,1,0.002507,9.135338,[ 1 44] ; [20 70],[ 7. 38.] ; [14. 76.],0
s8,1,0.004807,7.950721,[ 6 39] ; [33 57],[13. 32.] ; [26. 64.],0
a7,1,0.006578,7.38472,[19 26] ; [60 30],[26.33333333 18.66666667] ; [52.66666667 37.33333333],0
u3,1,0.008829,6.857143,[ 9 18] ; [15  6],[13.5 13.5] ; [10.5 10.5],0
s7,1,0.013335,6.124111,[ 8 36] ; [33 50],[14.20472441 29.79527559] ; [26.79527559 56.20472441],0
v2,1,0.019547,5.451923,[10 32] ; [38 46],[16. 26.] ; [32. 52.],0
n2,1,0.035243,4.433348,[17  4] ; [22 19],[13.20967742  7.79032258] ; [25.79032258 15.20967742],0
u2,1,0.04168,4.148148,[10 17] ; [14  7],[13.5 13.5] ; [10.5 10.5],0
a6,1,0.048115,3.905967,[21 24] ; [58 32],[26.33333333 18.66666667] ; [52.66666667 37.33333333],0
b5,1,0.050707,3.817941,[19 26] ; [54 36],[24.33333333 20.66666667] ; [48.66666667 41.33333333],0
n5,1,0.062407,3.472222,[32 13] ; [49 41],[27. 18.] ; [54. 36.],0
a8,1,0.080292,3.05899,[ 5 39] ; [ 3 82],[ 2.72868217 41.27131783] ; [ 5.27131783 79.72868217],0
p1,1,0.081361,3.0375,[ 8 37] ; [ 7 83],[ 5. 40.] ; [10. 80.],0
v4,1,0.089258,2.887701,[30 15] ; [72 18],[34. 11.] ; [68. 22.],0
r3,1,0.089258,2.887701,[30 15] ; [72 18],[34. 11.] ; [68. 22.],0
r2,1,0.097388,2.747799,[35 10] ; [78 10],[38.23308271  6.76691729] ; [74.76691729 13.23308271],0
s2,1,0.121956,2.392018,[10 33] ; [33 57],[13.90225564 29.09774436] ; [29.09774436 60.90225564],0
