Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.014784,[39  3] ; [ 5 11],[31.86206897 10.13793103] ; [12.13793103  3.86206897],1
a5,1,0.010122,6.613287,[31 11] ; [ 6 10],[26.79310345 15.20689655] ; [10.20689655  5.79310345],0
a7,1,0.018635,5.535457,[32 10] ; [7 9],[28.24137931 13.75862069] ; [10.75862069  5.24137931],0
v2,1,0.018759,5.52381,[25 17] ; [ 4 12],[21. 21.] ; [8. 8.],0
d1,1,0.023753,5.112594,[27 15] ; [ 5 11],[23.17241379 18.82758621] ; [8.82758621 7.17241379],0
r2,1,0.026126,4.947633,[39  2] ; [12  4],[36.68421053  4.31578947] ; [14.31578947  1.68421053],0
n4,1,0.028152,4.818752,[29 13] ; [ 6 10],[25.34482759 16.65517241] ; [9.65517241 6.34482759],0
b4,1,0.028152,4.818752,[29 13] ; [ 6 10],[25.34482759 16.65517241] ; [9.65517241 6.34482759],0
p2,1,0.031215,4.641098,[35  7] ; [9 7],[31.86206897 10.13793103] ; [12.13793103  3.86206897],0
v3,1,0.052889,3.74742,[16 25] ; [ 2 14],[12.94736842 28.05263158] ; [ 5.05263158 10.94736842],0
a3,1,0.054112,3.709255,[25 17] ; [ 5 11],[21.72413793 20.27586207] ; [8.27586207 7.72413793],0
d3,1,0.054826,3.687357,[34  8] ; [9 7],[31.13793103 10.86206897] ; [11.86206897  4.13793103],0
d4,1,0.089035,2.891738,[35  7] ; [10  6],[32.5862069  9.4137931] ; [12.4137931  3.5862069],0
d5,1,0.08914,2.889828,[33  9] ; [9 7],[30.4137931 11.5862069] ; [11.5862069  4.4137931],0
v4,1,0.089806,2.877853,[40  2] ; [13  3],[38.37931034  3.62068966] ; [14.62068966  1.37931034],0
n5,1,0.094847,2.790121,[26 16] ; [ 6 10],[23.17241379 18.82758621] ; [8.82758621 7.17241379],0
a4,1,0.12735,2.324514,[10 32] ; [ 1 15],[ 7.96551724 34.03448276] ; [ 3.03448276 12.96551724],0
n1,1,0.13057,2.285714,[6 3] ; [2 5],[4.5 4.5] ; [3.5 3.5],0
n3,1,0.13057,2.285714,[6 3] ; [2 5],[4.5 4.5] ; [3.5 3.5],0
n2,1,0.145729,2.116402,[8 1] ; [4 3],[6.75 2.25] ; [5.25 1.75],0
s3,1,0.180889,1.790306,[24 18] ; [ 6 10],[21.72413793 20.27586207] ; [8.27586207 7.72413793],0
r3,1,0.194522,1.683036,[39  3] ; [13  3],[37.65517241  4.34482759] ; [14.34482759  1.65517241],0
s7,1,0.2217,1.493333,[17 23] ; [ 4 12],[15. 25.] ; [ 6. 10.],0
d2,1,0.239939,1.380952,[23 19] ; [ 6 10],[21. 21.] ; [8. 8.],0
p10,1,0.273033,1.201446,[17 25] ; [ 4 12],[15.20689655 26.79310345] ; [ 5.79310345 10.20689655],0
p7,1,0.303077,1.060606,[30 10] ; [14  2],[31.42857143  8.57142857] ; [12.57142857  3.42857143],0
v1,1,0.348353,0.879449,[16 26] ; [ 4 12],[14.48275862 27.51724138] ; [ 5.51724138 10.48275862],0
p4,1,0.391973,0.732814,[28 13] ; [9 7],[26.61403509 14.38596491] ; [10.38596491  5.61403509],0
u1,1,0.401115,0.704982,[ 6 36] ; [ 1 15],[ 5.06896552 36.93103448] ; [ 1.93103448 14.06896552],0
a2,1,0.401115,0.704982,[ 6 36] ; [ 1 15],[ 5.06896552 36.93103448] ; [ 1.93103448 14.06896552],0
s1,1,0.470441,0.52094,[ 1 41] ; [ 1 15],[ 1.44827586 40.55172414] ; [ 0.55172414 15.44827586],0
b5,1,0.517483,0.418906,[25 17] ; [11  5],[26.06896552 15.93103448] ; [9.93103448 6.06896552],0
p6,1,0.586151,0.296396,[14 25] ; [7 9],[14.89090909 24.10909091] ; [6.10909091 9.89090909],0
s5,1,0.592899,0.28584,[ 8 33] ; [ 2 13],[ 7.32142857 33.67857143] ; [ 2.67857143 12.32142857],0
s8,1,0.747264,0.103844,[12 29] ; [ 4 12],[11.50877193 29.49122807] ; [ 4.49122807 11.50877193],0
a6,1,0.765407,0.089035,[28 14] ; [10  6],[27.51724138 14.48275862] ; [10.48275862  5.51724138],0
b1,1,0.821,0.051193,[25 17] ; [9 7],[24.62068966 17.37931034] ; [9.37931034 6.62068966],0
u2,1,0.823218,0.049911,[10  7] ; [6 5],[9.71428571 7.28571429] ; [6.28571429 4.71428571],0
p3,1,0.859894,0.031155,[19 22] ; [7 9],[18.70175439 22.29824561] ; [7.29824561 8.70175439],0
s2,1,0.859894,0.031155,[19 22] ; [7 9],[18.70175439 22.29824561] ; [7.29824561 8.70175439],0
n6,1,0.864782,0.028999,[29 13] ; [10  5],[28.73684211 13.26315789] ; [10.26315789  4.73684211],0
s6,1,0.875155,0.024685,[24 17] ; [9 7],[23.73684211 17.26315789] ; [9.26315789 6.73684211],0
p5,1,0.904533,0.014385,[ 3 39] ; [ 1 15],[ 2.89655172 39.10344828] ; [ 1.10344828 14.89655172],0
s4,1,0.912143,0.012174,[ 7 33] ; [ 3 13],[ 7.14285714 32.85714286] ; [ 2.85714286 13.14285714],0
p11,1,0.918874,0.010374,[23 19] ; [9 7],[23.17241379 18.82758621] ; [8.82758621 7.17241379],0
u3,1,0.933748,0.006911,[9 8] ; [6 5],[9.10714286 7.89285714] ; [5.89285714 5.10714286],0
