Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,25.555985,[36 12] ; [ 8 31],[24.27586207 23.72413793] ; [19.72413793 19.27586207],1
p9,1,1e-06,23.587701,[43  8] ; [12 24],[32.24137931 18.75862069] ; [22.75862069 13.24137931],1
p10,1,3.5e-05,17.12655,[39 11] ; [13 25],[29.54545455 20.45454545] ; [22.45454545 15.54545455],1
p4,1,0.000172,14.110196,[28 23] ; [ 6 32],[19.48314607 31.51685393] ; [14.51685393 23.48314607],1
p2,1,0.00019,13.93218,[37 13] ; [13 25],[28.40909091 21.59090909] ; [21.59090909 16.40909091],1
s6,1,0.000967,10.88904,[26 24] ; [ 7 32],[18.53932584 31.46067416] ; [14.46067416 24.53932584],1
p3,1,0.001461,10.127194,[21 30] ; [ 4 34],[14.3258427 36.6741573] ; [10.6741573 27.3258427],0
p7,1,0.003044,8.780956,[27 24] ; [ 8 29],[20.28409091 30.71590909] ; [14.71590909 22.28409091],0
s8,1,0.003616,8.46747,[19 32] ; [ 4 35],[13.03333333 37.96666667] ; [ 9.96666667 29.03333333],0
v2,1,0.005463,7.719298,[25 25] ; [ 8 30],[18.75 31.25] ; [14.25 23.75],0
a1,1,0.007344,7.186966,[ 3 49] ; [10 29],[ 7.42857143 44.57142857] ; [ 5.57142857 33.42857143],0
n6,1,0.009525,6.721733,[39 12] ; [19 19],[33.23595506 17.76404494] ; [24.76404494 13.23595506],0
p8,1,0.009968,6.640656,[21 30] ; [ 6 32],[15.47191011 35.52808989] ; [11.52808989 26.47191011],0
s2,1,0.012699,6.210501,[21 28] ; [ 7 32],[15.59090909 33.40909091] ; [12.40909091 26.59090909],0
b3,1,0.014653,5.957697,[ 8 29] ; [12 11],[12.33333333 24.66666667] ; [ 7.66666667 15.33333333],0
b2,1,0.014653,5.957697,[ 8 29] ; [12 11],[12.33333333 24.66666667] ; [ 7.66666667 15.33333333],0
p6,1,0.015707,5.835356,[18 32] ; [ 5 33],[13.06818182 36.93181818] ; [ 9.93181818 28.06818182],0
p5,1,0.019546,5.45195,[10 42] ; [ 1 36],[ 6.42696629 45.57303371] ; [ 4.57303371 32.42696629],0
n2,1,0.028782,4.780635,[17  3] ; [13 11],[13.63636364  6.36363636] ; [16.36363636  7.63636364],0
b1,1,0.033621,4.513889,[23 29] ; [26 13],[28. 24.] ; [21. 18.],0
d4,1,0.034944,4.447905,[36 15] ; [19 20],[31.16666667 19.83333333] ; [23.83333333 15.16666667],0
v1,1,0.035696,4.411576,[20 28] ; [ 8 31],[15.44827586 32.55172414] ; [12.55172414 26.44827586],0
n3,1,0.03626,4.384817,[13  7] ; [ 8 16],[ 9.54545455 10.45454545] ; [11.45454545 12.54545455],0
b4,1,0.038175,4.297222,[34 18] ; [17 22],[29.14285714 22.85714286] ; [21.85714286 17.14285714],0
s7,1,0.039131,4.255165,[23 26] ; [ 9 27],[18.44705882 30.55294118] ; [13.55294118 22.44705882],0
d5,1,0.052481,3.760363,[37 15] ; [20 19],[32.57142857 19.42857143] ; [24.42857143 14.57142857],0
u2,1,0.074447,3.182143,[9 9] ; [ 3 12],[ 6.54545455 11.45454545] ; [5.45454545 9.54545455],0
u3,1,0.081707,3.030617,[ 7 11] ; [ 2 14],[ 4.76470588 13.23529412] ; [ 4.23529412 11.76470588],0
a5,1,0.110619,2.545349,[34 18] ; [19 20],[30.28571429 21.71428571] ; [22.71428571 16.28571429],0
d1,1,0.137469,2.206061,[24 28] ; [12 27],[20.57142857 31.42857143] ; [15.42857143 23.57142857],0
s5,1,0.160015,1.974087,[ 9 40] ; [ 3 35],[ 6.75862069 42.24137931] ; [ 5.24137931 32.75862069],0
b5,1,0.182786,1.774823,[30 22] ; [17 22],[26.85714286 25.14285714] ; [20.14285714 18.85714286],0
s4,1,0.198385,1.654227,[12 39] ; [ 5 34],[ 9.63333333 41.36666667] ; [ 7.36666667 31.63333333],0
s1,1,0.222694,1.486928,[ 2 50] ; [ 4 35],[ 3.42857143 48.57142857] ; [ 2.57142857 36.42857143],0
s3,1,0.330408,0.947298,[20 29] ; [12 27],[17.81818182 31.18181818] ; [14.18181818 24.81818182],0
v3,1,0.337495,0.919923,[15 36] ; [ 8 31],[13.03333333 37.96666667] ; [ 9.96666667 29.03333333],0
d3,1,0.357065,0.848189,[27 25] ; [16 22],[24.84444444 27.15555556] ; [18.15555556 19.84444444],0
r2,1,0.361537,0.832547,[27 22] ; [24 13],[29.05813953 19.94186047] ; [21.94186047 15.05813953],0
v4,1,0.37199,0.797005,[31 18] ; [21 18],[28.95454545 20.04545455] ; [23.04545455 15.95454545],0
a4,1,0.391879,0.733103,[21 31] ; [12 26],[19.06666667 32.93333333] ; [13.93333333 24.06666667],0
r1,1,0.441512,0.592349,[12 39] ; [12 27],[13.6 37.4] ; [10.4 28.6],0
d2,1,0.517433,0.419006,[25 26] ; [16 22],[23.49438202 27.50561798] ; [17.50561798 20.49438202],0
u1,1,0.543049,0.369919,[ 6 46] ; [ 3 36],[ 5.14285714 46.85714286] ; [ 3.85714286 35.14285714],0
a3,1,0.636645,0.223156,[34 18] ; [23 15],[32.93333333 19.06666667] ; [24.06666667 13.93333333],0
p1,1,0.64254,0.215436,[ 7 45] ; [ 4 35],[ 6.28571429 45.71428571] ; [ 4.71428571 34.28571429],0
p12,1,0.709585,0.138692,[ 2 48] ; [ 1 38],[ 1.68539326 48.31460674] ; [ 1.31460674 37.68539326],0
a2,1,0.729406,0.119658,[ 8 44] ; [ 5 34],[ 7.42857143 44.57142857] ; [ 5.57142857 33.42857143],0
a6,1,0.808426,0.058786,[28 24] ; [20 19],[27.42857143 24.57142857] ; [20.57142857 18.42857143],0
n4,1,0.826468,0.048063,[41 11] ; [30  9],[40.57142857 11.42857143] ; [30.42857143  8.57142857],0
a7,1,0.840712,0.040394,[22 29] ; [16 23],[21.53333333 29.46666667] ; [16.46666667 22.53333333],0
a8,1,0.894097,0.017722,[ 3 45] ; [ 2 34],[ 2.85714286 45.14285714] ; [ 2.14285714 33.85714286],0
n1,1,0.910853,0.012536,[ 8 12] ; [10 14],[ 8.18181818 11.81818182] ; [ 9.81818182 14.18181818],0
