Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.963748,[564  37] ; [49 15],[554.00451128  46.99548872] ; [58.99548872  5.00451128],1
n4,1,3e-06,21.98925,[541  59] ; [45 19],[529.51807229  70.48192771] ; [56.48192771  7.51807229],1
p3,1,2.7e-05,17.635279,[327 270] ; [17 46],[311.16363636 285.83636364] ; [32.83636364 30.16363636],1
p10,1,0.000345,12.809651,[513  82] ; [42 19],[503.39176829  91.60823171] ; [51.60823171  9.39176829],1
p4,1,0.001002,10.82376,[390 206] ; [28 35],[378.03945372 217.96054628] ; [39.96054628 23.03945372],0
d1,1,0.002661,9.026183,[370 231] ; [27 37],[358.7924812 242.2075188] ; [38.2075188 25.7924812],0
r2,1,0.003099,8.748423,[577  20] ; [56  7],[572.57727273  24.42272727] ; [60.42272727  2.57727273],0
s7,1,0.00428,8.161124,[315 255] ; [22 39],[304.42155309 265.57844691] ; [32.57844691 28.42155309],0
b1,1,0.004419,8.103219,[228 373] ; [36 28],[238.5924812 362.4075188] ; [25.4075188 38.5924812],0
s5,1,0.005516,7.701959,[214 363] ; [12 50],[204.07198748 372.92801252] ; [21.92801252 40.07198748],0
p11,1,0.006467,7.41525,[497 104] ; [44 20],[488.93383459 112.06616541] ; [52.06616541 11.93383459],0
p8,1,0.006625,7.371828,[338 250] ; [24 37],[327.97534669 260.02465331] ; [34.02465331 26.97534669],0
r1,1,0.01154,6.380194,[497 101] ; [45 19],[489.60120846 108.39879154] ; [52.39879154 11.60120846],0
a5,1,0.012486,6.24052,[460 140] ; [40 24],[451.80722892 148.19277108] ; [48.19277108 15.80722892],0
u1,1,0.013674,6.079708,[124 477] ; [ 5 59],[116.58496241 484.41503759] ; [12.41503759 51.58496241],0
s8,1,0.015814,5.823456,[290 306] ; [21 43],[280.84242424 315.15757576] ; [30.15757576 33.84242424],0
v3,1,0.024819,5.036468,[261 324] ; [17 41],[252.92379471 332.07620529] ; [25.07620529 32.92379471],0
p2,1,0.027248,4.875019,[509  88] ; [47 16],[502.92727273  94.07272727] ; [53.07272727  9.92727273],0
p1,1,0.029706,4.726229,[ 58 539] ; [ 1 63],[ 53.28744327 543.71255673] ; [ 5.71255673 58.28744327],0
b2,1,0.031319,4.635388,[156 220] ; [ 8 27],[150.03406326 225.96593674] ; [13.96593674 21.03406326],0
b3,1,0.031319,4.635388,[156 220] ; [ 8 27],[150.03406326 225.96593674] ; [13.96593674 21.03406326],0
u2,1,0.04131,4.163256,[83 75] ; [14  4],[87.07954545 70.92045455] ; [9.92045455 8.07954545],0
d4,1,0.043354,4.081556,[490 108] ; [45 18],[484.00907716 113.99092284] ; [50.99092284 12.00907716],0
r3,1,0.044872,4.023433,[569  30] ; [56  7],[565.52114804  33.47885196] ; [59.47885196  3.52114804],0
p9,1,0.04513,4.013793,[520  71] ; [49 13],[514.9754977  76.0245023] ; [54.0245023  7.9754977],0
s6,1,0.048628,3.888151,[419 169] ; [38 26],[412.14110429 175.85889571] ; [44.85889571 19.14110429],0
d2,1,0.066394,3.369987,[310 288] ; [25 38],[303.07110439 294.92889561] ; [31.92889561 31.07110439],0
p5,1,0.07916,3.08206,[ 85 509] ; [ 4 59],[ 80.46575342 513.53424658] ; [ 8.53424658 54.46575342],0
a2,1,0.095408,2.780676,[161 440] ; [11 53],[155.44661654 445.55338346] ; [16.55338346 47.44661654],0
a4,1,0.096698,2.759173,[289 308] ; [24 40],[282.69440242 314.30559758] ; [30.30559758 33.69440242],0
p12,1,0.102902,2.65998,[ 56 540] ; [ 2 60],[ 52.53495441 543.46504559] ; [ 5.46504559 56.53495441],0
v1,1,0.131564,2.273952,[348 240] ; [30 31],[342.47149461 245.52850539] ; [35.52850539 25.47149461],0
p6,1,0.131573,2.273848,[237 356] ; [18 42],[231.56967841 361.43032159] ; [23.43032159 36.56967841],0
s2,1,0.146706,2.106168,[321 273] ; [28 35],[315.53424658 278.46575342] ; [33.46575342 29.53424658],0
d3,1,0.157361,1.999403,[411 189] ; [37 25],[406.04229607 193.95770393] ; [41.95770393 20.04229607],0
a1,1,0.201355,1.632518,[ 31 570] ; [ 1 63],[ 28.92030075 572.07969925] ; [ 3.07969925 60.92030075],0
d5,1,0.244212,1.356117,[493 107] ; [48 15],[489.59276018 110.40723982] ; [51.40723982 11.59276018],0
n2,1,0.339993,0.910457,[97 27] ; [20  3],[98.69387755 25.30612245] ; [18.30612245  4.69387755],0
a8,1,0.463462,0.537522,[ 80 462] ; [11 49],[ 81.93023256 460.06976744] ; [ 9.06976744 50.93023256],0
b4,1,0.494463,0.4668,[346 255] ; [34 30],[343.42857143 257.57142857] ; [36.57142857 27.42857143],0
n3,1,0.530359,0.393704,[87 36] ; [17  5],[88.22068966 34.77931034] ; [15.77931034  6.22068966],0
u3,1,0.656495,0.197809,[89 71] ; [11  7],[89.88764045 70.11235955] ; [10.11235955  7.88764045],0
a3,1,0.730619,0.118544,[441 156] ; [46 18],[439.84720121 157.15279879] ; [47.15279879 16.84720121],0
p7,1,0.814827,0.054851,[385 199] ; [38 21],[384.18662519 199.81337481] ; [38.81337481 20.18662519],0
a6,1,0.820649,0.051398,[410 189] ; [44 19],[410.79456193 188.20543807] ; [43.20543807 19.79456193],0
b5,1,0.831766,0.04513,[358 243] ; [39 25],[358.7924812 242.2075188] ; [38.2075188 25.7924812],0
s3,1,0.841539,0.03997,[342 250] ; [35 27],[341.25993884 250.74006116] ; [35.74006116 26.25993884],0
s4,1,0.866939,0.028072,[ 97 493] ; [10 54],[ 96.52905199 493.47094801] ; [10.47094801 53.52905199],0
a7,1,0.876643,0.024095,[426 172] ; [45 19],[425.4652568 172.5347432] ; [45.5347432 18.4652568],0
s1,1,0.902088,0.015135,[ 18 573] ; [ 2 58],[ 18.15668203 572.84331797] ; [ 1.84331797 58.15668203],0
n1,1,0.960117,0.002501,[53 69] ; [ 9 12],[52.8951049 69.1048951] ; [ 9.1048951 11.8951049],0
