Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000597,11.785048,[ 3 11] ; [38 15],[8.56716418 5.43283582] ; [32.43283582 20.56716418],1
r3,1,0.017271,5.668602,[7 7] ; [43 10],[10.44776119  3.55223881] ; [39.55223881 13.44776119],0
u3,1,0.036226,4.386448,[2 7] ; [14  8],[4.64516129 4.35483871] ; [11.35483871 10.64516129],0
p7,1,0.044704,4.029786,[10  4] ; [21 30],[6.67692308 7.32307692] ; [24.32307692 26.67692308],0
r1,1,0.055023,3.681401,[5 9] ; [34 19],[8.14925373 5.85074627] ; [30.85074627 22.14925373],0
v4,1,0.07365,3.199744,[8 6] ; [41 10],[10.55384615  3.44615385] ; [38.44615385 12.55384615],0
d1,1,0.096562,2.761431,[ 2 12] ; [20 33],[4.59701493 9.40298507] ; [17.40298507 35.59701493],0
a5,1,0.106048,2.612149,[ 4 10] ; [28 25],[6.68656716 7.31343284] ; [25.31343284 27.68656716],0
b3,1,0.114918,2.485247,[1 7] ; [14 19],[2.92682927 5.07317073] ; [12.07317073 20.92682927],0
b2,1,0.114918,2.485247,[1 7] ; [14 19],[2.92682927 5.07317073] ; [12.07317073 20.92682927],0
s4,1,0.125184,2.351238,[5 9] ; [ 9 44],[ 2.92537313 11.07462687] ; [11.07462687 41.92537313],0
a3,1,0.12847,2.310894,[5 9] ; [31 22],[7.52238806 6.47761194] ; [28.47761194 24.52238806],0
p2,1,0.136272,2.219554,[10  4] ; [25 26],[7.53846154 6.46153846] ; [27.46153846 23.53846154],0
s3,1,0.15366,2.035536,[5 8] ; [32 21],[7.28787879 5.71212121] ; [29.71212121 23.28787879],0
a6,1,0.167051,1.909212,[ 3 11] ; [22 31],[5.2238806 8.7761194] ; [19.7761194 33.2238806],0
b1,1,0.206667,1.594626,[11  3] ; [32 21],[8.98507463 5.01492537] ; [34.01492537 18.98507463],0
d2,1,0.211601,1.560441,[ 4 10] ; [25 28],[6.05970149 7.94029851] ; [22.94029851 30.05970149],0
b4,1,0.239291,1.384765,[6 8] ; [32 21],[7.94029851 6.05970149] ; [30.05970149 22.94029851],0
p6,1,0.252634,1.30868,[5 9] ; [10 38],[ 3.38709677 10.61290323] ; [11.61290323 36.38709677],0
d3,1,0.253056,1.306355,[ 3 11] ; [20 33],[4.80597015 9.19402985] ; [18.19402985 34.80597015],0
n1,1,0.311405,1.024707,[2 4] ; [13 10],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
s7,1,0.3439,0.895839,[2 9] ; [16 33],[3.3 7.7] ; [14.7 34.3],0
d5,1,0.358884,0.841796,[6 8] ; [30 23],[7.52238806 6.47761194] ; [28.47761194 24.52238806],0
n2,1,0.36131,0.833333,[4 2] ; [20  4],[4.8 1.2] ; [19.2  4.8],0
n3,1,0.369219,0.806293,[3 3] ; [16  7],[3.93103448 2.06896552] ; [15.06896552  7.93103448],0
v1,1,0.373192,0.793007,[5 9] ; [26 27],[6.47761194 7.52238806] ; [24.52238806 28.47761194],0
v3,1,0.37975,0.77151,[ 2 12] ; [12 35],[ 3.21311475 10.78688525] ; [10.78688525 36.21311475],0
u2,1,0.444549,0.584512,[7 2] ; [14  8],[6.09677419 2.90322581] ; [14.90322581  7.09677419],0
s6,1,0.484811,0.488023,[5 9] ; [24 28],[6.15151515 7.84848485] ; [22.84848485 29.15151515],0
v2,1,0.508508,0.437137,[4 9] ; [20 29],[5.03225806 7.96774194] ; [18.96774194 30.03225806],0
p8,1,0.519023,0.415835,[5 9] ; [14 38],[4.03030303 9.96969697] ; [14.96969697 37.03030303],0
s2,1,0.524731,0.404584,[ 4 10] ; [20 33],[5.01492537 8.98507463] ; [18.98507463 34.01492537],0
a8,1,0.565846,0.329682,[ 1 12] ; [ 2 49],[ 0.609375 12.390625] ; [ 2.390625 48.609375],0
p10,1,0.572593,0.318363,[7 6] ; [23 28],[6.09375 6.90625] ; [23.90625 27.09375],0
n5,1,0.606729,0.264965,[7 7] ; [22 30],[6.15151515 7.84848485] ; [22.84848485 29.15151515],0
p9,1,0.619423,0.246679,[6 7] ; [28 24],[6.8 6.2] ; [27.2 24.8],0
p11,1,0.658528,0.195317,[7 7] ; [30 23],[7.73134328 6.26865672] ; [29.26865672 23.73134328],0
p3,1,0.670242,0.181319,[ 4 10] ; [18 34],[4.66666667 9.33333333] ; [17.33333333 34.66666667],0
b5,1,0.679583,0.170596,[6 8] ; [26 27],[6.68656716 7.31343284] ; [25.31343284 27.68656716],0
d4,1,0.765114,0.089265,[8 6] ; [32 20],[8.48484848 5.51515152] ; [31.51515152 20.48484848],0
a1,1,0.789454,0.0713,[ 1 13] ; [ 5 48],[ 1.25373134 12.74626866] ; [ 4.74626866 48.25373134],0
a4,1,0.801525,0.063189,[ 4 10] ; [17 36],[4.3880597 9.6119403] ; [16.6119403 36.3880597],0
s8,1,0.808822,0.058538,[ 3 11] ; [13 40],[ 3.34328358 10.65671642] ; [12.65671642 40.34328358],0
s5,1,0.840889,0.040303,[ 3 11] ; [12 38],[ 3.28125 10.71875] ; [11.71875 38.28125],0
s1,1,0.848371,0.036556,[ 1 13] ; [ 3 49],[ 0.84848485 13.15151515] ; [ 3.15151515 48.84848485],0
n4,1,0.850439,0.035554,[7 7] ; [28 25],[7.31343284 6.68656716] ; [27.68656716 25.31343284],0
p4,1,0.910002,0.012777,[6 8] ; [21 30],[5.81538462 8.18461538] ; [21.18461538 29.81538462],0
