Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,30.79089,[34 10] ; [ 8 36],[21. 23.] ; [21. 23.],1
p11,1,6.1e-05,16.0762,[31 14] ; [12 33],[21.5 23.5] ; [21.5 23.5],1
r3,1,0.000401,12.529273,[30 13] ; [14 30],[21.74712644 21.25287356] ; [22.25287356 21.74712644],1
p2,1,0.000976,10.872609,[31 13] ; [16 29],[23.23595506 20.76404494] ; [23.76404494 21.23595506],1
s7,1,0.001178,10.525014,[19 24] ; [ 5 36],[12.28571429 30.71428571] ; [11.71428571 29.28571429],0
s8,1,0.003103,8.746059,[12 32] ; [ 2 43],[ 6.92134831 37.07865169] ; [ 7.07865169 37.92134831],0
s2,1,0.007796,7.079658,[18 26] ; [ 7 38],[12.35955056 31.64044944] ; [12.64044944 32.35955056],0
p8,1,0.009319,6.760635,[18 26] ; [ 7 37],[12.5 31.5] ; [12.5 31.5],0
v4,1,0.015308,5.88066,[31 12] ; [21 24],[25.40909091 17.59090909] ; [26.59090909 18.40909091],0
s6,1,0.01643,5.75628,[18 26] ; [ 8 37],[12.85393258 31.14606742] ; [13.14606742 31.85393258],0
n6,1,0.017527,5.642819,[31 13] ; [20 24],[25.5 18.5] ; [25.5 18.5],0
b1,1,0.020271,5.388422,[16 29] ; [27 18],[21.5 23.5] ; [21.5 23.5],0
n2,1,0.022262,5.225184,[13  6] ; [ 8 16],[9.27906977 9.72093023] ; [11.72093023 12.27906977],0
p3,1,0.024897,5.031056,[15 30] ; [ 6 39],[10.5 34.5] ; [10.5 34.5],0
a1,1,0.026257,4.939024,[ 1 44] ; [ 7 38],[ 4. 41.] ; [ 4. 41.],0
p7,1,0.030291,4.69268,[20 23] ; [11 34],[15.14772727 27.85227273] ; [15.85227273 29.14772727],0
s3,1,0.036199,4.387703,[20 23] ; [11 33],[15.32183908 27.67816092] ; [15.67816092 28.32183908],0
d4,1,0.039726,4.229558,[33 12] ; [23 21],[28.31460674 16.68539326] ; [27.68539326 16.31460674],0
r2,1,0.049976,3.84225,[29 14] ; [20 23],[24.5 18.5] ; [24.5 18.5],0
a7,1,0.071698,3.243719,[27 18] ; [18 26],[22.75280899 22.24719101] ; [22.24719101 21.75280899],0
d3,1,0.071698,3.243719,[26 18] ; [18 27],[21.75280899 22.24719101] ; [22.24719101 22.75280899],0
u2,1,0.084668,2.972941,[10  7] ; [ 8 17],[7.28571429 9.71428571] ; [10.71428571 14.28571429],0
v3,1,0.09808,2.736486,[11 34] ; [ 5 40],[ 8. 37.] ; [ 8. 37.],0
p4,1,0.102051,2.673195,[19 25] ; [12 33],[15.3258427 28.6741573] ; [15.6741573 29.3258427],0
d5,1,0.130134,2.290909,[31 14] ; [24 21],[27.5 17.5] ; [27.5 17.5],0
n1,1,0.131475,2.275006,[ 8 11] ; [ 5 19],[ 5.74418605 13.25581395] ; [ 7.25581395 16.74418605],0
a3,1,0.169349,1.888699,[27 18] ; [20 24],[23.76404494 21.23595506] ; [23.23595506 20.76404494],0
u3,1,0.173101,1.855884,[ 7 11] ; [ 5 20],[ 5.02325581 12.97674419] ; [ 6.97674419 18.02325581],0
p5,1,0.175348,1.836615,[ 4 41] ; [ 1 43],[ 2.52808989 42.47191011] ; [ 2.47191011 41.52808989],0
d1,1,0.192068,1.701681,[20 25] ; [14 31],[17. 28.] ; [17. 28.],0
a5,1,0.205791,1.600791,[25 20] ; [19 26],[22. 23.] ; [22. 23.],0
n3,1,0.244659,1.353547,[10  8] ; [ 9 15],[8.14285714 9.85714286] ; [10.85714286 13.14285714],0
p6,1,0.268925,1.222222,[10 34] ; [ 6 38],[ 8. 36.] ; [ 8. 36.],0
b4,1,0.389424,0.740741,[29 16] ; [25 20],[27. 18.] ; [27. 18.],0
s4,1,0.454661,0.559006,[12 33] ; [ 9 36],[10.5 34.5] ; [10.5 34.5],0
v2,1,0.478247,0.502857,[14 30] ; [11 33],[12.5 31.5] ; [12.5 31.5],0
r1,1,0.490153,0.47619,[15 30] ; [12 33],[13.5 31.5] ; [13.5 31.5],0
p1,1,0.502335,0.45,[ 6 39] ; [ 4 41],[ 5. 40.] ; [ 5. 40.],0
b5,1,0.526681,0.400792,[22 23] ; [25 20],[23.5 21.5] ; [23.5 21.5],0
d2,1,0.640945,0.217509,[20 25] ; [17 26],[18.92045455 26.07954545] ; [18.07954545 24.92045455],0
u1,1,0.645388,0.211765,[ 3 42] ; [ 2 43],[ 2.5 42.5] ; [ 2.5 42.5],0
a6,1,0.673214,0.177866,[23 22] ; [21 24],[22. 23.] ; [22. 23.],0
b3,1,0.719747,0.128736,[ 9 18] ; [11 18],[ 9.64285714 17.35714286] ; [10.35714286 18.64285714],0
b2,1,0.719747,0.128736,[ 9 18] ; [11 18],[ 9.64285714 17.35714286] ; [10.35714286 18.64285714],0
a2,1,0.725315,0.123457,[ 5 40] ; [ 4 41],[ 4.5 40.5] ; [ 4.5 40.5],0
a4,1,0.764273,0.089925,[14 31] ; [15 29],[14.66292135 30.33707865] ; [14.33707865 29.66292135],0
n4,1,0.830367,0.045895,[26 19] ; [27 18],[26.5 18.5] ; [26.5 18.5],0
n5,1,0.884712,0.021025,[29 15] ; [29 16],[28.6741573 15.3258427] ; [29.3258427 15.6741573],0
a8,1,0.975555,0.000939,[ 3 39] ; [ 3 38],[ 3.03614458 38.96385542] ; [ 2.96385542 38.03614458],0
s5,1,1.0,0.0,[ 6 37] ; [ 6 37],[ 6. 37.] ; [ 6. 37.],0
