Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,102.591034,[384  91] ; [60 97],[333.70253165 141.29746835] ; [110.29746835  46.70253165],1
d3,1,0.0,89.38012,[414  62] ; [80 77],[371.47551343 104.52448657] ; [122.52448657  34.47551343],1
a2,1,0.0,42.713441,[169 307] ; [ 13 144],[136.85939968 339.14060032] ; [ 45.14060032 111.85939968],1
u1,1,0.0,34.871815,[136 340] ; [  9 148],[109.03633491 366.96366509] ; [ 35.96366509 121.03633491],1
b5,1,8e-06,19.866884,[308 168] ; [70 87],[284.2464455 191.7535545] ; [93.7535545 63.2464455],1
b3,1,0.001681,9.869179,[100 181] ; [54 47],[113.28272251 167.71727749] ; [40.71727749 60.28272251],0
b2,1,0.001681,9.869179,[100 181] ; [54 47],[113.28272251 167.71727749] ; [40.71727749 60.28272251],0
d1,1,0.001732,9.814291,[356 120] ; [97 60],[340.64454976 135.35545024] ; [112.35545024  44.64454976],0
v4,1,0.002533,9.116546,[460  13] ; [144  13],[453.47936508  19.52063492] ; [150.52063492   6.47936508],0
r2,1,0.007229,7.2152,[463  10] ; [144  10],[457.9122807  15.0877193] ; [149.0877193   4.9122807],0
s5,1,0.012121,6.293095,[153 306] ; [67 83],[165.81280788 293.18719212] ; [54.18719212 95.81280788],0
b1,1,0.015995,5.803377,[170 306] ; [73 84],[182.72985782 293.27014218] ; [60.27014218 96.72985782],0
r4,1,0.016058,5.796469,[457  19] ; [143  14],[451.18483412  24.81516588] ; [148.81516588   8.18483412],0
r3,1,0.022731,5.188929,[460  12] ; [146  10],[455.46496815  16.53503185] ; [150.53503185   5.46496815],0
p4,1,0.035666,4.413014,[298 174] ; [82 71],[286.976 185.024] ; [93.024 59.976],0
u3,1,0.063503,3.443437,[80 36] ; [17 16],[75.51677852 40.48322148] ; [21.48322148 11.51677852],0
a8,1,0.087245,2.924483,[ 68 350] ; [ 16 136],[ 61.6 356.4] ; [ 22.4 129.6],0
p2,1,0.09381,2.807748,[405  69] ; [122  31],[398.40191388  75.59808612] ; [128.59808612  24.40191388],0
d5,1,0.115944,2.471272,[428  48] ; [134  23],[422.60979463  53.39020537] ; [139.39020537  17.60979463],0
s8,1,0.122696,2.382561,[213 259] ; [81 74],[221.32057416 250.67942584] ; [72.67942584 82.32057416],0
b4,1,0.145693,2.116773,[292 184] ; [86 71],[284.2464455 191.7535545] ; [93.7535545 63.2464455],0
p1,1,0.159978,1.974434,[ 37 435] ; [  7 148],[ 33.12280702 438.87719298] ; [ 10.87719298 144.12280702],0
s7,1,0.206995,1.592323,[227 226] ; [83 65],[233.66056572 219.33943428] ; [76.33943428 71.66056572],0
v2,1,0.224785,1.473557,[281 174] ; [86 67],[274.64638158 180.35361842] ; [92.35361842 60.64638158],0
a1,1,0.267636,1.228821,[ 20 456] ; [ 10 147],[ 22.55924171 453.44075829] ; [  7.44075829 149.55924171],0
s1,1,0.287268,1.132383,[ 13 455] ; [  7 148],[ 15.02407705 452.97592295] ; [  4.97592295 150.02407705],0
v1,1,0.294342,1.099653,[254 211] ; [91 62],[259.58737864 205.41262136] ; [85.41262136 67.58737864],0
u4,1,0.309926,1.030992,[ 11 465] ; [  6 151],[ 12.7835703 463.2164297] ; [  4.2164297 152.7835703],0
s4,1,0.362518,0.829153,[ 70 397] ; [ 28 127],[ 73.57877814 393.42122186] ; [ 24.42122186 130.57877814],0
a3,1,0.377202,0.779802,[358 116] ; [124  33],[362.07290016 111.92709984] ; [119.92709984  37.07290016],0
s6,1,0.419918,0.650546,[326 143] ; [99 51],[322.01130856 146.98869144] ; [102.98869144  47.01130856],0
a4,1,0.462431,0.540003,[246 229] ; [76 81],[242.00949367 232.99050633] ; [79.99050633 77.00949367],0
d2,1,0.4649,0.534072,[267 208] ; [83 74],[263.05379747 211.94620253] ; [86.94620253 70.05379747],0
n4,1,0.475546,0.50906,[367 108] ; [124  31],[370.1984127 104.8015873] ; [120.8015873  34.1984127],0
p7,1,0.485859,0.485685,[296 165] ; [101  49],[299.53682488 161.46317512] ; [97.46317512 52.53682488],0
p12,1,0.540547,0.374526,[ 42 431] ; [ 11 140],[ 40.17467949 432.82532051] ; [ 12.82532051 138.17467949],0
n6,1,0.558382,0.342514,[399  74] ; [126  27],[396.68530351  76.31469649] ; [128.31469649  24.68530351],0
s2,1,0.58055,0.305347,[253 217] ; [80 76],[250.01597444 219.98402556] ; [82.98402556 73.01597444],0
n5,1,0.581696,0.303501,[348 125] ; [116  37],[350.5942492 122.4057508] ; [113.4057508  39.5942492],0
p5,1,0.610658,0.259217,[ 52 421] ; [ 19 133],[ 53.7328 419.2672] ; [ 17.2672 134.7328],0
p9,1,0.635588,0.22456,[396  72] ; [127  26],[394.14492754  73.85507246] ; [128.85507246  24.14492754],0
s3,1,0.644756,0.212576,[268 198] ; [93 63],[270.45980707 195.54019293] ; [90.54019293 65.45980707],0
v3,1,0.66716,0.184942,[183 270] ; [64 87],[185.25 267.75] ; [61.75 89.25],0
u2,1,0.671373,0.18,[73 42] ; [19 13],[71.97278912 43.02721088] ; [20.02721088 11.97278912],0
n3,1,0.676964,0.173563,[69 29] ; [24 12],[68.01492537 29.98507463] ; [24.98507463 11.01492537],0
p8,1,0.687057,0.16229,[254 215] ; [80 73],[251.84244373 217.15755627] ; [82.15755627 70.84244373],0
a5,1,0.73329,0.116112,[376 100] ; [122  35],[374.48341232 101.51658768] ; [123.51658768  33.48341232],0
p6,1,0.77996,0.078048,[174 296] ; [54 97],[172.56038647 297.43961353] ; [55.43961353 95.56038647],0
p3,1,0.781388,0.077012,[236 239] ; [79 76],[237.5 237.5] ; [77.5 77.5],0
n2,1,0.831305,0.045381,[67 31] ; [26 11],[67.51111111 30.48888889] ; [25.48888889 11.51111111],0
n1,1,0.850387,0.035579,[35 62] ; [14 23],[35.47014925 61.52985075] ; [13.52985075 23.47014925],0
p11,1,0.87253,0.025743,[370 106] ; [123  34],[370.7235387 105.2764613] ; [122.2764613  34.7235387],0
p10,1,0.952078,0.003612,[385  85] ; [125  28],[384.75120385  85.24879615] ; [125.24879615  27.75120385],0
