Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.653943,[37  8] ; [12 28],[25.94117647 19.05882353] ; [23.05882353 16.94117647],1
d4,1,0.000983,10.860063,[40  6] ; [22 18],[33.1627907 12.8372093] ; [28.8372093 11.1627907],1
a6,1,0.010261,6.589077,[30 16] ; [15 25],[24.06976744 21.93023256] ; [20.93023256 19.06976744],0
a2,1,0.024435,5.063473,[ 8 38] ; [ 1 39],[ 4.81395349 41.18604651] ; [ 4.18604651 35.81395349],0
d1,1,0.037613,4.322435,[24 22] ; [12 28],[19.25581395 26.74418605] ; [16.74418605 23.25581395],0
d5,1,0.065893,3.382475,[36 10] ; [24 16],[32.09302326 13.90697674] ; [27.90697674 12.09302326],0
b1,1,0.07223,3.231604,[21 25] ; [26 14],[25.13953488 20.86046512] ; [21.86046512 18.13953488],0
s4,1,0.073127,3.211406,[13 33] ; [ 5 35],[ 9.62790698 36.37209302] ; [ 8.37209302 31.62790698],0
n5,1,0.076013,3.148148,[23 22] ; [28 12],[27. 18.] ; [24. 16.],0
p5,1,0.079895,3.067041,[ 6 40] ; [ 1 38],[ 3.78823529 42.21176471] ; [ 3.21176471 35.78823529],0
d2,1,0.104544,2.634815,[14 32] ; [19 21],[17.65116279 28.34883721] ; [15.34883721 24.65116279],0
p10,1,0.116384,2.465318,[30 14] ; [20 19],[26.5060241 17.4939759] ; [23.4939759 15.5060241],0
p3,1,0.240195,1.37945,[16 29] ; [ 9 29],[13.55421687 31.44578313] ; [11.44578313 26.55421687],0
n4,1,0.244312,1.355537,[23 23] ; [25 15],[25.6744186 20.3255814] ; [22.3255814 17.6744186],0
u3,1,0.295971,1.09226,[10  9] ; [ 6 11],[ 8.44444444 10.55555556] ; [7.55555556 9.44444444],0
s6,1,0.334692,0.930658,[22 24] ; [15 25],[19.79069767 26.20930233] ; [17.20930233 22.79069767],0
v2,1,0.366517,0.815439,[21 24] ; [14 24],[18.97590361 26.02409639] ; [16.02409639 21.97590361],0
u1,1,0.377045,0.780315,[ 3 43] ; [ 1 39],[ 2.13953488 43.86046512] ; [ 1.86046512 38.13953488],0
b5,1,0.434262,0.611398,[28 18] ; [21 19],[26.20930233 19.79069767] ; [22.79069767 17.20930233],0
