Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,42.692774,[31  4] ; [12 49],[15.67708333 19.32291667] ; [27.32291667 33.67708333],1
s8,1,0.0,25.40179,[21 16] ; [ 6 55],[10.19387755 26.80612245] ; [16.80612245 44.19387755],1
s3,1,3e-06,21.960329,[27 10] ; [14 44],[15.96842105 21.03157895] ; [25.03157895 32.96842105],1
s7,1,9e-05,15.332018,[21 15] ; [11 47],[12.25531915 23.74468085] ; [19.74468085 38.25531915],1
v1,1,0.000347,12.8,[20 16] ; [12 48],[12. 24.] ; [20. 40.],1
s5,1,0.000635,11.670985,[14 21] ; [ 6 53],[ 7.44680851 27.55319149] ; [12.55319149 46.44680851],1
p4,1,0.000713,11.455026,[25 12] ; [19 40],[16.95833333 20.04166667] ; [27.04166667 31.95833333],1
p3,1,0.004667,8.003973,[19 18] ; [14 46],[12.58762887 24.41237113] ; [20.41237113 39.58762887],0
v2,1,0.004872,7.926294,[19 16] ; [15 44],[12.65957447 22.34042553] ; [21.34042553 37.65957447],0
p7,1,0.029271,4.75158,[23 13] ; [25 36],[17.81443299 18.18556701] ; [30.18556701 30.81443299],0
p6,1,0.037926,4.308328,[14 22] ; [11 46],[ 9.67741935 26.32258065] ; [15.32258065 41.67741935],0
b3,1,0.039215,4.251526,[ 5 25] ; [14 21],[ 8.76923077 21.23076923] ; [10.23076923 24.76923077],0
b2,1,0.039215,4.251526,[ 5 25] ; [14 21],[ 8.76923077 21.23076923] ; [10.23076923 24.76923077],0
d4,1,0.040835,4.182839,[26 11] ; [30 31],[21.14285714 15.85714286] ; [34.85714286 26.14285714],0
a5,1,0.042037,4.133701,[23 14] ; [25 36],[18.12244898 18.87755102] ; [29.87755102 31.12244898],0
r3,1,0.05046,3.826098,[31  6] ; [40 21],[26.80612245 10.19387755] ; [44.19387755 16.80612245],0
p10,1,0.053803,3.718795,[25 12] ; [28 31],[20.42708333 16.57291667] ; [32.57291667 26.42708333],0
u3,1,0.056452,3.638672,[7 7] ; [ 7 25],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
v3,1,0.059975,3.538084,[12 24] ; [10 50],[ 8.25 27.75] ; [13.75 46.25],0
p2,1,0.093247,2.817407,[27 10] ; [33 26],[23.125 13.875] ; [36.875 22.125],0
d3,1,0.118473,2.437396,[16 21] ; [17 44],[12.45918367 24.54081633] ; [20.54081633 40.45918367],0
d5,1,0.130201,2.290101,[24 13] ; [30 31],[20.3877551 16.6122449] ; [33.6122449 27.3877551],0
a1,1,0.131927,2.269684,[ 5 32] ; [ 3 58],[ 3.02040816 33.97959184] ; [ 4.97959184 56.02040816],0
v4,1,0.156786,2.00495,[30  6] ; [43 18],[27.09278351  8.90721649] ; [45.90721649 15.09278351],0
a3,1,0.184641,1.759866,[23 14] ; [29 31],[19.83505155 17.16494845] ; [32.16494845 27.83505155],0
s4,1,0.235584,1.406823,[ 9 28] ; [ 9 52],[ 6.79591837 30.20408163] ; [11.20408163 49.79591837],0
a4,1,0.24882,1.329919,[16 21] ; [19 41],[13.35051546 23.64948454] ; [21.64948454 38.35051546],0
d1,1,0.262587,1.255064,[15 22] ; [18 43],[12.45918367 24.54081633] ; [20.54081633 40.45918367],0
s1,1,0.294102,1.100747,[ 2 35] ; [ 1 60],[ 1.13265306 35.86734694] ; [ 1.86734694 59.13265306],0
