Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,150.339216,[47 78] ; [443  59],[97.68740032 27.31259968] ; [392.31259968 109.68740032],1
n6,1,0.0,47.544493,[84 40] ; [460  44],[107.41401274  16.58598726] ; [436.58598726  67.41401274],1
p4,1,2e-06,22.709063,[58 68] ; [346 157],[80.92845787 45.07154213] ; [323.07154213 179.92845787],1
a8,1,1.5e-05,18.789742,[  2 114] ; [ 80 377],[16.60034904 99.39965096] ; [ 65.39965096 391.60034904],1
a3,1,3.4e-05,17.17835,[79 47] ; [404 100],[96.6 29.4] ; [386.4 117.6],1
s7,1,3.5e-05,17.137352,[43 79] ; [272 212],[63.41584158 58.58415842] ; [251.58415842 232.41584158],1
d2,1,8.4e-05,15.468478,[48 78] ; [291 214],[67.69255151 58.30744849] ; [271.30744849 233.69255151],1
a5,1,0.000203,13.801205,[85 41] ; [417  89],[100.08227848  25.91772152] ; [401.91772152 104.08227848],1
a4,1,0.000362,12.716901,[47 79] ; [278 227],[64.89698891 61.10301109] ; [260.10301109 244.89698891],1
p3,1,0.000369,12.680492,[51 75] ; [293 211],[68.8 57.2] ; [275.2 228.8],1
s8,1,0.000876,11.073454,[45 81] ; [263 240],[61.69793323 64.30206677] ; [246.30206677 256.69793323],1
p6,1,0.001175,10.528607,[35 91] ; [217 280],[50.96629213 75.03370787] ; [201.03370787 295.96629213],0
a2,1,0.001389,10.220628,[ 20 106] ; [152 354],[34.29113924 91.70886076] ; [137.70886076 368.29113924],0
s4,1,0.002074,9.48301,[33 93] ; [ 73 425],[ 21.40384615 104.59615385] ; [ 84.59615385 413.40384615],0
p7,1,0.003119,8.736271,[68 53] ; [347 147],[81.6504065 39.3495935] ; [333.3495935 160.6504065],0
p11,1,0.004624,8.021035,[94 32] ; [431  75],[104.66772152  21.33227848] ; [420.33227848  85.66772152],0
u1,1,0.004912,7.911666,[ 15 111] ; [118 388],[26.51582278 99.48417722] ; [106.48417722 399.51582278],0
v3,1,0.006037,7.539107,[35 81] ; [215 272],[48.09286899 67.90713101] ; [201.90713101 285.09286899],0
d1,1,0.007532,7.141492,[78 48] ; [374 132],[90.11392405 35.88607595] ; [361.88607595 144.11392405],0
p5,1,0.007878,7.061097,[  7 117] ; [ 73 429],[ 15.84664537 108.15335463] ; [ 64.15335463 437.84664537],0
p12,1,0.038579,4.279326,[  5 121] ; [ 49 454],[ 10.81717011 115.18282989] ; [ 43.18282989 459.81717011],0
p2,1,0.046734,3.954954,[102  22] ; [446  56],[108.54952077  15.45047923] ; [439.45047923  62.54952077],0
s6,1,0.048144,3.90496,[80 45] ; [359 133],[88.93841167 36.06158833] ; [350.06158833 141.93841167],0
r4,1,0.05012,3.837436,[109  17] ; [466  40],[114.63607595  11.36392405] ; [460.36392405  45.63607595],0
v1,1,0.055016,3.681598,[61 61] ; [292 198],[70.36928105 51.63071895] ; [282.63071895 207.36928105],0
a7,1,0.082672,3.011568,[102  24] ; [371 134],[94.45007924 31.54992076] ; [378.54992076 126.45007924],0
b1,1,0.083179,3.001663,[35 91] ; [182 324],[43.26265823 82.73734177] ; [173.73734177 332.26265823],0
d4,1,0.083717,2.99122,[108  18] ; [460  46],[113.24050633  12.75949367] ; [454.75949367  51.24050633],0
r1,1,0.084925,2.968042,[95 30] ; [416  87],[101.71178344  23.28821656] ; [409.28821656  93.71178344],0
n1,1,0.092538,2.829655,[14 32] ; [43 52],[18.59574468 27.40425532] ; [38.40425532 56.59574468],0
a1,1,0.124836,2.355577,[  3 123] ; [ 29 477],[  6.37974684 119.62025316] ; [ 25.62025316 480.37974684],0
u4,1,0.164411,1.933178,[  1 125] ; [ 15 490],[  3.19492868 122.80507132] ; [ 12.80507132 492.19492868],0
s3,1,0.164414,1.933157,[64 60] ; [292 207],[70.85714286 53.14285714] ; [285.14285714 213.85714286],0
p8,1,0.175885,1.832054,[62 63] ; [280 217],[68.72990354 56.27009646] ; [273.27009646 223.72990354],0
s2,1,0.200067,1.641883,[61 65] ; [275 227],[67.41401274 58.58598726] ; [268.58598726 233.41401274],0
p10,1,0.214758,1.539061,[111  14] ; [464  39],[114.45063694  10.54936306] ; [460.54936306  42.45063694],0
n3,1,0.22208,1.49088,[32 14] ; [75 20],[34.90780142 11.09219858] ; [72.09219858 22.90780142],0
d3,1,0.336951,0.921997,[99 26] ; [380 126],[94.88906498 30.11093502] ; [384.11093502 121.88906498],0
v4,1,0.352496,0.864453,[117   7] ; [483  19],[118.84984026   5.15015974] ; [481.15015974  20.84984026],0
r2,1,0.3774,0.779153,[118   7] ; [477  19],[119.76650564   5.23349436] ; [475.23349436  20.76650564],0
u3,1,0.387069,0.74813,[29 17] ; [56 45],[26.59863946 19.40136054] ; [58.40136054 42.59863946],0
b2,1,0.403039,0.699241,[20 38] ; [131 194],[22.86684073 35.13315927] ; [128.13315927 196.86684073],0
b3,1,0.403039,0.699241,[20 38] ; [131 194],[22.86684073 35.13315927] ; [128.13315927 196.86684073],0
n2,1,0.403998,0.696394,[33 13] ; [75 21],[34.98591549 11.01408451] ; [73.01408451 22.98591549],0
s1,1,0.439117,0.59859,[  2 124] ; [ 14 485],[  3.2256 122.7744] ; [ 12.7744 486.2256],0
v2,1,0.461173,0.543045,[67 49] ; [300 188],[70.48344371 45.51655629] ; [296.51655629 191.48344371],0
b5,1,0.534176,0.386441,[80 46] ; [306 200],[76.9556962 49.0443038] ; [309.0443038 196.9556962],0
r3,1,0.538072,0.379126,[120   6] ; [484  18],[121.18471338   4.81528662] ; [482.81528662  19.18471338],0
s5,1,0.540039,0.375467,[42 80] ; [180 301],[44.91542289 77.08457711] ; [177.08457711 303.91542289],0
u2,1,0.694365,0.154401,[28 18] ; [58 43],[26.91156463 19.08843537] ; [59.08843537 41.91156463],0
p1,1,0.715859,0.132495,[  9 114] ; [ 42 463],[  9.9888535 113.0111465] ; [ 41.0111465 463.9888535],0
a6,1,0.852032,0.034792,[87 39] ; [353 152],[87.86053883 38.13946117] ; [352.13946117 152.86053883],0
b4,1,0.866639,0.0282,[74 52] ; [293 213],[73.16772152 52.83227848] ; [293.83227848 212.16772152],0
