Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.192209,[27 31] ; [128  39],[39.95555556 18.04444444] ; [115.04444444  51.95555556],1
p11,1,3.4e-05,17.207574,[29 30] ; [130  37],[41.50884956 17.49115044] ; [117.49115044  49.50884956],1
p10,1,5.2e-05,16.368592,[30 28] ; [131  34],[41.87443946 16.12556054] ; [119.12556054  45.87443946],1
n4,1,9.5e-05,15.227393,[31 28] ; [132  35],[42.55309735 16.44690265] ; [120.44690265  46.55309735],1
r4,1,0.000111,14.939537,[41 18] ; [151  16],[50.12389381  8.87610619] ; [141.87610619  25.12389381],1
p2,1,0.000111,14.938355,[37 22] ; [143  23],[47.2 11.8] ; [132.8  33.2],1
r3,1,0.000918,10.985402,[50  8] ; [162   4],[54.89285714  3.10714286] ; [157.10714286   8.89285714],1
p9,1,0.001418,10.182832,[35 23] ; [134  31],[43.95515695 14.04484305] ; [125.04484305  39.95515695],0
s6,1,0.002571,9.089681,[32 27] ; [122  40],[41.11312217 17.88687783] ; [112.88687783  49.11312217],0
a7,1,0.003865,8.345945,[34 25] ; [129  38],[42.55309735 16.44690265] ; [120.44690265  46.55309735],0
r2,1,0.006603,7.37785,[51  8] ; [160   6],[55.32888889  3.67111111] ; [155.67111111  10.32888889],0
p4,1,0.006629,7.370814,[21 37] ; [95 72],[29.90222222 28.09777778] ; [86.09777778 80.90222222],0
d5,1,0.008436,6.938586,[34 24] ; [128  39],[41.76 16.24] ; [120.24  46.76],0
s5,1,0.010512,6.546051,[10 45] ; [ 60 103],[17.66055046 37.33944954] ; [ 52.33944954 110.66055046],0
u2,1,0.012081,6.298886,[17  6] ; [24 32],[11.93670886 11.06329114] ; [29.06329114 26.93670886],0
a2,1,0.013098,6.155791,[ 5 54] ; [ 39 128],[11.48672566 47.51327434] ; [ 32.51327434 134.48672566],0
v4,1,0.014897,5.928597,[47 10] ; [155  11],[51.632287  5.367713] ; [150.367713  15.632287],0
p8,1,0.016741,5.723288,[15 41] ; [75 92],[22.60089686 33.39910314] ; [67.39910314 99.60089686],0
p3,1,0.034556,4.466971,[18 40] ; [78 88],[24.85714286 33.14285714] ; [71.14285714 94.85714286],0
u1,1,0.047779,3.917755,[ 4 55] ; [ 29 138],[ 8.61504425 50.38495575] ; [ 24.38495575 142.61504425],0
s2,1,0.052785,3.750708,[32 27] ; [114  53],[38.11504425 20.88495575] ; [107.88495575  59.11504425],0
p6,1,0.063241,3.450294,[10 45] ; [ 52 115],[15.36036036 39.63963964] ; [ 46.63963964 120.36036036],0
v2,1,0.067529,3.342081,[20 35] ; [81 79],[25.8372093 29.1627907] ; [75.1627907 84.8372093],0
d1,1,0.070143,3.279668,[23 36] ; [88 79],[28.97787611 30.02212389] ; [82.02212389 84.97787611],0
p5,1,0.078437,3.096987,[ 1 57] ; [ 14 152],[ 3.88392857 54.11607143] ; [ 11.11607143 154.88392857],0
s1,1,0.081514,3.034447,[ 6 51] ; [  7 158],[ 3.33783784 53.66216216] ; [  9.66216216 155.33783784],0
b4,1,0.093908,2.806079,[32 27] ; [111  56],[37.33185841 21.66814159] ; [105.66814159  61.33185841],0
v3,1,0.103654,2.6484,[13 43] ; [ 57 106],[17.89954338 38.10045662] ; [ 52.10045662 110.89954338],0
a1,1,0.134144,2.243877,[ 5 54] ; [  6 161],[ 2.87168142 56.12831858] ; [  8.12831858 158.87168142],0
n3,1,0.146714,2.106088,[14  8] ; [26  6],[16.2962963  5.7037037] ; [23.7037037  8.2962963],0
v1,1,0.162011,1.955355,[20 37] ; [75 89],[24.50226244 32.49773756] ; [70.49773756 93.50226244],0
d2,1,0.165188,1.92608,[21 37] ; [78 89],[25.52 32.48] ; [73.48 93.52],0
b2,1,0.178614,1.809116,[ 5 22] ; [29 62],[ 7.77966102 19.22033898] ; [26.22033898 64.77966102],0
b3,1,0.178614,1.809116,[ 5 22] ; [29 62],[ 7.77966102 19.22033898] ; [26.22033898 64.77966102],0
s7,1,0.197288,1.662338,[17 37] ; [67 95],[21. 33.] ; [63. 99.],0
b1,1,0.211068,1.564087,[27 32] ; [ 61 106],[22.97345133 36.02654867] ; [ 65.02654867 101.97345133],0
p7,1,0.255693,1.29193,[30 25] ; [103  60],[33.55504587 21.44495413] ; [99.44495413 63.55504587],0
a5,1,0.257753,1.280783,[34 25] ; [110  57],[37.59292035 21.40707965] ; [106.40707965  60.59292035],0
u3,1,0.276986,1.181818,[14  8] ; [28 28],[11.84615385 10.15384615] ; [30.15384615 25.84615385],0
r1,1,0.348018,0.880672,[42 16] ; [131  36],[44.59555556 13.40444444] ; [128.40444444  38.59555556],0
p12,1,0.377464,0.778944,[ 2 56] ; [ 11 156],[ 3.35111111 54.64888889] ; [  9.64888889 157.35111111],0
