Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.053005,3.743768,[7 6] ; [ 2 10],[4.68 8.32] ; [4.32 7.68],0
p2,1,0.065952,3.380994,[8 5] ; [3 9],[5.72 7.28] ; [5.28 6.72],0
a6,1,0.141326,2.163462,[7 6] ; [3 9],[5.2 7.8] ; [4.8 7.2],0
d5,1,0.158464,1.988823,[8 5] ; [4 8],[6.24 6.76] ; [5.76 6.24],0
p4,1,0.161178,1.963141,[ 3 10] ; [6 6],[4.68 8.32] ; [4.32 7.68],0
v3,1,0.199674,1.644755,[ 1 12] ; [3 8],[ 2.16666667 10.83333333] ; [1.83333333 9.16666667],0
s7,1,0.221433,1.495062,[5 7] ; [2 9],[3.65217391 8.34782609] ; [3.34782609 7.65217391],0
n5,1,0.2253,1.470289,[5 8] ; [ 2 10],[3.64 9.36] ; [3.36 8.64],0
p9,1,0.301941,1.065601,[7 6] ; [4 8],[5.72 7.28] ; [5.28 6.72],0
p7,1,0.3268,0.961538,[4 9] ; [6 6],[5.2 7.8] ; [4.8 7.2],0
d1,1,0.470989,0.519655,[5 8] ; [3 9],[4.16 8.84] ; [3.84 8.16],0
u2,1,0.490153,0.47619,[1 4] ; [2 3],[1.5 3.5] ; [1.5 3.5],0
p1,1,0.490279,0.475913,[ 1 12] ; [ 2 10],[ 1.56 11.44] ; [ 1.44 10.56],0
s3,1,0.513292,0.42735,[6 7] ; [4 8],[5.2 7.8] ; [4.8 7.2],0
d3,1,0.542541,0.37085,[7 6] ; [5 7],[6.24 6.76] ; [5.76 6.24],0
a7,1,0.542541,0.37085,[6 7] ; [7 5],[6.76 6.24] ; [6.24 5.76],0
a5,1,0.542541,0.37085,[6 7] ; [7 5],[6.76 6.24] ; [6.24 5.76],0
b5,1,0.542541,0.37085,[6 7] ; [7 5],[6.76 6.24] ; [6.24 5.76],0
p8,1,0.551848,0.354016,[4 8] ; [5 6],[4.69565217 7.30434783] ; [4.30434783 6.69565217],0
r2,1,0.561471,0.337163,[8 5] ; [6 6],[7.28 5.72] ; [6.72 5.28],0
d4,1,0.568261,0.3256,[10  3] ; [8 4],[9.36 3.64] ; [8.64 3.36],0
p3,1,0.568261,0.3256,[ 3 10] ; [4 8],[3.64 9.36] ; [3.36 8.64],0
v1,1,0.568261,0.3256,[ 3 10] ; [4 8],[3.64 9.36] ; [3.36 8.64],0
r3,1,0.570632,0.321626,[9 4] ; [7 5],[8.32 4.68] ; [7.68 4.32],0
b4,1,0.570632,0.321626,[9 4] ; [7 5],[8.32 4.68] ; [7.68 4.32],0
s5,1,0.688921,0.160256,[ 3 10] ; [ 2 10],[ 2.6 10.4] ; [2.4 9.6],0
v2,1,0.748233,0.103022,[4 9] ; [3 9],[3.64 9.36] ; [3.36 8.64],0
p10,1,0.789561,0.071225,[5 8] ; [4 8],[4.68 8.32] ; [4.32 7.68],0
a4,1,0.789561,0.071225,[5 8] ; [4 8],[4.68 8.32] ; [4.32 7.68],0
b1,1,0.847501,0.036982,[6 7] ; [6 6],[6.24 6.76] ; [5.76 6.24],0
s6,1,0.87018,0.026709,[5 8] ; [5 7],[5.2 7.8] ; [4.8 7.2],0
r1,1,0.87018,0.026709,[5 8] ; [5 7],[5.2 7.8] ; [4.8 7.2],0
d2,1,0.87018,0.026709,[5 8] ; [5 7],[5.2 7.8] ; [4.8 7.2],0
a3,1,0.87018,0.026709,[8 5] ; [7 5],[7.8 5.2] ; [7.2 4.8],0
b2,1,0.875996,0.024351,[2 5] ; [2 6],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
b3,1,0.875996,0.024351,[2 5] ; [2 6],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
s2,1,0.910443,0.012652,[ 3 10] ; [3 9],[3.12 9.88] ; [2.88 9.12],0
s4,1,0.910443,0.012652,[ 3 10] ; [3 9],[3.12 9.88] ; [2.88 9.12],0
r4,1,0.910443,0.012652,[ 3 10] ; [3 9],[3.12 9.88] ; [2.88 9.12],0
p6,1,0.930388,0.007631,[ 2 11] ; [ 2 10],[ 2.08 10.92] ; [ 1.92 10.08],0
a2,1,0.952933,0.003484,[ 1 12] ; [ 1 11],[ 1.04 11.96] ; [ 0.96 11.04],0
n1,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
