Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.00016,14.253321,[51  6] ; [18 15],[43.7 13.3] ; [25.3  7.7],1
r3,1,0.000183,13.995943,[51  7] ; [18 16],[43.5 14.5] ; [25.5  8.5],1
p9,1,0.002316,9.280665,[44 14] ; [14 18],[37.37777778 20.62222222] ; [20.62222222 11.37777778],0
r4,1,0.003044,8.781158,[42 16] ; [14 20],[35.30434783 22.69565217] ; [20.69565217 13.30434783],0
p10,1,0.003806,8.37406,[37 20] ; [11 22],[30.4 26.6] ; [17.6 15.4],0
r1,1,0.01308,6.158215,[36 22] ; [12 22],[30.26086957 27.73913043] ; [17.73913043 16.26086957],0
s6,1,0.014704,5.951625,[30 27] ; [ 9 25],[24.42857143 32.57142857] ; [14.57142857 19.42857143],0
n3,1,0.022107,5.237359,[13  4] ; [5 9],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
p8,1,0.028131,4.82003,[27 31] ; [ 8 26],[22.06521739 35.93478261] ; [12.93478261 21.06521739],0
a5,1,0.028624,4.790112,[25 33] ; [ 7 27],[20.17391304 37.82608696] ; [11.82608696 22.17391304],0
n6,1,0.044719,4.029187,[42 16] ; [17 16],[37.6043956 20.3956044] ; [21.3956044 11.6043956],0
s8,1,0.083436,2.996676,[20 38] ; [ 6 28],[16.39130435 41.60869565] ; [ 9.60869565 24.39130435],0
p3,1,0.08395,2.98672,[22 36] ; [ 7 27],[18.2826087 39.7173913] ; [10.7173913 23.2826087],0
v2,1,0.084038,2.985027,[17 35] ; [ 5 27],[13.61904762 38.38095238] ; [ 8.38095238 23.61904762],0
r2,1,0.089398,2.885189,[46 11] ; [22 12],[42.59340659 14.40659341] ; [25.40659341  8.59340659],0
u2,1,0.09712,2.75221,[17 14] ; [ 7 15],[14.03773585 16.96226415] ; [ 9.96226415 12.03773585],0
p1,1,0.118397,2.438404,[10 48] ; [ 2 32],[ 7.56521739 50.43478261] ; [ 4.43478261 29.56521739],0
a1,1,0.1189,2.43175,[ 2 56] ; [ 4 30],[ 3.7826087 54.2173913] ; [ 2.2173913 31.7826087],0
a6,1,0.135761,2.225357,[28 30] ; [11 23],[24.58695652 33.41304348] ; [14.41304348 19.58695652],0
s5,1,0.166261,1.916342,[13 42] ; [ 4 30],[10.50561798 44.49438202] ; [ 6.49438202 27.50561798],0
s4,1,0.191127,1.708906,[11 47] ; [ 3 31],[ 8.82608696 49.17391304] ; [ 5.17391304 28.82608696],0
p7,1,0.241891,1.369539,[29 28] ; [13 21],[26.30769231 30.69230769] ; [15.69230769 18.30769231],0
