Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.00225,9.333333,[ 6 19] ; [8 2],[10. 15.] ; [4. 6.],0
d5,1,0.003882,8.338235,[ 9 16] ; [9 1],[12.85714286 12.14285714] ; [5.14285714 4.85714286],0
d4,1,0.003882,8.338235,[ 9 16] ; [9 1],[12.85714286 12.14285714] ; [5.14285714 4.85714286],0
p3,1,0.023254,5.149425,[ 2 23] ; [4 6],[ 4.28571429 20.71428571] ; [1.71428571 8.28571429],0
a4,1,0.040147,4.211667,[ 8 17] ; [7 3],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
a5,1,0.040147,4.211667,[ 8 17] ; [7 3],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
p2,1,0.055571,3.664855,[11 14] ; [1 9],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
r1,1,0.075927,3.15,[ 5 20] ; [5 5],[ 7.14285714 17.85714286] ; [2.85714286 7.14285714],0
a3,1,0.105335,2.622857,[12 12] ; [8 2],[14.11764706  9.88235294] ; [5.88235294 4.11764706],0
a7,1,0.108665,2.573529,[10 15] ; [7 3],[12.14285714 12.85714286] ; [4.85714286 5.14285714],0
n5,1,0.194924,1.68,[16  9] ; [4 6],[14.28571429 10.71428571] ; [5.71428571 4.28571429],0
p7,1,0.201754,1.62963,[ 8 16] ; [1 8],[ 6.54545455 17.45454545] ; [2.45454545 6.54545455],0
b3,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
b2,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
n4,1,0.237884,1.393092,[12 13] ; [7 3],[13.57142857 11.42857143] ; [5.42857143 4.57142857],0
b4,1,0.237884,1.393092,[12 13] ; [7 3],[13.57142857 11.42857143] ; [5.42857143 4.57142857],0
r2,1,0.248983,1.329003,[14 11] ; [7 2],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
p1,1,0.313439,1.016129,[ 2 23] ; [2 8],[ 2.85714286 22.14285714] ; [1.14285714 8.85714286],0
s5,1,0.313439,1.016129,[ 2 23] ; [2 8],[ 2.85714286 22.14285714] ; [1.14285714 8.85714286],0
s3,1,0.381768,0.765,[ 6 18] ; [4 6],[ 7.05882353 16.94117647] ; [2.94117647 7.05882353],0
p9,1,0.39269,0.730595,[11 13] ; [3 7],[ 9.88235294 14.11764706] ; [4.11764706 5.88235294],0
s7,1,0.428363,0.627258,[ 3 20] ; [2 6],[ 3.70967742 19.29032258] ; [1.29032258 6.70967742],0
b5,1,0.445009,0.583333,[ 9 16] ; [5 5],[10. 15.] ; [4. 6.],0
n2,1,0.502335,0.45,[6 6] ; [2 4],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
n3,1,0.502335,0.45,[6 6] ; [2 4],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
p5,1,0.510104,0.433854,[ 1 23] ; [1 9],[ 1.41176471 22.58823529] ; [0.58823529 9.41176471],0
p10,1,0.538394,0.378524,[ 7 17] ; [4 6],[ 7.76470588 16.23529412] ; [3.23529412 6.76470588],0
s6,1,0.541193,0.373333,[ 3 22] ; [2 8],[ 3.57142857 21.42857143] ; [1.42857143 8.57142857],0
a2,1,0.541193,0.373333,[ 3 22] ; [2 8],[ 3.57142857 21.42857143] ; [1.42857143 8.57142857],0
s4,1,0.541193,0.373333,[ 3 22] ; [2 8],[ 3.57142857 21.42857143] ; [1.42857143 8.57142857],0
p8,1,0.573687,0.316552,[ 3 21] ; [2 8],[ 3.52941176 20.47058824] ; [1.47058824 8.52941176],0
u3,1,0.591208,0.288462,[4 9] ; [1 1],[4.33333333 8.66666667] ; [0.66666667 1.33333333],0
v1,1,0.652391,0.202899,[ 8 17] ; [4 6],[ 8.57142857 16.42857143] ; [3.42857143 6.57142857],0
b1,1,0.73549,0.11413,[16  9] ; [7 3],[16.42857143  8.57142857] ; [6.57142857 3.42857143],0
a6,1,0.74753,0.103618,[11 14] ; [5 5],[11.42857143 13.57142857] ; [4.57142857 5.42857143],0
v4,1,0.828969,0.046667,[11 14] ; [4 6],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
v2,1,0.83667,0.0425,[ 3 21] ; [1 9],[ 2.82352941 21.17647059] ; [1.17647059 8.82352941],0
s2,1,0.848572,0.036458,[ 2 23] ; [1 9],[ 2.14285714 22.85714286] ; [0.85714286 9.14285714],0
s8,1,0.848572,0.036458,[ 2 23] ; [1 9],[ 2.14285714 22.85714286] ; [0.85714286 9.14285714],0
s1,1,0.848572,0.036458,[ 2 23] ; [1 9],[ 2.14285714 22.85714286] ; [0.85714286 9.14285714],0
u2,1,0.919154,0.010302,[6 7] ; [1 1],[6.06666667 6.93333333] ; [0.93333333 1.06666667],0
n1,1,1.0,0.0,[6 6] ; [3 3],[6. 6.] ; [3. 3.],0
v3,1,1.0,0.0,[ 5 20] ; [2 8],[ 5. 20.] ; [2. 8.],0
a1,1,1.0,0.0,[ 5 20] ; [2 8],[ 5. 20.] ; [2. 8.],0
p11,1,1.0,0.0,[ 5 20] ; [2 8],[ 5. 20.] ; [2. 8.],0
