Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4.6e-05,16.594881,[46  1] ; [30 16],[38.40860215  8.59139785] ; [37.59139785  8.40860215],1
p9,1,0.001607,9.951616,[44  2] ; [32 13],[38.41758242  7.58241758] ; [37.58241758  7.41758242],0
b2,1,0.00335,8.606215,[17 10] ; [ 7 22],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
b3,1,0.00335,8.606215,[17 10] ; [ 7 22],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
d4,1,0.004414,8.105089,[44  3] ; [32 13],[38.82608696  8.17391304] ; [37.17391304  7.82608696],0
b5,1,0.016658,5.732025,[28 19] ; [16 30],[22.23655914 24.76344086] ; [21.76344086 24.23655914],0
p10,1,0.017827,5.613065,[43  3] ; [34 11],[38.92307692  7.07692308] ; [38.07692308  6.92307692],0
p2,1,0.020454,5.372747,[41  5] ; [32 14],[36.5  9.5] ; [36.5  9.5],0
p6,1,0.021036,5.323769,[26 20] ; [15 31],[20.5 25.5] ; [20.5 25.5],0
n4,1,0.02624,4.940129,[40  7] ; [30 16],[35.37634409 11.62365591] ; [34.62365591 11.37634409],0
d1,1,0.028912,4.772818,[32 15] ; [21 25],[26.78494624 20.21505376] ; [26.21505376 19.78494624],0
s2,1,0.029541,4.735827,[15 32] ; [ 6 40],[10.61290323 36.38709677] ; [10.38709677 35.61290323],0
p7,1,0.047129,3.940772,[35 11] ; [26 20],[30.5 15.5] ; [30.5 15.5],0
p3,1,0.05567,3.661916,[32 14] ; [23 23],[27.5 18.5] ; [27.5 18.5],0
v2,1,0.07416,3.188446,[33 14] ; [24 22],[28.80645161 18.19354839] ; [28.19354839 17.80645161],0
s8,1,0.076772,3.131937,[22 25] ; [13 32],[17.88043478 29.11956522] ; [17.11956522 27.88043478],0
a7,1,0.090448,2.86639,[35 12] ; [26 19],[31.16304348 15.83695652] ; [29.83695652 15.16304348],0
