Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7e-06,20.089286,[ 1 27] ; [20 15],[ 9.33333333 18.66666667] ; [11.66666667 23.33333333],1
d5,1,0.000116,14.862857,[ 8 20] ; [27  8],[15.55555556 12.44444444] ; [19.44444444 15.55555556],1
d3,1,0.001008,10.812857,[ 6 22] ; [22 13],[12.44444444 15.55555556] ; [15.55555556 19.44444444],0
a3,1,0.012682,6.212972,[12 14] ; [27  8],[16.62295082  9.37704918] ; [22.37704918 12.62295082],0
s5,1,0.031375,4.632353,[ 2 26] ; [10 25],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],0
n4,1,0.044512,4.037029,[22  6] ; [19 16],[18.22222222  9.77777778] ; [22.77777778 12.22222222],0
p3,1,0.047471,3.928607,[ 5 23] ; [14 20],[ 8.58064516 19.41935484] ; [10.41935484 23.58064516],0
b3,1,0.06827,3.324123,[10  8] ; [ 7 18],[ 7.11627907 10.88372093] ; [ 9.88372093 15.11627907],0
b2,1,0.06827,3.324123,[10  8] ; [ 7 18],[ 7.11627907 10.88372093] ; [ 9.88372093 15.11627907],0
a5,1,0.069642,3.291429,[12 16] ; [23 12],[15.55555556 12.44444444] ; [19.44444444 15.55555556],0
r1,1,0.078827,3.088929,[ 9 19] ; [19 16],[12.44444444 15.55555556] ; [15.55555556 19.44444444],0
s6,1,0.109182,2.56602,[ 5 22] ; [13 22],[ 7.83870968 19.16129032] ; [10.16129032 24.83870968],0
p10,1,0.116248,2.467152,[10 17] ; [20 15],[13.06451613 13.93548387] ; [16.93548387 18.06451613],0
a4,1,0.117269,2.453419,[ 6 21] ; [14 20],[ 8.85245902 18.14754098] ; [11.14754098 22.85245902],0
n1,1,0.130287,2.289087,[12  7] ; [ 6 10],[9.77142857 9.22857143] ; [8.22857143 7.77142857],0
a7,1,0.141678,2.159635,[10 18] ; [19 16],[12.88888889 15.11111111] ; [16.11111111 18.88888889],0
n5,1,0.144358,2.130882,[23  5] ; [23 12],[20.44444444  7.55555556] ; [25.55555556  9.44444444],0
r2,1,0.153142,2.040669,[22  6] ; [21 13],[19.41935484  8.58064516] ; [23.58064516 10.41935484],0
n3,1,0.154248,2.029727,[10  8] ; [ 5 11],[ 7.94117647 10.05882353] ; [7.05882353 8.94117647],0
s3,1,0.199923,1.64294,[ 5 20] ; [12 22],[ 7.20338983 17.79661017] ; [ 9.79661017 24.20338983],0
d2,1,0.233456,1.419677,[ 9 19] ; [16 18],[11.29032258 16.70967742] ; [13.70967742 20.29032258],0
a2,1,0.236192,1.403182,[ 2 26] ; [ 6 29],[ 3.55555556 24.44444444] ; [ 4.44444444 30.55555556],0
b5,1,0.236192,1.403182,[11 17] ; [19 16],[13.33333333 14.66666667] ; [16.66666667 18.33333333],0
b4,1,0.237244,1.396896,[16 12] ; [25 10],[18.22222222  9.77777778] ; [22.77777778 12.22222222],0
p6,1,0.246693,1.341936,[ 5 22] ; [ 3 32],[ 3.48387097 23.51612903] ; [ 4.51612903 30.48387097],0
s7,1,0.247221,1.338938,[ 4 22] ; [ 9 23],[ 5.82758621 20.17241379] ; [ 7.17241379 24.82758621],0
p4,1,0.267236,1.230882,[ 7 21] ; [13 21],[ 9.03225806 18.96774194] ; [10.96774194 23.03225806],0
u3,1,0.317311,1.0,[ 3 13] ; [3 5],[ 4. 12.] ; [2. 6.],0
b1,1,0.327625,0.958263,[15 13] ; [23 12],[16.88888889 11.11111111] ; [21.11111111 13.88888889],0
v2,1,0.329922,0.949204,[ 4 22] ; [ 9 26],[ 5.54098361 20.45901639] ; [ 7.45901639 27.54098361],0
s8,1,0.426772,0.631591,[ 4 23] ; [ 8 27],[ 5.22580645 21.77419355] ; [ 6.77419355 28.22580645],0
n6,1,0.458522,0.549501,[13 15] ; [19 15],[14.4516129 13.5483871] ; [17.5483871 16.4516129],0
s1,1,0.465666,0.532241,[ 3 25] ; [ 2 33],[ 2.22222222 25.77777778] ; [ 2.77777778 32.22222222],0
a1,1,0.468717,0.525,[ 5 23] ; [ 4 31],[ 4. 24.] ; [ 5. 30.],0
p5,1,0.474644,0.511145,[ 3 24] ; [ 6 28],[ 3.98360656 23.01639344] ; [ 5.01639344 28.98360656],0
v4,1,0.486339,0.484615,[16 12] ; [23 12],[17.33333333 10.66666667] ; [21.66666667 13.33333333],0
v3,1,0.545673,0.365125,[ 8 19] ; [ 8 27],[ 6.96774194 20.03225806] ; [ 9.03225806 25.96774194],0
p9,1,0.549077,0.358974,[12 13] ; [19 15],[13.13559322 11.86440678] ; [17.86440678 16.13559322],0
a6,1,0.571925,0.319473,[14 14] ; [20 15],[15.11111111 12.88888889] ; [18.88888889 16.11111111],0
v1,1,0.679119,0.17112,[ 9 19] ; [13 22],[ 9.77777778 18.22222222] ; [12.22222222 22.77777778],0
p1,1,0.699891,0.148585,[ 5 23] ; [ 5 30],[ 4.44444444 23.55555556] ; [ 5.55555556 29.44444444],0
u2,1,0.759463,0.09375,[ 5 11] ; [3 5],[ 5.33333333 10.66666667] ; [2.66666667 5.33333333],0
p8,1,0.772332,0.083709,[ 8 18] ; [12 23],[ 8.52459016 17.47540984] ; [11.47540984 23.52459016],0
p12,1,0.817266,0.05339,[ 2 26] ; [ 2 33],[ 1.77777778 26.22222222] ; [ 2.22222222 32.77777778],0
s2,1,0.829589,0.046324,[ 5 23] ; [ 7 28],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],0
p7,1,0.854813,0.033482,[ 9 19] ; [11 21],[ 9.33333333 18.66666667] ; [10.66666667 21.33333333],0
r4,1,0.889269,0.019385,[ 6 22] ; [ 7 28],[ 5.77777778 22.22222222] ; [ 7.22222222 27.77777778],0
p2,1,0.893828,0.017812,[12 16] ; [14 20],[11.74193548 16.25806452] ; [14.25806452 19.74193548],0
a8,1,0.902603,0.014975,[ 1 26] ; [ 1 31],[ 0.91525424 26.08474576] ; [ 1.08474576 30.91525424],0
p11,1,0.905917,0.013969,[10 18] ; [12 23],[ 9.77777778 18.22222222] ; [12.22222222 22.77777778],0
n2,1,0.921972,0.009594,[11  8] ; [9 7],[10.85714286  8.14285714] ; [9.14285714 6.85714286],0
