Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.579068,[177  78] ; [85 93],[154.29561201 100.70438799] ; [107.70438799  70.29561201],1
v3,1,4.4e-05,16.689783,[129 127] ; [ 55 124],[108.28505747 147.71494253] ; [ 75.71494253 103.28505747],1
n5,1,0.000129,14.650136,[221  42] ; [125  57],[204.48988764  58.51011236] ; [141.51011236  40.48988764],1
s8,1,0.001231,10.443801,[167  95] ; [89 95],[150.38565022 111.61434978] ; [105.61434978  78.38565022],0
p6,1,0.004651,8.01023,[124 138] ; [ 62 121],[109.51011236 152.48988764] ; [ 76.48988764 106.51011236],0
b5,1,0.00834,6.959019,[178  87] ; [101  83],[164.66592428 100.33407572] ; [114.33407572  69.66592428],0
a3,1,0.032278,4.583681,[221  43] ; [139  45],[212.14285714  51.85714286] ; [147.85714286  36.14285714],0
s4,1,0.037082,4.346661,[ 46 215] ; [ 47 135],[ 54.79232506 206.20767494] ; [ 38.20767494 143.79232506],0
b2,1,0.037473,4.328798,[78 98] ; [33 71],[ 69.77142857 106.22857143] ; [41.22857143 62.77142857],0
b3,1,0.037473,4.328798,[78 98] ; [33 71],[ 69.77142857 106.22857143] ; [41.22857143 62.77142857],0
u4,1,0.039079,4.257447,[ 12 253] ; [  2 182],[  8.26280624 256.73719376] ; [  5.73719376 178.26280624],0
u3,1,0.039799,4.226427,[31 13] ; [21 22],[26.29885057 17.70114943] ; [25.70114943 17.29885057],0
n2,1,0.043095,4.091655,[46  7] ; [36 15],[41.78846154 11.21153846] ; [40.21153846 10.78846154],0
p8,1,0.046654,3.95782,[155 104] ; [91 90],[144.80454545 114.19545455] ; [101.19545455  79.80454545],0
p11,1,0.057984,3.594119,[217  48] ; [137  47],[208.93095768  56.06904232] ; [145.06904232  38.93095768],0
s2,1,0.059596,3.548602,[184  79] ; [113  71],[174.74496644  88.25503356] ; [122.25503356  61.74496644],0
s7,1,0.075421,3.160921,[173  84] ; [105  73],[164.24367816  92.75632184] ; [113.75632184  64.24367816],0
p1,1,0.109671,2.558959,[ 27 236] ; [ 11 173],[ 22.35794183 240.64205817] ; [ 15.64205817 168.35794183],0
r1,1,0.111279,2.535968,[232  32] ; [151  32],[226.20134228  37.79865772] ; [156.79865772  26.20134228],0
b4,1,0.114033,2.497413,[168  97] ; [103  81],[159.94432071 105.05567929] ; [111.05567929  72.94432071],0
p3,1,0.129526,2.298176,[152 111] ; [93 91],[144.14988814 118.85011186] ; [100.85011186  83.14988814],0
s5,1,0.142408,2.151745,[131 129] ; [ 77 101],[123.47031963 136.52968037] ; [84.52968037 93.47031963],0
p10,1,0.145537,2.118418,[230  32] ; [150  31],[224.74040632  37.25959368] ; [155.25959368  25.74040632],0
n6,1,0.148783,2.084684,[234  28] ; [155  28],[229.02921348  32.97078652] ; [159.97078652  23.02921348],0
r4,1,0.154383,2.028402,[251  14] ; [168  16],[247.29398664  17.70601336] ; [171.70601336  12.29398664],0
p9,1,0.18487,1.758036,[240  23] ; [159  23],[235.81348315  27.18651685] ; [163.18651685  18.81348315],0
r2,1,0.192363,1.699423,[255   8] ; [171  10],[252.33783784  10.66216216] ; [173.66216216   7.33783784],0
a2,1,0.202158,1.626717,[ 96 169] ; [ 56 128],[ 89.71046771 175.28953229] ; [ 62.28953229 121.71046771],0
n4,1,0.207893,1.586038,[217  46] ; [143  41],[211.81208054  51.18791946] ; [148.18791946  35.81208054],0
s1,1,0.213379,1.548354,[  7 254] ; [  9 174],[  9.40540541 251.59459459] ; [  6.59459459 176.40540541],0
d5,1,0.242571,1.36559,[234  29] ; [156  27],[229.97757848  33.02242152] ; [160.02242152  22.97757848],0
d1,1,0.243664,1.359273,[188  77] ; [121  63],[182.37193764  82.62806236] ; [126.62806236  57.37193764],0
p4,1,0.272054,1.206359,[184  79] ; [119  64],[178.67488789  84.32511211] ; [124.32511211  58.67488789],0
u1,1,0.279529,1.16938,[ 74 191] ; [ 43 141],[ 69.05345212 195.94654788] ; [ 47.94654788 136.05345212],0
n3,1,0.288448,1.12685,[36 16] ; [40 11],[38.36893204 13.63106796] ; [37.63106796 13.36893204],0
v4,1,0.304875,1.052749,[256   8] ; [174   9],[253.95973154  10.04026846] ; [176.04026846   6.95973154],0
p5,1,0.307285,1.042309,[ 39 224] ; [ 21 162],[ 35.38116592 227.61883408] ; [ 24.61883408 158.38116592],0
a8,1,0.327272,0.959661,[ 39 198] ; [ 22 148],[ 35.52088452 201.47911548] ; [ 25.47911548 144.52088452],0
d3,1,0.339434,0.912568,[201  63] ; [132  51],[196.67114094  67.32885906] ; [136.32885906  46.67114094],0
p7,1,0.349336,0.875869,[178  77] ; [118  62],[173.51724138  81.48275862] ; [122.48275862  57.51724138],0
p2,1,0.357066,0.848185,[227  36] ; [153  31],[223.57941834  39.42058166] ; [156.42058166  27.57941834],0
a4,1,0.373365,0.792434,[147 116] ; [95 89],[142.38478747 120.61521253] ; [99.61521253 84.38478747],0
a7,1,0.375544,0.785238,[200  65] ; [132  52],[195.94654788  69.05345212] ; [136.05345212  47.94654788],0
d4,1,0.379907,0.771001,[233  30] ; [157  26],[229.97757848  33.02242152] ; [160.02242152  22.97757848],0
n1,1,0.453793,0.561159,[24 29] ; [19 31],[22.12621359 30.87378641] ; [20.87378641 29.12621359],0
a6,1,0.536198,0.382631,[187  76] ; [135  48],[189.87892377  73.12107623] ; [132.12107623  50.87892377],0
d2,1,0.545765,0.364959,[157 106] ; [104  79],[153.90807175 109.09192825] ; [107.09192825  75.90807175],0
p12,1,0.59852,0.277235,[ 30 233] ; [ 18 165],[ 28.30493274 234.69506726] ; [ 19.69506726 163.30493274],0
a1,1,0.729952,0.119156,[ 18 247] ; [ 11 173],[ 17.11581292 247.88418708] ; [ 11.88418708 172.11581292],0
s3,1,0.731566,0.117679,[175  85] ; [126  57],[176.65914221  83.34085779] ; [124.34085779  58.65914221],0
b1,1,0.741714,0.108626,[102 163] ; [ 68 116],[100.33407572 164.66592428] ; [ 69.66592428 114.33407572],0
r3,1,0.781427,0.076984,[255  10] ; [177   6],[255.53571429   9.46428571] ; [176.46428571   6.53571429],0
u2,1,0.829026,0.046635,[26 18] ; [25 19],[25.5 18.5] ; [25.5 18.5],0
